© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_12mo_Glt1_Multiprobe - 2019-05-28 07:38 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_12mo_Glt1_Multiprobe - 2019-05-28 07:38 AM
Date	Tue May 28 04:39:02 PDT 2019
Analysis ID	17865919

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_12mo_Glt1_Multiprobe - 2019-05-28 07:38 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ERK5 Signaling	-0E00	NaN	4.23E-02	RPS6KA5,EGFR,RAP1A	
Eicosanoid Signaling	-0E00	NaN	3.12E-02	PTGER4,PLA2G4A	
Estrogen-mediated S-phase Entry	-0E00	NaN	3.85E-02	E2F2,	
FAT10 Cancer Signaling Pathway	-0E00	NaN	2.17E-02	NFKBIA,	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	NaN	1.49E-02	GIPR,	
Glucocorticoid Receptor Signaling	-0E00	NaN	3.75E-02	FGFR1,TSC22D3,STAT1,POLR2A,PIK3R5,NCOR1,FGFR4,RAP1A,NFKBIA,ICAM1,MAPK3,TRAF6	
Gluconeogenesis I	-0E00	NaN	4.17E-02	ME2,	
Glutathione-mediated Detoxification	-0E00	NaN	4.00E-02	NAT8,	
Heparan Sulfate Biosynthesis	-0E00	NaN	3.12E-02	LIPE,B3GAT1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	1.72E-02	LIPE,	
Hereditary Breast Cancer Signaling	-0E00	NaN	4.03E-02	FGFR1,POLR2A,PIK3R5,GADD45A,FGFR4,RAP1A	
Hypoxia Signaling in the Cardiovascular System	-0E00	NaN	2.86E-02	VEGFA,NFKBIA	
Induction of Apoptosis by HIV1	-0E00	NaN	3.33E-02	TRADD,NFKBIA	
Inhibition of Angiogenesis by TSP1	-0E00	NaN	3.12E-02	VEGFA,	
Interferon Signaling	-0E00	NaN	3.45E-02	STAT1,	
Intrinsic Prothrombin Activation Pathway	-0E00	NaN	2.70E-02	COL2A1,	
Iron homeostasis signaling pathway	-0E00	NaN	3.28E-02	ATP6V1F,EGFR,BMP4,MAPK3	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	2.0	3.06E-02	ACSL1,PPARGC1A,ACSL3,IL1RAP,PPARA,TRAF6	
LXR/RXR Activation	-0E00	NaN	2.80E-02	APOD,IL1RAP,NCOR1	
Mitochondrial Dysfunction	-0E00	NaN	2.07E-02	COX6B2,SNCA,FIS1	
NER Pathway	-0E00	NaN	3.41E-02	XPA,POLR2A,PRIM2	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	NaN	3.12E-02	HTRA3,TMPRSS2,ST14	
Noradrenaline and Adrenaline Degradation	-0E00	NaN	3.45E-02	Aldh3b2,	
Nur77 Signaling in T Lymphocytes	-0E00	NaN	2.08E-02	NR4A1,	
OX40 Signaling Pathway	-0E00	NaN	2.13E-02	NFKBIA,	
Oxidative Phosphorylation	-0E00	NaN	1.15E-02	COX6B2,	
PFKFB4 Signaling Pathway	-0E00	NaN	4.44E-02	RPS6KA5,MAPK3	
PI3K Signaling in B Lymphocytes	-0E00	1.0	2.96E-02	RAP1A,PRKCZ,NFKBIA,MAPK3	
Phagosome Maturation	-0E00	NaN	3.01E-02	ATP6V1F,CTSK,TUBB3,DYNC1I1	
Phospholipases	-0E00	NaN	3.39E-02	PLD1,PLA2G4A	
RAR Activation	-0E00	NaN	4.40E-02	PRKCE,PPARGC1A,VEGFA,PRKCQ,NCOR1,RDH13,PRKCZ,CITED2	
Retinoate Biosynthesis I	-0E00	NaN	3.45E-02	RDH13,	
Retinoic acid Mediated Apoptosis Signaling	-0E00	NaN	2.50E-02	TIPARP,	
Role of BRCA1 in DNA Damage Response	-0E00	NaN	3.75E-02	STAT1,E2F2,GADD45A	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	NaN	3.64E-02	E2F2,PPM1L	
Role of JAK2 in Hormone-like Cytokine Signaling	-0E00	NaN	3.23E-02	STAT1,	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	NaN	3.80E-02	RAP1A,PLA2G4A,MAPK3	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	NaN	2.22E-02	SALL4,	
SPINK1 Pancreatic Cancer Pathway	-0E00	NaN	4.00E-02	CPA2,CELA1	
Serotonin Degradation	-0E00	NaN	2.00E-02	Aldh3b2,	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00	NaN	3.47E-02	CLDN14,TUBB3,ITGA4,JAM3,RAP1A,MAPK3	
Sperm Motility	-0E00	2.23606797749979	4.31E-02	PRKCE,FGFR1,EGFR,PRKCQ,KIT,FGFR4,PTK2,PRKCZ,PLA2G4A	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	-0E00	NaN	4.35E-02	OCRL,	
Systemic Lupus Erythematosus Signaling	-0E00	NaN	3.41E-02	FGFR1,PIK3R5,TNFRSF13C,FGFR4,RAP1A,MAPK3	
T Helper Cell Differentiation	-0E00	NaN	3.17E-02	BCL6,STAT1	
TNFR2 Signaling	-0E00	NaN	3.33E-02	NFKBIA,	
TREM1 Signaling	-0E00	NaN	3.12E-02	ICAM1,MAPK3	
Th17 Activation Pathway	-0E00	NaN	3.45E-02	PTGER4,TRAF6	
Thyroid Cancer Signaling	-0E00	NaN	4.08E-02	RAP1A,MAPK3	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	NaN	4.00E-02	DIO2,	
Tight Junction Signaling	-0E00	NaN	3.18E-02	CLDN14,ARHGEF2,PPM1L,JAM3,PRKCZ	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	NaN	2.33E-02	SKIL,	
Unfolded protein response	-0E00	NaN	3.70E-02	CEBPD,CD82	
Wnt/β-catenin Signaling	-0E00	-1.6329931618554523	3.66E-02	WNT3,FZD1,FZD2,PPM1L,NLK,FZD4	
Xenobiotic Metabolism Signaling	-0E00	NaN	4.20E-02	PRKCE,FGFR1,PPARGC1A,PRKCQ,PPM1L,PIK3R5,FGFR4,RAP1A,PRKCZ,CITED2,MAPK3	
cAMP-mediated signaling	-0E00	0.7071067811865475	3.85E-02	ENPP6,PDE8B,GRM7,PTGER4,DUSP6,RAP1A,MAPK3,S1PR1	
eNOS Signaling	-0E00	1.1338934190276817	4.40E-02	PRKCE,FGFR1,VEGFA,PRKCQ,PIK3R5,FGFR4,PRKCZ	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	1.0	4.39E-02	FGFR1,PRKCQ,PIK3R5,FGFR4,NFKBIA	
p53 Signaling	-0E00	NaN	3.70E-02	FGFR1,PIK3R5,GADD45A,FGFR4	
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.96E-01	NaN	4.55E-02	Aldh3b2,	
Tumoricidal Function of Hepatic Natural Killer Cells	1.96E-01	NaN	4.55E-02	ICAM1,	
Maturity Onset Diabetes of Young (MODY) Signaling	2.08E-01	NaN	4.76E-02	CACNA1C,	
Putrescine Degradation III	2.08E-01	NaN	4.76E-02	Aldh3b2,	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.08E-01	NaN	4.76E-02	AK4,	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.08E-01	NaN	4.76E-02	STAT1,	
Fatty Acid α-oxidation	2.21E-01	NaN	5.00E-02	Aldh3b2,	
GADD45 Signaling	2.35E-01	NaN	5.26E-02	GADD45A,	
Triacylglycerol Biosynthesis	2.35E-01	NaN	4.65E-02	LPCAT2,PLPP2	
IL-10 Signaling	2.41E-01	NaN	4.55E-02	IL1RAP,NFKBIA,TRAF6	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	2.49E-01	NaN	5.56E-02	OCRL,	
Apelin Muscle Signaling Pathway	2.49E-01	NaN	5.56E-02	PPARGC1A,	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	2.49E-01	NaN	5.56E-02	OCRL,	
BAG2 Signaling Pathway	2.55E-01	NaN	4.88E-02	ANXA2,MAPK3	
GABA Receptor Signaling	2.57E-01	NaN	4.60E-02	CACNB4,CACNA2D3,CACNA1C,GABRB1	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.57E-01	NaN	4.60E-02	CARD11,RAP1A,NFKBIA,MAPK3	
Estrogen Receptor Signaling	2.62E-01	NaN	4.55E-02	PPARGC1A,POLR2A,MED27,NCOR1,RAP1A,MAPK3	
Netrin Signaling	2.66E-01	NaN	4.76E-02	CACNB4,CACNA2D3,CACNA1C	
Cardiomyocyte Differentiation via BMP Receptors	2.66E-01	NaN	5.88E-02	BMP4,	
D-myo-inositol (1,4,5)-trisphosphate Degradation	2.66E-01	NaN	5.88E-02	OCRL,	
Histamine Degradation	2.66E-01	NaN	5.88E-02	Aldh3b2,	
The Visual Cycle	2.66E-01	NaN	5.88E-02	RDH13,	
Agranulocyte Adhesion and Diapedesis	2.72E-01	NaN	4.58E-02	CLDN14,CKLF,MMP2,ITGA4,JAM3,ICAM1,MMP24	
April Mediated Signaling	2.77E-01	NaN	5.13E-02	NFKBIA,TRAF6	
tRNA Splicing	2.77E-01	NaN	5.13E-02	ENPP6,PDE8B	
Mitotic Roles of Polo-Like Kinase	2.83E-01	NaN	4.92E-02	ANAPC5,PPM1L,CDC23	
Wnt/Ca+ pathway	2.83E-01	NaN	4.92E-02	FZD1,FZD2,FZD4	
HIPPO signaling	2.96E-01	NaN	4.88E-02	PPP1R3D,AMOT,PPM1L,DLG2	
Methylglyoxal Degradation III	3.02E-01	NaN	6.67E-02	ZADH2,	
Myc Mediated Apoptosis Signaling	3.22E-01	NaN	5.06E-02	FGFR1,PIK3R5,FGFR4,RAP1A	
Apelin Pancreas Signaling Pathway	3.23E-01	NaN	5.26E-02	FGFR1,PIK3R5,FGFR4	
PXR/RXR Activation	3.23E-01	NaN	5.26E-02	PPARGC1A,PPARA,FOXO1	
Colanic Acid Building Blocks Biosynthesis	3.24E-01	NaN	7.14E-02	GALK1,	
TWEAK Signaling	3.27E-01	NaN	5.71E-02	TRADD,NFKBIA	
Choline Biosynthesis III	3.47E-01	NaN	7.69E-02	PLD1,	
Granzyme A Signaling	3.47E-01	NaN	7.69E-02	HIST1H1C,	
Sumoylation Pathway	3.54E-01	NaN	5.15E-02	SNCA,Cdc42,RHOJ,NFKBIA,CBX4	
G-Protein Coupled Receptor Signaling	3.63E-01	NaN	4.83E-02	PRKCE,FGFR1,PIK3R5,PTGER4,RAP1A,NFKBIA,ENPP6,PDE8B,GRM7,DUSP6,FGFR4,MAPK3,S1PR1	
Nucleotide Excision Repair Pathway	3.72E-01	NaN	6.25E-02	XPA,POLR2A	
Cdc42 Signaling	3.75E-01	2.23606797749979	5.17E-02	MYLPF,ITGA4,PRKCZ,ARPC1B,PAK3,ARPC1A	
TGF-β Signaling	3.81E-01	2.0	5.32E-02	BMP4,PMEPA1,RAP1A,MAPK3,TRAF6	
Cell Cycle Control of Chromosomal Replication	3.81E-01	NaN	5.77E-02	PRIM2,MCM5,CDK16	
Atherosclerosis Signaling	3.83E-01	NaN	5.22E-02	APOD,CSF1,ITGA4,COL2A1,ICAM1,PLA2G4A	
4-1BB Signaling in T Lymphocytes	3.88E-01	NaN	6.45E-02	NFKBIA,MAPK3	
Fatty Acid β-oxidation I	3.88E-01	NaN	6.45E-02	ACSL1,ACSL3	
Role of RIG1-like Receptors in Antiviral Innate Immunity	3.88E-01	NaN	6.45E-02	NFKBIA,TRAF6	
IL-4 Signaling	3.91E-01	NaN	5.38E-02	FGFR1,OCRL,PIK3R5,FGFR4,RAP1A	
Chronic Myeloid Leukemia Signaling	3.92E-01	NaN	5.26E-02	FGFR1,E2F2,PIK3R5,FGFR4,RAP1A,MAPK3	
PPARα/RXRα Activation	3.97E-01	-2.82842712474619	5.08E-02	PPARGC1A,IL1RAP,PPARA,GPD1,NCOR1,RAP1A,NFKBIA,MAPK3,TRAF6	
Purine Nucleotides De Novo Biosynthesis II	4.01E-01	NaN	9.09E-02	ADSSL1,	
Dopamine-DARPP32 Feedback in cAMP Signaling	4.03E-01	1.1338934190276817	5.16E-02	PRKCE,PPP1R3D,PRKCQ,PPM1L,CACNA1C,ATP2A2,PRKCZ,GRIN3A	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.08E-01	NaN	6.00E-02	STAT1,NFKBIA,TRAF6	
Dermatan Sulfate Biosynthesis	4.08E-01	NaN	6.00E-02	CHSY3,B3GAT1,DSEL	
FXR/RXR Activation	4.09E-01	NaN	5.36E-02	SLC4A2,PPARGC1A,APOD,PPARA,FGFR4,FOXO1	
Toll-like Receptor Signaling	4.14E-01	NaN	5.71E-02	TIRAP,PPARA,NFKBIA,TRAF6	
p38 MAPK Signaling	4.18E-01	2.23606797749979	5.41E-02	RPS6KA5,STAT1,IL1RAP,TRADD,PLA2G4A,TRAF6	
AMPK Signaling	4.28E-01	-1.0	5.12E-02	RAB9B,FGFR1,PPARGC1A,RPTOR,PPM1L,PIK3R5,LIPE,CFTR,FGFR4,AK4,FOXO1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.31E-01	NaN	5.62E-02	FGFR1,PPM1L,PIK3R5,CLTB,FGFR4	
Salvage Pathways of Pyrimidine Ribonucleotides	4.31E-01	1.3416407864998738	5.62E-02	PRKCE,PRKCQ,AK4,PAK3,MAPK3	
Dolichyl-diphosphooligosaccharide Biosynthesis	4.33E-01	NaN	1.00E-01	ALG14,	
Hematopoiesis from Multipotent Stem Cells	4.33E-01	NaN	1.00E-01	CSF1,	
Oleate Biosynthesis II (Animals)	4.33E-01	NaN	1.00E-01	FADS1,	
Cancer Drug Resistance By Drug Efflux	4.36E-01	NaN	6.25E-02	RAP1A,FOXO1,MAPK3	
TNFR1 Signaling	4.36E-01	NaN	6.25E-02	TRADD,NFKBIA,PAK3	
Sirtuin Signaling Pathway	4.37E-01	0.30151134457776363	5.08E-02	BCL2L11,TOMM34,PPARA,SIRT2,HIST1H1C,PPARGC1A,XPA,RPTOR,ATG10,GADD45A,DUSP6,FOXO1,MAPK3	
Hematopoiesis from Pluripotent Stem Cells	4.43E-01	NaN	7.14E-02	IL11,CSF1	
Protein Ubiquitination Pathway	4.44E-01	NaN	5.10E-02	USP22,DNAJC10,DNAJB1,UCHL1,USP11,HSPB8,USP18,ANAPC5,USP25,USP2,CDC23,TRAF6,USP53	
Endocannabinoid Developing Neuron Pathway	4.44E-01	1.1338934190276817	5.43E-02	FGFR1,RPTOR,GNG11,PIK3R5,FGFR4,RAP1A,MAPK3	
Melatonin Signaling	4.63E-01	2.0	6.06E-02	PRKCE,PRKCQ,PRKCZ,MAPK3	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	4.64E-01	NaN	7.41E-02	CDS1,LPCAT2	
Citrulline Biosynthesis	4.7E-01	NaN	1.11E-01	GLS2,	
Heme Biosynthesis II	4.7E-01	NaN	1.11E-01	CPOX,	
Leptin Signaling in Obesity	4.75E-01	1.3416407864998738	5.88E-02	FGFR1,PIK3R5,FGFR4,FOXO1,MAPK3	
Ethanol Degradation II	4.85E-01	NaN	7.69E-02	ACSL1,Aldh3b2	
GDNF Family Ligand-Receptor Interactions	4.87E-01	1.3416407864998738	5.95E-02	FGFR1,PIK3R5,FGFR4,RAP1A,MAPK3	
Pyridoxal 5'-phosphate Salvage Pathway	4.89E-01	2.0	6.25E-02	PRKCE,PRKCQ,PAK3,MAPK3	
Dendritic Cell Maturation	4.98E-01	1.0	5.49E-02	FGFR1,STAT1,PIK3R5,COL2A1,FGFR4,NFKBIA,ICAM1,MAPK3,TRAF6	
CDK5 Signaling	4.99E-01	0.8164965809277261	5.83E-02	PPP1R3D,CDK5R1,PPM1L,RAP1A,CABLES1,MAPK3	
iNOS Signaling	4.99E-01	NaN	6.82E-02	STAT1,NFKBIA,TRAF6	
CDP-diacylglycerol Biosynthesis I	5.08E-01	NaN	8.00E-02	CDS1,LPCAT2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	5.08E-01	NaN	8.00E-02	STAT1,MAPK3	
Phosphatidylethanolamine Biosynthesis II	5.12E-01	NaN	1.25E-01	CHKA,	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	5.18E-01	-1.0	6.45E-02	WNT3,FZD1,FZD2,FZD4	
Acute Myeloid Leukemia Signaling	5.21E-01	0.8164965809277261	5.94E-02	FGFR1,PIK3R5,KIT,FGFR4,RAP1A,MAPK3	
IL-22 Signaling	5.32E-01	NaN	8.33E-02	STAT1,MAPK3	
Oncostatin M Signaling	5.35E-01	NaN	7.14E-02	STAT1,RAP1A,MAPK3	
Pyrimidine Ribonucleotides De Novo Biosynthesis	5.35E-01	NaN	7.14E-02	NUDT18,NUDT16,AK4	
Triacylglycerol Degradation	5.35E-01	NaN	7.14E-02	DDHD2,LIPE,FAAH	
Gustation Pathway	5.42E-01	NaN	5.88E-02	ENPP6,GNG11,PDE8B,CACNB4,P2RX4,CACNA2D3,CACNA1C	
RANK Signaling in Osteoclasts	5.44E-01	1.3416407864998738	6.06E-02	FGFR1,PIK3R5,FGFR4,NFKBIA,MAPK3,TRAF6	
PCP pathway	5.48E-01	-1.0	6.67E-02	WNT3,FZD1,FZD2,FZD4	
B Cell Activating Factor Signaling	5.54E-01	NaN	7.32E-02	TNFRSF13C,NFKBIA,TRAF6	
Role of p14/p19ARF in Tumor Suppression	5.54E-01	NaN	7.32E-02	FGFR1,PIK3R5,FGFR4	
Cardiac Hypertrophy Signaling	5.55E-01	1.6666666666666667	5.44E-02	FGFR1,GNB4,Cdc42,GNG11,PIK3R5,RHOJ,RAP1A,GNG3,MYLPF,GNG4,CACNA1C,FGFR4,MAPK3	
Airway Pathology in Chronic Obstructive Pulmonary Disease	5.6E-01	NaN	1.43E-01	MMP2,	
Phosphatidylcholine Biosynthesis I	5.6E-01	NaN	1.43E-01	CHKA,	
Superpathway of Serine and Glycine Biosynthesis I	5.6E-01	NaN	1.43E-01	PSAT1,	
Neuroinflammation Signaling Pathway	5.7E-01	0.5773502691896258	5.40E-02	FGFR1,GJB1,TIRAP,PIK3R5,S100B,SNCA,STAT1,FZD1,FGFR4,GABRB1,ICAM1,PLA2G4A,GRIN3A,MAPK3,TRAF6	
Regulation of eIF4 and p70S6K Signaling	5.71E-01	1.414213562373095	5.77E-02	FGFR1,PPM1L,PIK3R5,ITGA4,AGO2,FGFR4,RAP1A,PRKCZ,MAPK3	
MIF Regulation of Innate Immunity	5.73E-01	NaN	7.50E-02	NFKBIA,PLA2G4A,MAPK3	
Pyrimidine Ribonucleotides Interconversion	5.73E-01	NaN	7.50E-02	NUDT18,NUDT16,AK4	
Role of PKR in Interferon Induction and Antiviral Response	5.73E-01	NaN	7.50E-02	STAT1,NFKBIA,TRAF6	
IL-23 Signaling Pathway	5.8E-01	1.0	6.90E-02	FGFR1,PIK3R5,FGFR4,NFKBIA	
PEDF Signaling	5.81E-01	1.3416407864998738	6.25E-02	FGFR1,PIK3R5,FGFR4,RAP1A,NFKBIA,MAPK3	
Ethanol Degradation IV	5.85E-01	NaN	9.09E-02	ACSL1,Aldh3b2	
IL-17A Signaling in Gastric Cells	5.85E-01	NaN	9.09E-02	EGFR,MAPK3	
Telomerase Signaling	5.87E-01	0.3779644730092272	6.09E-02	FGFR1,EGFR,PPM1L,PIK3R5,FGFR4,RAP1A,MAPK3	
STAT3 Pathway	5.93E-01	0.7071067811865475	5.97E-02	FGFR1,EGFR,MAP3K21,VEGFA,FGFR4,IL17RB,RAP1A,MAPK3	
nNOS Signaling in Skeletal Muscle Cells	5.94E-01	NaN	7.69E-02	CACNB4,CACNA2D3,CACNA1C	
IL-15 Production	5.98E-01	NaN	6.14E-02	FGFR1,EGFR,STAT1,KIT,FGFR4,PTK2,PRKCZ	
Endocannabinoid Cancer Inhibition Pathway	6.12E-01	0.3333333333333333	5.92E-02	FGFR1,MMP2,RPTOR,VEGFA,PIK3R5,CASQ1,FGFR4,PTK2,MAPK3	
Th2 Pathway	6.15E-01	1.889822365046136	6.06E-02	FGFR1,DLL1,PRKCQ,PIK3R5,FGFR4,IL17RB,ICAM1,S1PR1	
Chondroitin and Dermatan Biosynthesis	6.18E-01	NaN	1.67E-01	CHSY3,	
Glycerol Degradation I	6.18E-01	NaN	1.67E-01	GPD1,	
Glycoaminoglycan-protein Linkage Region Biosynthesis	6.18E-01	NaN	1.67E-01	B3GAT1,	
Urea Cycle	6.18E-01	NaN	1.67E-01	ASL,	
JAK/Stat Signaling	6.2E-01	1.6329931618554523	6.45E-02	FGFR1,STAT1,PIK3R5,FGFR4,RAP1A,MAPK3	
Endometrial Cancer Signaling	6.22E-01	1.3416407864998738	6.76E-02	FGFR1,PIK3R5,FGFR4,RAP1A,MAPK3	
IL-2 Signaling	6.22E-01	1.3416407864998738	6.76E-02	FGFR1,PIK3R5,FGFR4,RAP1A,MAPK3	
D-myo-inositol-5-phosphate Metabolism	6.43E-01	1.6666666666666667	6.04E-02	DUSP8,OCRL,PPTC7,PTPRN,PPFIA2,DUSP15,EYA4,NUDT16,DUSP16	
Aldosterone Signaling in Epithelial Cells	6.6E-01	1.889822365046136	5.99E-02	PRKCE,FGFR1,DNAJC10,DNAJB1,PRKCQ,HSPB8,PIK3R5,FGFR4,PRKCZ,MAPK3	
Primary Immunodeficiency Signaling	6.6E-01	NaN	8.33E-02	ADA,RAG1,TNFRSF13C	
PI3K/AKT Signaling	6.62E-01	0.3779644730092272	6.25E-02	OCRL,MAPK8IP1,PPM1L,ITGA4,RAP1A,NFKBIA,FOXO1,MAPK3	
HMGB1 Signaling	6.7E-01	1.6666666666666667	6.02E-02	FGFR1,IL11,Cdc42,PIK3R5,FGFR4,RHOJ,RAP1A,ICAM1,IL17B,MAPK3	
Cell Cycle Regulation by BTG Family Proteins	6.84E-01	NaN	8.57E-02	E2F2,NOCT,PPM1L	
Retinol Biosynthesis	6.84E-01	NaN	8.57E-02	DDHD2,LIPE,RDH13	
Arginine Biosynthesis IV	6.88E-01	NaN	2.00E-01	ASL,	
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	6.88E-01	NaN	2.00E-01	NAGK,	
Citrulline-Nitric Oxide Cycle	6.88E-01	NaN	2.00E-01	ASL,	
Galactose Degradation I (Leloir Pathway)	6.88E-01	NaN	2.00E-01	GALK1,	
Serine Biosynthesis	6.88E-01	NaN	2.00E-01	PSAT1,	
Tyrosine Degradation I	6.88E-01	NaN	2.00E-01	FAH,	
3-phosphoinositide Degradation	6.88E-01	1.6666666666666667	6.21E-02	DUSP8,OCRL,PPTC7,PTPRN,PPFIA2,DUSP15,EYA4,NUDT16,DUSP16	
Granulocyte Adhesion and Diapedesis	6.88E-01	NaN	6.21E-02	CLDN14,CKLF,MMP2,IL1RAP,ITGA4,ITGB3,JAM3,ICAM1,MMP24	
Estrogen-Dependent Breast Cancer Signaling	6.92E-01	0.8164965809277261	6.82E-02	FGFR1,EGFR,PIK3R5,FGFR4,RAP1A,MAPK3	
IL-17 Signaling	6.92E-01	NaN	6.82E-02	FGFR1,PIK3R5,FGFR4,RAP1A,MAPK3,TRAF6	
Endocannabinoid Neuronal Synapse Pathway	6.99E-01	1.1338934190276817	6.40E-02	GNG11,CACNB4,CACNA2D3,CACNA1C,GRIA4,GRIN3A,MAPK3,FAAH	
