© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Date	Tue May 28 04:27:19 PDT 2019
Analysis ID	17865904

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	KAT5	 	transcription regulator	 	 	 	 	 	1.49E-03	CFTR,PCDH15,RAG1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	PAX7	 	transcription regulator	 	 	 	 	 	1.49E-03	EYA4,GALNT13,OLFM1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	mir-142	 	microrna	 	 	 	 	 	1.51E-03	RAG1,TNFRSF13C	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	SPPL2A	 	peptidase	 	 	 	 	 	3.23E-03	TNFRSF13C	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	Uchl1os	 	other	 	 	 	 	 	3.23E-03	UCHL1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	NSD1	 	transcription regulator	 	 	 	 	 	6.45E-03	POLR2A	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ZDHHC8	 	enzyme	 	 	 	 	 	6.45E-03	Cdc42	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ZNF608	 	other	 	 	 	 	 	6.45E-03	RAG1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	YY1	 	transcription regulator	 	 	 	 	 	7.03E-03	BMP4,CFTR,LMNB1,TNFRSF13C	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	CHST15	 	enzyme	 	 	 	 	 	9.66E-03	RAG1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	HMX2	 	transcription regulator	 	 	 	 	 	9.66E-03	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	MAPKAPK5	 	kinase	 	 	 	 	 	9.66E-03	RAG1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	UTRN	 	transmembrane receptor	 	 	 	 	 	9.66E-03	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	NRL	 	transcription regulator	 	 	 	 	 	9.67E-03	BMP4,OLFM1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	CHD4	 	enzyme	 	 	 	 	 	1.27E-02	CASQ1,SMOC1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ARID2	 	transcription regulator	 	 	 	 	 	1.29E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ATP8B1	 	transporter	 	 	 	 	 	1.29E-02	CFTR	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	CD74	 	transmembrane receptor	 	 	 	 	 	1.29E-02	TNFRSF13C	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	EDAR	 	transmembrane receptor	 	 	 	 	 	1.29E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	LRP4	 	other	 	 	 	 	 	1.29E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	PHF6	 	transcription regulator	 	 	 	 	 	1.29E-02	POLR2A	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	RGS16	 	other	 	 	 	 	 	1.29E-02	IL17B	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	TRDN	 	other	 	 	 	 	 	1.29E-02	CASQ1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	WISP3	 	growth factor	 	 	 	 	 	1.29E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	STX2	 	transporter	 	 	 	 	 	1.60E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	TRPC3	 	ion channel	 	 	 	 	 	1.60E-02	S100B	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ESR2	 	ligand-dependent nuclear receptor	 	 	 	 	 	1.86E-02	BMP4,CADM3,EYA4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ELP1	 	other	 	 	 	 	 	1.92E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	OLIG2	 	transcription regulator	 	 	 	 	 	1.92E-02	S100B	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	TBX1	 	transcription regulator	 	 	 	 	 	1.92E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	REST	 	transcription regulator	 	 	 	 	 	2.03E-02	S100B,UCHL1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	LRP2	 	transporter	 	 	 	 	 	2.24E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	MED12	 	transcription regulator	 	 	 	 	 	2.24E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	PDZK1	 	transporter	 	 	 	 	 	2.24E-02	SLC34A3	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	IHH	 	enzyme	 	 	 	 	 	2.56E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	LTBP4	 	growth factor	 	 	 	 	 	2.56E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	MSX1	 	transcription regulator	 	 	 	 	 	2.56E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	RGS19	 	other	 	 	 	 	 	2.56E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	HSPB8	 	kinase	 	 	 	 	 	2.87E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	WWP2	 	enzyme	 	 	 	 	 	2.87E-02	POLR2A	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	MYB	 	transcription regulator	 	 	 	 	 	3.08E-02	RAG1,TNFRSF13C	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	Creb	 	group	 	 	 	 	 	3.14E-02	Abhd1,ACY3,GPR85	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	FFAR3	 	g-protein coupled receptor	 	 	 	 	 	3.18E-02	SMOC1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	NR2E3	 	ligand-dependent nuclear receptor	 	 	 	 	 	3.18E-02	OLFM1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	FRS2	 	kinase	 	 	 	 	 	3.50E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	NKX2-3	 	transcription regulator	 	 	 	 	 	3.81E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	BMP4	2.622	growth factor	 	 	 	 	 	4.07E-02	BMP4,LCP1	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	FABP1	 	transporter	 	 	 	 	 	4.12E-02	FAAH	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	IL-1R	 	group	 	 	 	 	 	4.12E-02	S100B	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	TMSB4	 	group	 	 	 	 	 	4.12E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	DKK1	 	growth factor	 	 	 	 	 	4.43E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	FGF9	 	growth factor	 	 	 	 	 	4.43E-02	BMP4	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	HEXIM1	 	transcription regulator	 	 	 	 	 	4.43E-02	POLR2A	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	ACSL5	 	enzyme	 	 	 	 	 	4.74E-02	GALNT13	 	
Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	 	LILRB1	 	transmembrane receptor	 	 	 	 	 	4.74E-02	UCHL1	 	

Causal Networks for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM

Diseases and Bio Functions for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Cell Morphology, Humoral Immune Response, Lymphoid Tissue Structure and Development	morphology	Morphology of B lymphocytes	2.11E-04	 	 	 	 	RAG1,Cdc42,TNFRSF13C,LCP1	4	
Cell Morphology, Hematological System Development and Function, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development, Tissue Morphology	abnormal morphology	Abnormal morphology of marginal-zone B lymphocytes	2.72E-04	 	 	 	 	TNFRSF13C,LCP1	2	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	familial non-syndromic sensorineural hearing impairment	Familial non-syndromic sensorineural hearing impairment	3.14E-04	 	 	 	 	CLDN14,EYA4,PCDH15	3	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of eicosanoid	3.48E-04	 	 	 	 	CFTR,FAAH	2	
Developmental Disorder, Neurological Disease	intellectual disability with ataxia	Intellectual disability with ataxia	5.30E-04	 	 	 	 	ATP8A2,NALCN	2	
Organismal Development	morphology	Morphology of head	5.60E-04	 	 	 	 	LMNB1,INSM1,NCAM2,ATP8A2,NALCN,RAG1,GPR85,BMP4,SCG5,EYA4,PCDH15,CFTR,SEMA5A	13	
Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of transitional type 1 B lymphocytes	6.35E-04	 	 	 	 	Cdc42,TNFRSF13C	2	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function	abnormal morphology	Abnormal morphology of nose	9.90E-04	 	 	 	 	BMP4,INSM1,CFTR	3	
Cell Cycle	premature senescence	Premature senescence of cells	9.90E-04	 	 	 	 	LMNB1,BMP4,FAAH	3	
Cell Morphology	sprouting	Sprouting	9.98E-04	Increased	2.412	bias	1.450	LMNB1,UCHL1,Cdc42,BMP4,NCAM2,S100B,SEMA5A	7	
Cell Morphology, Cellular Development	branching	Branching of central nervous system cells	1.00E-03	 	 	 	 	Cdc42,BMP4	2	
Cellular Movement, Hematological System Development and Function	cell movement	Cell movement of hematopoietic progenitor cells	1.24E-03	 	 	 	 	Cdc42,BMP4,LCP1	3	
Cellular Function and Maintenance	movement	Movement of Nucleus	1.45E-03	 	 	 	 	LMNB1,Cdc42	2	
Neurological Disease	conduction	Abnormal conduction by nerves	2.18E-03	 	 	 	 	RAG1,NALCN	2	
Embryonic Development, Organ Development, Organismal Development, Tissue Development	development	Development of sensory organ	2.32E-03	 	 	 	 	RAG1,BMP4,EYA4,PCDH15,NCAM2,ATP8A2,SMOC1,SEMA5A	8	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of muscle cells	2.35E-03	 	 	 	 	LMNB1,UCHL1,CASQ1,S100B	4	
Cell Morphology, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development	abnormal morphology	Abnormal morphology of B lymphocytes	2.38E-03	 	 	 	 	RAG1,TNFRSF13C,LCP1	3	
Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of head	2.38E-03	 	 	 	 	RAG1,LMNB1,BMP4,INSM1,SCG5,EYA4,NCAM2,ATP8A2,NALCN,CFTR,SEMA5A	11	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive prelingual nonsyndromic sensorineural hearing loss	Autosomal recessive prelingual nonsyndromic sensorineural hearing loss	2.81E-03	 	 	 	 	CLDN14,PCDH15	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	reorganization	Reorganization of actin filaments	3.04E-03	 	 	 	 	Cdc42,LCP1	2	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of eustachian tube	3.16E-03	 	 	 	 	EYA4	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of line of schwalbe	3.16E-03	 	 	 	 	BMP4	1	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function	abnormal morphology	Abnormal morphology of paranasal sinus	3.16E-03	 	 	 	 	CFTR	1	
Cellular Compromise	acidification	Acidification of trans Golgi network	3.16E-03	 	 	 	 	CFTR	1	
Endocrine System Disorders, Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	acute inflammation	Acute inflammation of pancreas	3.16E-03	 	 	 	 	CFTR	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	adult onset autosomal dominant leukodystrophy	Adult onset autosomal dominant leukodystrophy	3.16E-03	 	 	 	 	LMNB1	1	
Hematological Disease, Immunological Disease	alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity	Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity	3.16E-03	 	 	 	 	RAG1	1	
Cell Death and Survival, Embryonic Development	apoptosis	Apoptosis of limb bud cells	3.16E-03	 	 	 	 	BMP4	1	
Cell Cycle	double negative stage 3	Arrest in double negative stage 3 of thymocytes	3.16E-03	 	 	 	 	ZBTB1	1	
Endocrine System Disorders, Gastrointestinal Disease, Organ Morphology, Organismal Injury and Abnormalities	atrophy	Atrophy of pancreatic acinus	3.16E-03	 	 	 	 	CFTR	1	
Cell-To-Cell Signaling and Interaction, Skeletal and Muscular System Development and Function	attachment	Attachment of bone cell lines	3.16E-03	 	 	 	 	BMP4	1	
Cell-To-Cell Signaling and Interaction	attachment	Attachment of hematopoietic progenitor cells	3.16E-03	 	 	 	 	BMP4	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal dominant 10 deafness	Autosomal dominant 10 deafness	3.16E-03	 	 	 	 	EYA4	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	Usher syndrome type 1F	Autosomal recessive Usher syndrome type 1F	3.16E-03	 	 	 	 	PCDH15	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive deafness type 23	Autosomal recessive deafness type 23	3.16E-03	 	 	 	 	PCDH15	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive deafness type 29	Autosomal recessive deafness type 29	3.16E-03	 	 	 	 	CLDN14	1	
Connective Tissue Disorders, Developmental Disorder, Endocrine System Disorders, Hematological Disease, Hereditary Disorder, Metabolic Disease, Nutritional Disease, Organismal Injury and Abnormalities, Renal and Urological Disease, Skeletal and Muscular Disorders	autosomal recessive hypophosphatemic rickets with hypercalciuria	Autosomal recessive hypophosphatemic rickets with hypercalciuria	3.16E-03	 	 	 	 	SLC34A3	1	
Endocrine System Development and Function, Lipid Metabolism, Small Molecule Biochemistry	binding	Binding of anandamide	3.16E-03	 	 	 	 	FAAH	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR DeltaF508 homozygous mutation positive cystic fibrosis	CFTR DeltaF508 homozygous mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR G1244E mutation positive cystic fibrosis	CFTR G1244E mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR G1349D mutation positive cystic fibrosis	CFTR G1349D mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR G178R mutation positive cystic fibrosis	CFTR G178R mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR G551D mutation positive cystic fibrosis	CFTR G551D mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR G551S mutation positive cystic fibrosis	CFTR G551S mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR R117H mutation positive cystic fibrosis	CFTR R117H mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
