© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->R62_12wk_Glt1_Multiprobe - 2019-05-28 07:25 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	R62_12wk_Glt1_Multiprobe - 2019-05-28 07:25 AM
Date	Tue May 28 04:25:23 PDT 2019
Analysis ID	17865872

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Rat OR Human OR Mouse) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->R62_12wk_Glt1_Multiprobe - 2019-05-28 07:25 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Androgen Signaling	-0E00	-0.6882472016116852	2.52E-01	JUN,GNA13,POLR2A,GNAO1,MRAS,CACNA1S,GNA12,GTF2F1,CACNB1,GNG3,GNG4,CREBBP,PRKAR1B,GTF2E1,ERCC3,PRKCE,NFKB1,CACNA2D4,CDK7,TAF2,POLR2E,EP300,CAMK4,AR,CACNG2,Calm1 (includes others),PRKCA,CCND1,CACNA2D1,CACNA1C,GNG12,GNG2,SHC1	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	NaN	1.15E-01	RPS6KA1,CUL1,SMAD4	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00	-0.4472135954999579	2.27E-01	ACE2,PRKAA2,PRKAB1,AKT2,APLN	
April Mediated Signaling	-0E00	-0.3333333333333333	2.31E-01	JUN,MAP2K7,NFKB1,CHUK,MAPK10,NFKBIB,NFKBIA,MAPK9,TRAF6	
Arginine Degradation VI (Arginase 2 Pathway)	-0E00	NaN	1.67E-01	PYCR3,	
Aryl Hydrocarbon Receptor Signaling	-0E00	1.5	2.41E-01	JUN,GSTO2,CHEK2,E2F1,RXRG,NQO1,CCND3,HSPB2,NFIC,DCT,GSTO1,ALDH1A1,GSTM5,ALDH3B1,ATR,CDKN1A,GSTM2,ALDH1L2,CDK6,Gstm6,NFKB1,ALDH1L1,CCND2,ATM,HSP90B1,EP300,ALDH18A1,GSTK1,GSTZ1,CCND1,Gstm3,NFE2L2	
Aspartate Degradation II	-0E00	NaN	1.43E-01	GOT1,	
Assembly of RNA Polymerase I Complex	-0E00	NaN	1.82E-01	UBTF,POLR1A	
Assembly of RNA Polymerase II Complex	-0E00	NaN	1.67E-01	GTF2F1,CDK7,POLR2A,TAF2,POLR2E,GTF2E1,TAF7,ERCC3	
Assembly of RNA Polymerase III Complex	-0E00	NaN	8.33E-02	POLR3D,	
Atherosclerosis Signaling	-0E00	NaN	2.35E-01	PAFAH1B1,PLA2G16,COL5A3,COL1A1,CD40,PLA2G5,VCAM1,GLG1,PAFAH1B3,PLB1,IL33,CCR2,NFKB1,COL3A1,PCYOX1,COL1A2,MSR1,CD36,IL18,CSF1,ALOX15B,LCAT,F3,TNFRSF12A,COL11A2,ICAM1,PLA2G2C	
Autoimmune Thyroid Disease Signaling	-0E00	NaN	1.61E-01	HLA-A,HLA-DQB1,HLA-DQA1,HLA-DMB,CD40	
Autophagy	-0E00	NaN	1.90E-01	ATG3,ATG5,WIPI1,STX17,VPS41,LAMP2,MAP1LC3A,ATG7,ATG12,BECN1,WDFY3	
B Cell Activating Factor Signaling	-0E00	0.7071067811865475	2.44E-01	JUN,MAP2K7,NFKB1,CHUK,MAPK10,NFKBIB,TNFRSF13C,NFKBIA,MAPK9,TRAF6	
B Cell Development	-0E00	NaN	2.40E-01	RAG1,HLA-A,HLA-DQB1,HLA-DQA1,HLA-DMB,CD40	
BAG2 Signaling Pathway	-0E00	0.6324555320336759	2.44E-01	PINK1,NFKB1,CDKN1A,CHRNA7,ANXA2,CASP3,MAPT,PSME1,UBE2D1,HSPA14	
BER pathway	-0E00	NaN	1.67E-01	FEN1,APEX1	
Bupropion Degradation	-0E00	NaN	9.09E-02	POR,CYP51A1	
CCR5 Signaling in Macrophages	-0E00	-1.2649110640673518	2.33E-01	PRKCE,JUN,CACNA2D4,MRAS,MAPK10,CACNA1S,CAMK4,CACNG2,Calm1 (includes others),CACNB1,PRKCA,GNG3,GNG4,CACNA2D1,CACNA1C,GNG12,PLCG1,GNG2,OPN1SW,MAPK9	
Calcium Signaling	-0E00	-2.4009801919951235	2.47E-01	ITPR2,CHRNE,CACNA1S,TNNI1,GRIN1,TRPC7,ATP2B2,GRIA3,TNNT3,CACNB1,ATP2C1,Tpm1,CREBBP,ITPR1,PRKAR1B,TNNT1,PNCK,GRIN3A,HDAC2,CACNA2D4,RCAN1,GRIA1,MYL2,TNNT2,EP300,CHRNA7,PPP3CB,CAMK4,CASQ1,CAMK1D,ATP2A2,TRPC1,CACNG2,GRIK1,Calm1 (includes others),LETM1,SLC8A3,CABIN1,PPP3R1,CHRNB4,CREB5,CASQ2,CACNA2D1,CACNA1C,ASPH,CAMK1G,MEF2A	
Caveolar-mediated Endocytosis Signaling	-0E00	NaN	2.24E-01	FLNB,FLOT1,EGFR,ITGAV,ITSN1,ITGAE,ITGA6,B2M,HLA-A,PRKCA,COPA,MAP3K2,FLNC,ITGB3,ITGA5	
Cell Cycle Regulation by BTG Family Proteins	-0E00	NaN	2.29E-01	CCND1,PPM1L,E2F1,PPP2R2B,PPP2R2C,CNOT7,PPP2R2A,PPP2CA	
Cell Cycle: G1/S Checkpoint Regulation	-0E00	0.0	2.19E-01	HDAC2,CCND2,ATM,E2F1,CUL1,SMAD4,CCND3,SUV39H1,CCND1,CDKN2D,ATR,CDKN1A,SIN3A,CDK6	
Cellular Effects of Sildenafil (Viagra)	-0E00	NaN	2.46E-01	ITPR2,PDE4A,ADCY6,PDE3B,GPR37,CACNA1S,PDE4B,ADCY3,ITPR1,PRKAR1B,PDE1C,ADCY2,PLCL1,ADCY8,PLCB1,PLCD1,PPP1R12A,ADCY5,PLCB4,MYL2,CAMK4,SLC4A10,CACNG2,Calm1 (includes others),MYLPF,KCNN3,CACNA1C,PLCG1,KCNQ3	
Ceramide Biosynthesis	-0E00	NaN	1.43E-01	SPTLC1,	
Ceramide Degradation	-0E00	NaN	2.00E-01	ACER3,	
Chondroitin Sulfate Biosynthesis	-0E00	-2.7136021011998728	2.29E-01	CHST2,NDST2,HS6ST1,NDST4,CHPF2,CSGALNACT1,HS3ST6,CHST1,HS3ST1,CHST11,CHST10	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	-2.5298221281347035	2.44E-01	CHST2,NDST2,HS6ST1,NDST4,CSGALNACT1,HS3ST6,CHST1,HS3ST1,CHST11,CHST10	
Chondroitin Sulfate Degradation (Metazoa)	-0E00	NaN	6.25E-02	ARSB,	
Citrulline Biosynthesis	-0E00	NaN	2.22E-01	ALDH18A1,GLS	
Clathrin-mediated Endocytosis Signaling	-0E00	NaN	2.37E-01	FGFR2,SH3GL3,ACTR2,CD2AP,DNM1,GAB1,PIK3R1,PIK3CB,CBL,DNM1L,F2R,PIK3CD,LDLR,FLT3,FRS2,HIP1,MET,FGF13,ITGB3,PIP5K1C,FGF11,FGFR4,VEGFB,SYNJ1,TFRC,UBC,ARPC1A,AP1G1,FGFR3,LDLRAP1,SH3GL2,PIK3R3,CTTN,VEGFA,ATM,FGF7,AAK1,PPP3CB,PCYOX1,STON2,USP9X,PPP3R1,AP2A2,CLTB,ITGA5,RAC1	
Coagulation System	-0E00	0.4472135954999579	1.43E-01	F2R,PROS1,F8,F3,SERPIND1	
Colanic Acid Building Blocks Biosynthesis	-0E00	NaN	2.14E-01	PMM1,UGP2,GALK2	
Communication between Innate and Adaptive Immune Cells	-0E00	NaN	1.08E-01	IL18,HLA-A,CXCL10,TNFRSF13C,B2M,CD40,IL33	
Complement System	-0E00	NaN	3.23E-02	C5AR1,	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	NaN	1.21E-01	NFKB1,IL18,HLA-A,TLN1,TLN2,CD40,IL3RA,FSCN2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	NaN	1.67E-01	HLA-A,CASP3,B2M,BID	
Dermatan Sulfate Biosynthesis	-0E00	-2.3094010767585034	2.40E-01	CHST2,NDST2,HS6ST1,NDST4,CHPF2,CSGALNACT1,HS3ST6,CHST1,HS3ST1,DSEL,CHST11,CHST10	
Dermatan Sulfate Degradation (Metazoa)	-0E00	NaN	1.18E-01	IDUA,FGFRL1	
Dopamine Degradation	-0E00	-2.23606797749979	1.79E-01	ALDH1L1,ALDH1A1,ALDH3B1,ALDH1L2,MAOA	
EIF2 Signaling	-0E00	1.0	1.74E-01	EIF2AK2,FGFR2,EIF5B,MRAS,GAB1,PIK3R1,PIK3CB,RPS20,PIK3CD,EIF2AK1,EIF2S2,FLT3,FRS2,DDIT3,FGFR4,EIF4G1,FGFR3,PIK3R3,VEGFA,ATM,RAF1,SOS1,AKT2,RPSA,EIF5,IGF1R,EIF1AY,NRAS,RASD1,CCND1,RALA,EIF3H,PAIP1,RRAS,SHC1,NKX6-2	
Eicosanoid Signaling	-0E00	-1.1338934190276817	2.19E-01	PAFAH1B1,GGT1,PLA2G16,PTGER1,PTGER4,PLA2G5,ALOX15B,LCAT,PAFAH1B3,PLB1,PTGES,PTGS1,TBXAS1,PLA2G2C	
Embryonic Stem Cell Differentiation into Cardiac Lineages	-0E00	NaN	2.00E-01	SP4,TBXT	
Epithelial Adherens Junction Signaling	-0E00	NaN	2.38E-01	ACTR2,EPN2,SSX2IP,PARD3,TUBB3,MRAS,TUBB6,TCF7L1,NECTIN3,TUBB2A,ACVR1C,MET,RAPGEF1,ARPC1A,EGFR,NECTIN1,TUBB,MYL2,NOTCH4,AKT2,VAV2,BAIAP2,BMPR2,NRAS,DLL1,RASD1,RALA,TUBB2B,TUBA4A,YES1,RRAS,ACVR1,RAC1,NOTCH3	
Estrogen Biosynthesis	-0E00	-2.0	1.08E-01	POR,HSD17B10,CYP51A1,HSD17B7	
Estrogen Receptor Signaling	-0E00	NaN	2.50E-01	POLR2A,MED20,MRAS,HNRNPD,PGR,CCNC,GTF2F1,MED14,CREBBP,NCOR1,GTF2E1,DDX5,CARM1,PRKDC,ERCC3,MED13L,CDK7,TAF2,RAF1,POLR2E,EP300,MED24,MED13,SOS1,TAF7,THRAP3,NRAS,RASD1,NR3C1,RALA,MED23,RRAS,SHC1	
Estrogen-mediated S-phase Entry	-0E00	NaN	1.15E-01	CCND1,CDKN1A,E2F1	
Extrinsic Prothrombin Activation Pathway	-0E00	NaN	1.25E-01	PROS1,F3	
FAT10 Cancer Signaling Pathway	-0E00	0.30151134457776363	2.39E-01	BMPR2,NFKB1,ACVR1C,CHUK,NGFR,MAD2L2,TNFRSF1A,SMAD4,NFKBIA,ACVR1,AKT2	
FAT10 Signaling Pathway	-0E00	NaN	5.56E-02	PSME1,	
FXR/RXR Activation	-0E00	NaN	1.61E-01	SERPINF1,VLDLR,MAPK10,ABCB4,FASN,PCYOX1,AKT2,AGT,IL18,CREBBP,LCAT,HNF4A,FGFR4,HPX,AHSG,SLC51A,IL33,MAPK9	
Fatty Acid α-oxidation	-0E00	-2.0	2.00E-01	ALDH1L1,ALDH1A1,ALDH3B1,ALDH1L2	
Fatty Acid β-oxidation I	-0E00	-1.1338934190276817	2.26E-01	ACSL4,SLC27A1,HSD17B10,ACSL5,ACSL3,ECHS1,ACSL6	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	1.0425720702853738	2.53E-01	PRKCE,ACTR2,PIK3R3,TLN1,VASP,PAK1,TLN2,PIK3R1,CBL,AKT2,VAV2,MYO5A,INPP5D,PRKCA,DGKB,PLD2,PIP5K1A,PLCG1,YES1,RAC1,RPS6KB1,ARPC1A,VAV3	
GDP-mannose Biosynthesis	-0E00	NaN	1.67E-01	PMM1,	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	-0.2581988897471611	2.24E-01	PLCB1,PLCD1,ITPR2,ADCY6,ADCY5,PLCB4,ADCY3,PLCG1,ITPR1,PRKAR1B,ADCY2,GRPR,PLCL1,ADCY8,OPN1SW	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	-1.1766968108291043	2.52E-01	ITPR2,ADCY6,CACNA1S,ADCY3,CACNB1,GNG3,GNG4,ITPR1,PRKAR1B,ADCY2,PLCL1,ADCY8,PRKCE,PLCB1,PLCD1,CACNA2D4,ADCY5,PLCB4,CACNG2,PRKCA,CACNA2D1,CACNA1C,GNG12,PLCG1,GNG2,OPN1SW	
Galactose Degradation I (Leloir Pathway)	-0E00	NaN	2.00E-01	GALK2,	
Glucocorticoid Biosynthesis	-0E00	NaN	1.11E-01	EBP,	
Glucocorticoid Receptor Signaling	-0E00	NaN	2.31E-01	POLR2A,MRAS,MAPK10,SMAD4,SMARCD2,PIK3CB,NFKBIA,SMARCB1,PIK3CD,MED14,FRS2,NFKBIB,GTF2E1,FGFR4,POMC,MAPK9,TRAF6,ERCC3,KRT36,PIK3R3,KRT1,JAK2,RAF1,POLR2E,HSP90B1,KRT28,JAK1,TAF7,AR,CREBZF,NRAS,RASD1,PPP3R1,NR3C1,SMARCD3,STAT5B,FOXO3,JUN,FGFR2,MAP2K7,SMARCA2,PRKAB1,GAB1,PGR,PIK3R1,HSPA14,VCAM1,FKBP5,GTF2F1,FLT3,STAT1,STAT5A,CDKN1A,CREBBP,NCOR1,FGFR3,NFKB1,CHUK,CDK7,TAF2,ATM,EP300,PPP3CB,SOS1,CEBPA,AKT2,AGT,ARID2,PRKAA2,RALA,ICAM1,RRAS,RAC1,SHC1	
Gluconeogenesis I	-0E00	NaN	8.33E-02	BPGM,ALDOC	
Glutaryl-CoA Degradation	-0E00	NaN	1.25E-01	HSD17B10,ACAT2	
Glycerol Degradation I	-0E00	NaN	1.67E-01	GPD1,	
Glycine Betaine Degradation	-0E00	NaN	2.00E-01	SARDH,SDSL	
Glycine Cleavage Complex	-0E00	NaN	2.00E-01	TBXT,	
Glycogen Degradation II	-0E00	NaN	1.82E-01	AGL,MTAP	
Glycogen Degradation III	-0E00	NaN	1.54E-01	AGL,MTAP	
Glycolysis I	-0E00	-1.0	1.74E-01	PFKP,BPGM,ALDOC,PKM	
Graft-versus-Host Disease Signaling	-0E00	NaN	1.76E-01	IL18,HLA-A,HLA-DQB1,HLA-DQA1,HLA-DMB,IL33	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	2.34E-01	CLDN10,MMP2,TNFRSF1A,CLDN8,HRH1,THY1,VCAM1,Cxcl11,GLG1,CLDN14,C5AR1,IL1RAP,CXCL16,ITGB3,IL1RAPL1,MMP15,IL33,MMP11,CXCL10,SDC2,MSN,ITGA6,MMP7,CCL22,IL18,CCL25,CLDN11,NGFR,ICAM1,CXCL14,ITGA5,OPN1SW,MMP24,MMP14	
Granzyme A Signaling	-0E00	NaN	2.31E-01	EP300,CREBBP,APEX1	
Gαi Signaling	-0E00	-0.6	2.46E-01	LPAR1,ADCY6,GABBR1,MRAS,CNR1,GRM3,DRD2,ADCY3,GRM4,GNG3,GNG4,PRKAR1B,ADCY2,ADCY8,S1PR1,RGS7,ADCY5,RAF1,SOS1,RGS12,NRAS,RASD1,RALA,GNG12,GNG2,ADRA2A,RRAS,SHC1,OPN1SW	
Gαs Signaling	-0E00	-1.2792042981336627	2.50E-01	ADORA2A,ADD1,ADCY6,MRAS,CNR1,ADCY3,GNG3,GNG4,CREBBP,PRKAR1B,ADCY2,LHCGR,ADCY8,RAPGEF2,VIPR2,ADCY5,PTGER4,ADD3,MC2R,ADORA2B,PTH1R,CREB5,HTR6,GNG12,GNG2	
Hematopoiesis from Multipotent Stem Cells	-0E00	NaN	1.00E-01	CSF1,	
Hematopoiesis from Pluripotent Stem Cells	-0E00	NaN	1.07E-01	IL11,CSF1,LIF	
Heme Biosynthesis II	-0E00	NaN	1.11E-01	ALAS2,	
Heme Degradation	-0E00	NaN	2.50E-01	BLVRB,	
Heparan Sulfate Biosynthesis	-0E00	-2.138089935299395	2.19E-01	CHST2,GLCE,HS3ST6,CHST11,EXTL2,PRDX6,RPE65,NDST2,HS6ST1,NDST4,CHST1,EXTL1,HS3ST1,CHST10	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	-2.138089935299395	2.41E-01	CHST2,GLCE,HS3ST6,CHST11,EXTL2,PRDX6,RPE65,NDST2,HS6ST1,NDST4,CHST1,EXTL1,HS3ST1,CHST10	
Hepatic Cholestasis	-0E00	NaN	2.18E-01	JUN,CYP7B1,MYD88,ADCY6,TNFRSF1A,MAPK10,TIRAP,ABCB4,SLCO3A1,LBP,NFKBIA,Eda,ATP8B1,IL11,ADCY3,NFKBIB,IL1RAP,PRKAR1B,ADCY2,IL1RAPL1,FGFR4,ADCY8,IL33,MAPK9,TRAF6,PRKCE,NFKB1,CHUK,ADCY5,LIF,SLCO1C1,IL17B,IL18,PRKCA,NGFR,IL25,HNF4A	
Histidine Degradation VI	-0E00	NaN	2.14E-01	CYP7B1,CYP26B1,CYP46A1	
IL-10 Signaling	-0E00	NaN	2.12E-01	JUN,NFKB1,CHUK,JAK1,BLVRB,LBP,NFKBIA,IL18,FCGR2B,NFKBIB,IL1RAP,IL1RAPL1,IL33,TRAF6	
IL-12 Signaling and Production in Macrophages	-0E00	NaN	2.28E-01	JUN,FGFR2,MYD88,MAPK10,GAB1,PIK3R1,CD40,PIK3CB,IRF8,PIK3CD,FLT3,STAT1,FRS2,NFKBIB,FGFR4,MAPK9,TRAF6,PRKCE,FGFR3,NFKB1,PIK3R3,CHUK,ATM,EP300,PCYOX1,MAF,AKT2,IL18,PRKCA	
IL-17A Signaling in Fibroblasts	-0E00	NaN	1.88E-01	JUN,NFKB1,CHUK,NFKBIB,NFKBIA,TRAF6	
Induction of Apoptosis by HIV1	-0E00	-1.2909944487358056	2.50E-01	BIRC2,MAP2K7,NFKB1,MAP3K5,CHUK,TNFRSF1A,MAPK10,NFKBIA,BIRC3,SLC25A10,NGFR,NFKBIB,CASP3,BID,MAPK9	
Intrinsic Prothrombin Activation Pathway	-0E00	-0.7071067811865475	2.16E-01	PROS1,KLK6,COL3A1,COL5A3,F8,COL1A2,COL1A1,COL11A2	
LXR/RXR Activation	-0E00	-0.47140452079103173	2.43E-01	ABCG4,SERPINF1,TNFRSF1A,HMGCR,FASN,RXRG,LBP,LDLR,SCD,IL1RAP,NCOR1,IL1RAPL1,IL33,ECHS1,NFKB1,ABCA1,PCYOX1,MSR1,AGT,CD36,IL18,NGFR,CYP51A1,LCAT,HPX,AHSG	
Lactose Degradation III	-0E00	NaN	2.50E-01	GLB1L3,	
Leukotriene Biosynthesis	-0E00	NaN	9.09E-02	GGT1,	
Lipid Antigen Presentation by CD1	-0E00	NaN	1.76E-01	CD1D,AP2A2,B2M	
Lysine Degradation II	-0E00	NaN	2.00E-01	AASDH,	
Lysine Degradation V	-0E00	NaN	2.00E-01	AASDH,	
MIF Regulation of Innate Immunity	-0E00	0.0	2.00E-01	JUN,NFKB1,MAPK10,NFKBIB,NFKBIA,PLA2G5,MIF,MAPK9	
MIF-mediated Glucocorticoid Regulation	-0E00	1.6329931618554523	1.88E-01	NFKB1,NR3C1,NFKBIB,NFKBIA,PLA2G5,MIF	
MSP-RON Signaling Pathway	-0E00	NaN	2.35E-01	FGFR3,FGFR2,CCR2,PIK3R3,KLK6,JAK2,ATM,GAB1,PIK3R1,PIK3CB,IL3RA,PIK3CD,FLT3,FRS2,CSF1,FGFR4	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	NaN	1.43E-01	CACNA1S,CACNA1C,HNF4A	
Mechanisms of Viral Exit from Host Cells	-0E00	NaN	2.31E-01	PRKCE,SH3GL3,CHMP4C,SH3GL2,SNF8,LMNB1,PRKCA,LMNB2,VPS25	
Melatonin Degradation I	-0E00	-2.0	8.89E-02	POR,CYP51A1,CSGALNACT1,B4GAT1	
Melatonin Degradation II	-0E00	NaN	2.50E-01	MAOA,	
Methylglyoxal Degradation III	-0E00	NaN	1.33E-01	FAM213B,AKR1A1	
Methylmalonyl Pathway	-0E00	NaN	2.50E-01	MCEE,	
Mineralocorticoid Biosynthesis	-0E00	NaN	1.25E-01	EBP,	
Mismatch Repair in Eukaryotes	-0E00	NaN	6.25E-02	FEN1,	
Mitochondrial Dysfunction	-0E00	NaN	2.48E-01	ATP5S,UQCR10,MAPK10,GLRX2,NDUFA4L2,APH1A,SDHB,SNCA,COX10,CPT1C,CAT,TXN2,NDUFA7,ATPAF1,BACE1,NDUFS8,Cox8b,MAPK9,MAOA,PINK1,HSD17B10,NDUFS7,SDHA,COX4I2,ATP5F1D,NDUFAB1,ATP5MC1,COX6B2,NDUFB6,UQCRQ,CYB5A,NDUFA3,CASP3,AIFM1,ACO1,NDUFB2	
NAD Biosynthesis III	-0E00	NaN	2.50E-01	NMNAT2,	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	-0E00	NaN	2.00E-01	NMNAT2,	
NAD Salvage Pathway III	-0E00	NaN	2.00E-01	NMNAT2,	
NAD biosynthesis II (from tryptophan)	-0E00	NaN	1.67E-01	NMNAT2,IDO1	
NER Pathway	-0E00	1.9414506867883021	1.59E-01	HIST4H4,ERCC1,POLD3,CDK7,POLR2A,POLR2E,EP300,ERCC5,USP7,HIST1H4I,RNF111,COPS6,COPS7A,ERCC3	
Netrin Signaling	-0E00	NaN	2.22E-01	CACNA2D4,CACNA1S,PPP3CB,ABLIM2,ENAH,CACNG2,PPP3R1,CACNB1,CACNA2D1,UNC5B,CACNA1C,ABLIM1,PRKAR1B,RAC1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	-2.4961508830135313	1.77E-01	KLK6,CTRL,HTRA1,HPN,ST14,PRSS23,AGT,PRSS56,HTRA3,DPP4,HLA-A,ECE1,PRSS41,PRKAR1B,MAPT,PRSS45,PRSS36	
Nicotine Degradation II	-0E00	-1.6329931618554523	1.28E-01	POR,FMO5,FMO1,CYP51A1,CSGALNACT1,B4GAT1	
Nicotine Degradation III	-0E00	-2.0	9.76E-02	POR,CYP51A1,CSGALNACT1,B4GAT1	
Noradrenaline and Adrenaline Degradation	-0E00	-1.6329931618554523	2.07E-01	ALDH1L1,ALDH1A1,ALDH3B1,ALDH1L2,AKR1A1,MAOA	
Nucleotide Excision Repair Pathway	-0E00	NaN	1.88E-01	ERCC1,CDK7,POLR2A,POLR2E,ERCC5,ERCC3	
OX40 Signaling Pathway	-0E00	-1.6329931618554523	2.34E-01	JUN,NFKB1,HLA-A,HLA-DQB1,HLA-DQA1,MAPK10,NFKBIB,HLA-DMB,B2M,NFKBIA,MAPK9	
Oxidative Phosphorylation	-0E00	-2.23606797749979	2.30E-01	ATP5S,UQCR10,NDUFS7,SDHA,COX4I2,ATP5F1D,NDUFAB1,ATP5MC1,SDHB,COX6B2,NDUFB6,UQCRQ,COX10,CYB5A,NDUFA7,NDUFA3,ATPAF1,NDUFS8,Cox8b,NDUFB2	
PFKFB4 Signaling Pathway	-0E00	0.8164965809277261	1.33E-01	MAP2K5,MAP2K7,TKT,CREB5,CREBBP,PRKAR1B	
PRPP Biosynthesis I	-0E00	NaN	2.50E-01	PRPS2,	
PXR/RXR Activation	-0E00	NaN	2.11E-01	HMGCS2,SCD,Aldh1a7,ALDH1A1,NR3C1,GSTM2,ABCB9,PAPSS2,PRKAR1B,HNF4A,FOXO3,AKT2	
Parkinson's Signaling	-0E00	NaN	2.50E-01	SNCA,UCHL1,GPR37,CASP3	
Pathogenesis of Multiple Sclerosis	-0E00	NaN	1.67E-01	CXCL10,	
Phagosome Maturation	-0E00	NaN	1.73E-01	VPS37A,TUBB3,TUBB,RILP,TUBB6,B2M,ATP6V1E2,TAP1,PRDX6,TUBB2A,HLA-A,RAB7B,NOS1,DYNC1I1,TUBB2B,NAPG,VPS41,LAMP2,ATP6V1G2,TUBA4A,GOSR2,DYNC2H1,DYNLL1	
Phenylalanine Degradation I (Aerobic)	-0E00	NaN	2.50E-01	QDPR,	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	-0E00	NaN	2.14E-01	GOT1,AASDH,MAOA	
Phosphatidylethanolamine Biosynthesis II	-0E00	NaN	2.50E-01	SELENOI,PCYT2	
Phospholipases	-0E00	-1.6035674514745464	2.37E-01	PLCB1,PLCD1,PAFAH1B1,PLA2G16,PLCB4,PLA2G5,LIPG,PLD2,PLCG1,LCAT,PAFAH1B3,PLB1,PLCL1,PLA2G2C	
