© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->R62_12wk_Cd11b_Multiprobe - 2019-10-20 07:00 PM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	R62_12wk_Cd11b_Multiprobe - 2019-10-20 07:00 PM
Date	Sun Oct 20 16:01:05 PDT 2019
Analysis ID	18426086

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->R62_12wk_Cd11b_Multiprobe - 2019-10-20 07:00 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
BMP signaling pathway	-0E00		3.75E-02	CAMK4,MAPK1,RAP2B	
CCR5 Signaling in Macrophages	-0E00		3.49E-02	CAMK4,MAPK1,PRKCA	
CD27 Signaling in Lymphocytes	-0E00		2.00E-02	MAP3K14	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		3.95E-02	CD86,HLA-A,PPM1L	
Cell Cycle Control of Chromosomal Replication	-0E00		3.85E-02	CDK1,DNA2	
Cell Cycle Regulation by BTG Family Proteins	-0E00		2.86E-02	PPM1L	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00		4.08E-02	CDK1,HIPK2	
Cellular Effects of Sildenafil (Viagra)	-0E00		3.39E-02	ADCY8,CAMK4,ITPR2,SLC4A11	
Ceramide Signaling	-0E00		3.57E-02	PPM1L,RAP2B,TNF	
Chondroitin Sulfate Biosynthesis	-0E00		2.13E-02	CHST2	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		2.50E-02	CHST2	
Chronic Myeloid Leukemia Signaling	-0E00		3.96E-02	HDAC4,MAPK1,RAP2B,STAT5B	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	-1.0	3.12E-02	DUSP27,MTMR9,PPP1R1A,PPP1R1B	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	-1.0	3.12E-02	DUSP27,MTMR9,PPP1R1A,PPP1R1B	
D-myo-inositol-5-phosphate Metabolism	-0E00	-1.0	2.80E-02	DUSP27,MTMR9,PPP1R1A,PPP1R1B	
Dermatan Sulfate Biosynthesis	-0E00		2.00E-02	CHST2	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00		2.63E-02	CHST2	
EIF2 Signaling	-0E00	0.0	4.17E-02	EIF2AK2,EIF2B1,EIF2S2,GSK3B,MAPK1,RAP2B,RPL7L1,VEGFA	
ERK5 Signaling	-0E00		1.41E-02	RAP2B	
Endocannabinoid Neuronal Synapse Pathway	-0E00	0.0	3.20E-02	ADCY8,GNAL,MAPK1,PTGS2	
Endothelin-1 Signaling	-0E00	-0.3779644730092272	4.02E-02	ADCY8,GNAL,ITPR2,MAPK1,PRKCA,PTGS2,RAP2B	
Epithelial Adherens Junction Signaling	-0E00		2.80E-02	AFDN,EPN2,HGF,RAP2B	
Estrogen Biosynthesis	-0E00		2.70E-02	CYP51A1	
Estrogen Receptor Signaling	-0E00		3.79E-02	GTF2H3,H3F3A/H3F3B,MAPK1,RAP2B,TAF9B	
Estrogen-mediated S-phase Entry	-0E00		3.85E-02	CDK1	
Factors Promoting Cardiogenesis in Vertebrates	-0E00		3.45E-02	FZD4,GSK3B,PRKCA	
Fatty Acid β-oxidation I	-0E00		3.23E-02	AUH	
FcγRIIB Signaling in B Lymphocytes	-0E00		1.37E-02	RAP2B	
G Beta Gamma Signaling	-0E00	-1.0	3.36E-02	GNAL,MAPK1,PRKCA,RAP2B	
GABA Receptor Signaling	-0E00		3.45E-02	ADCY8,ALDH5A1,SLC6A12	
GDNF Family Ligand-Receptor Interactions	-0E00		4.11E-02	ITPR2,MAPK1,RAP2B	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00		2.91E-02	ADCY8,ITPR2,PRKCA	
Gap Junction Signaling	-0E00		3.21E-02	ADCY8,CSNK1D,ITPR2,MAPK1,PRKCA,RAP2B	
Glutamate Receptor Signaling	-0E00		3.70E-02	CAMK4,SLC1A4	
Glutathione-mediated Detoxification	-0E00		4.00E-02	GSTO2	
Gustation Pathway	-0E00		1.68E-02	ADCY8,ITPR2	
Gα12/13 Signaling	-0E00		2.46E-02	F2R,MAPK1,RAP2B	
Gαi Signaling	-0E00	-0.4472135954999579	4.24E-02	ADCY8,ADRA2A,MAPK1,PTGER3,RAP2B	
Heparan Sulfate Biosynthesis	-0E00		3.12E-02	CHST2,EXT1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00		3.45E-02	CHST2,EXT1	
Hereditary Breast Cancer Signaling	-0E00		2.99E-02	ARID2,CDK1,HDAC4,RAP2B	
Human Embryonic Stem Cell Pluripotency	-0E00		2.31E-02	FOXO1,FZD4,GSK3B	
Insulin Receptor Signaling	-0E00	0.4472135954999579	3.70E-02	EIF2B1,FOXO1,GSK3B,MAPK1,RAP2B	
Iron homeostasis signaling pathway	-0E00		4.10E-02	HFE,IL6,MAPK1,STAT5B,TFRC	
Leptin Signaling in Obesity	-0E00		4.23E-02	ADCY8,FOXO1,MAPK1	
Lymphotoxin β Receptor Signaling	-0E00		3.92E-02	MAP3K14,MAPK1	
Mechanisms of Viral Exit from Host Cells	-0E00		2.56E-02	PRKCA	
Melanocyte Development and Pigmentation Signaling	-0E00		3.26E-02	ADCY8,MAPK1,RAP2B	
Melanoma Signaling	-0E00		4.08E-02	MAPK1,RAP2B	
Molecular Mechanisms of Cancer	-0E00		3.99E-02	ADCY8,CAMK2A,CAMK2D,CCND3,CDK1,FOXO1,FZD4,GNAL,GSK3B,HIPK2,MAPK1,PRKCA,RAC2,RAP2B,SUFU	
Mouse Embryonic Stem Cell Pluripotency	-0E00	0.0	4.00E-02	FZD4,GSK3B,MAPK1,RAP2B	
Myc Mediated Apoptosis Signaling	-0E00		3.12E-02	IGF1,RAP2B	
NGF Signaling	-0E00		2.75E-02	MAP3K14,MAPK1,RAP2B	
Netrin Signaling	-0E00		3.17E-02	NFATC2,RAC2	
Neurotrophin/TRK Signaling	-0E00		2.70E-02	MAPK1,RAP2B	
Nicotine Degradation II	-0E00		4.26E-02	CYP51A1,FMO5	
Nicotine Degradation III	-0E00		2.44E-02	CYP51A1	
Nucleotide Excision Repair Pathway	-0E00		3.12E-02	GTF2H3	
P2Y Purigenic Receptor Signaling Pathway	-0E00	-1.0	3.25E-02	ADCY8,MAPK1,PRKCA,RAP2B	
PEDF Signaling	-0E00		3.75E-02	MAPK1,RAP2B,SERPINF1	
PFKFB4 Signaling Pathway	-0E00		2.22E-02	MAPK1	
Pancreatic Adenocarcinoma Signaling	-0E00	1.0	3.81E-02	MAPK1,PTGS2,STAT1,VEGFA	
Phospholipase C Signaling	-0E00	-1.6329931618554523	3.91E-02	ADCY8,CAMK4,HDAC4,ITPR2,MAPK1,NFATC2,PRKCA,RAC2,RAP2B	
Phospholipases	-0E00		1.82E-02	LIPC	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00		2.50E-02	CMPK2	
Pyrimidine Ribonucleotides Interconversion	-0E00		2.63E-02	CMPK2	
Rac Signaling	-0E00	0.0	3.77E-02	ABI2,CYBB,MAPK1,RAP2B	
Reelin Signaling in Neurons	-0E00		2.60E-02	APOE,GSK3B	
Regulation of Actin-based Motility by Rho	-0E00		2.35E-02	RAC2,Wasl	
Regulation of eIF4 and p70S6K Signaling	-0E00		3.52E-02	EIF2B1,EIF2S2,MAPK1,PPM1L,RAP2B	
Relaxin Signaling	-0E00		2.88E-02	ADCY8,GNAL,MAPK1,VEGFA	
Remodeling of Epithelial Adherens Junctions	-0E00		1.56E-02	HGF	
RhoA Signaling	-0E00		1.72E-02	CDC42EP4,IGF1	
RhoGDI Signaling	-0E00		1.76E-02	GNAL,PRKCA,RAC2	
Role of BRCA1 in DNA Damage Response	-0E00		2.50E-02	ARID2,STAT1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00		3.48E-02	FZD4,GSK3B,MAPK1,RAP2B	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00		2.22E-02	SPP1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00		4.17E-02	GSK3B,MAPK1	
SAPK/JNK Signaling	-0E00		2.15E-02	RAC2,RAP2B	
Serotonin Degradation	-0E00		2.27E-02	Sult1a1	
Serotonin Receptor Signaling	-0E00		2.63E-02	ADCY8	
Signaling by Rho Family GTPases	-0E00		2.18E-02	CDC42EP4,CYBB,GNAL,MAPK1,RAC2	
Small Cell Lung Cancer Signaling	-0E00		1.43E-02	PTGS2	
Sperm Motility	-0E00		3.90E-02	AXL,CAMK4,DSTYK,EPHB3,FLT1,ITPR2,PRKCA,SLC12A2	
Sphingosine-1-phosphate Signaling	-0E00		2.78E-02	ADCY8,MAPK1,RAC2	
Superpathway of Inositol Phosphate Compounds	-0E00	-1.3416407864998738	2.73E-02	DUSP27,IPPK,MTMR9,PPP1R1A,PPP1R1B	
Superpathway of Methionine Degradation	-0E00		3.03E-02	MRM2	
Synaptic Long Term Depression	-0E00	-0.3779644730092272	3.98E-02	GNAL,IGF1,ITPR2,MAPK1,PPM1L,PRKCA,RAP2B	
T Cell Receptor Signaling	-0E00		4.00E-02	CAMK4,MAPK1,NFATC2,RAP2B	
TGF-β Signaling	-0E00	0.0	4.26E-02	IRF7,MAPK1,RAP2B,SERPINE1	
TNFR1 Signaling	-0E00		4.17E-02	MAP3K14,TNF	
TR/RXR Activation	-0E00		3.85E-02	CAMK4,COL6A3,DIO2	
TWEAK Signaling	-0E00		2.86E-02	MAP3K14	
Thyroid Cancer Signaling	-0E00		4.08E-02	MAPK1,RAP2B	
White Adipose Tissue Browning Pathway	-0E00	-1.3416407864998738	4.13E-02	ADCY8,DIO2,MAPK1,PRKAB1,VEGFA	
Wnt/β-catenin Signaling	-0E00	-0.4472135954999579	3.05E-02	CSNK1D,DKK2,FZD4,GSK3B,PPM1L	
mTOR Signaling	-0E00	0.8164965809277261	4.17E-02	MAPK1,PPM1L,PRKAB1,PRKCA,RAC2,RAP2B,RICTOR,VEGFA	
p70S6K Signaling	-0E00	0.4472135954999579	4.00E-02	F2R,MAPK1,PPM1L,PRKCA,RAP2B	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.96E-01		4.35E-02	IMPAD1	
Bupropion Degradation	2.08E-01		4.55E-02	CYP51A1	
Dopamine Degradation	2.08E-01		4.55E-02	Sult1a1	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.08E-01		4.55E-02	AGPAT5	
Polyamine Regulation in Colon Cancer	2.08E-01		4.55E-02	OAZ3	
Tumoricidal Function of Hepatic Natural Killer Cells	2.08E-01		4.55E-02	PRF1	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.2E-01		4.76E-02	CMPK2	
Superpathway of Melatonin Degradation	2.26E-01		4.35E-02	CYP51A1,Sult1a1	
CDP-diacylglycerol Biosynthesis I	2.33E-01		5.00E-02	AGPAT5	
Cysteine Biosynthesis III (mammalia)	2.33E-01		5.00E-02	MRM2	
Endoplasmic Reticulum Stress Pathway	2.33E-01		5.00E-02	HSP90B1	
Glutathione Redox Reactions I	2.33E-01		5.00E-02	GPX3	
NAD Salvage Pathway II	2.33E-01		5.00E-02	ACP2	
Tryptophan Degradation III (Eukaryotic)	2.33E-01		5.00E-02	ACAT1	
Stearate Biosynthesis I (Animals)	2.44E-01		4.55E-02	TBXAS1,THEM5	
DNA damage-induced 14-3-3σ Signaling	2.47E-01		5.26E-02	CDK1	
Basal Cell Carcinoma Signaling	2.48E-01		4.41E-02	FZD4,GSK3B,SUFU	
CCR3 Signaling in Eosinophils	2.5E-01		4.31E-02	CAMK4,ITPR2,MAPK1,PRKCA,RAP2B	
Transcriptional Regulatory Network in Embryonic Stem Cells	2.54E-01		4.65E-02	H3F3A/H3F3B,HIST4H4	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.56E-01		4.48E-02	ADCY8,GAL,ITPR2	
PAK Signaling	2.56E-01	0.0	4.40E-02	EPHB3,MAPK1,RAP2B,TNF	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	2.62E-01		5.56E-02	IPPK	
Fatty Acid α-oxidation	2.62E-01		5.56E-02	PTGS2	
Methionine Degradation I (to Homocysteine)	2.62E-01		5.56E-02	MRM2	
Valine Degradation I	2.62E-01		5.56E-02	AUH	
IL-1 Signaling	2.71E-01		4.49E-02	ADCY8,GNAL,MAP3K14,MAPK1	
ErbB4 Signaling	2.72E-01		4.62E-02	MAPK1,PRKCA,RAP2B	
Ovarian Cancer Signaling	2.73E-01		4.41E-02	FZD4,GSK3B,MAPK1,PTGS2,RAP2B,VEGFA	
Melatonin Degradation I	2.74E-01		4.88E-02	CYP51A1,Sult1a1	
Fc Epsilon RI Signaling	2.75E-01	-1.0	4.46E-02	MAPK1,PRKCA,RAC2,RAP2B,TNF	
GP6 Signaling Pathway	2.75E-01	-0.4472135954999579	4.46E-02	CAMK4,COL6A3,COL9A3,GSK3B,PRKCA	
Germ Cell-Sertoli Cell Junction Signaling	2.76E-01		4.40E-02	AFDN,EPN2,MAP3K14,MAPK1,RAC2,RAP2B,TNF	
D-myo-inositol (1,4,5)-trisphosphate Degradation	2.79E-01		5.88E-02	IMPAD1	
Actin Cytoskeleton Signaling	2.81E-01	0.3779644730092272	4.39E-02	ABI2,DOCK1,F2R,FGF11,FGF13,FN1,MAPK1,RAC2,RAP2B	
Acute Myeloid Leukemia Signaling	2.85E-01	-1.0	4.60E-02	MAPK1,PML,RAP2B,STAT5B	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.85E-01		4.60E-02	CAMK4,MAPK1,NFATC2,RAP2B	
MIF Regulation of Innate Immunity	2.86E-01		5.00E-02	MAPK1,PTGS2	
Extrinsic Prothrombin Activation Pathway	2.97E-01		6.25E-02	F3	
Inflammasome pathway	2.97E-01		6.25E-02	IL1B	
Parkinson's Signaling	2.97E-01		6.25E-02	MAPK1	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.97E-01		6.25E-02	ACAT1	
nNOS Signaling in Skeletal Muscle Cells	2.97E-01		5.13E-02	CAMK4,DAG1	
CD40 Signaling	2.99E-01		4.84E-02	MAP3K14,MAPK1,PTGS2	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	2.99E-01		4.84E-02	CSNK1D,FZD4,GSK3B	
Synaptogenesis Signaling Pathway	3.01E-01	-1.9414506867883021	4.42E-02	ADCY8,AFDN,APOE,CAMK2A,CAMK2D,CAMK4,EPHB3,GSK3B,ITSN1,MAPK1,RAP2B,SNAP25,THBS2	
Androgen Signaling	3.04E-01		4.58E-02	CAMK4,DNAJB1,GNAL,GTF2H3,MAPK1,PRKCA	
CREB Signaling in Neurons	3.07E-01	-2.1213203435596424	4.50E-02	ADCY8,CAMK2A,CAMK2D,CAMK4,GNAL,ITPR2,MAPK1,PRKCA,RAP2B	
Cardiac β-adrenergic Signaling	3.11E-01	-1.6329931618554523	4.62E-02	ADCY8,ATP2A2,ATP2A3,PKIB,PPM1L,PPP1R1A	
Granzyme B Signaling	3.16E-01		6.67E-02	PRF1	
Vitamin-C Transport	3.16E-01		6.67E-02	GSTO2	
γ-linolenate Biosynthesis II (Animals)	3.16E-01		6.67E-02	FADS1	
RANK Signaling in Osteoclasts	3.18E-01		4.82E-02	CAMK4,MAP3K14,MAPK1,NFATC2	
Induction of Apoptosis by HIV1	3.19E-01		5.00E-02	CXCR4,MAP3K14,TNF	
PCP pathway	3.19E-01		5.00E-02	DAAM1,FZD4,VANGL1	
Endometrial Cancer Signaling	3.29E-01		5.08E-02	GSK3B,MAPK1,RAP2B	
Glutaryl-CoA Degradation	3.38E-01		7.14E-02	ACAT1	
Paxillin Signaling	3.49E-01		4.90E-02	DOCK1,ITGA9,ITGAX,MAPK1,RAP2B	
PXR/RXR Activation	3.5E-01		5.26E-02	FOXO1,IL6,TNF	
PTEN Signaling	3.53E-01	0.0	4.84E-02	FLT1,FOXO1,GSK3B,MAPK1,RAC2,RAP2B	
LPS-stimulated MAPK Signaling	3.53E-01	0.0	5.06E-02	MAP3K14,MAPK1,PRKCA,RAP2B	
HIF1α Signaling	3.57E-01		4.95E-02	EGLN3,MAPK1,MMP15,RAP2B,VEGFA	
IGF-1 Signaling	3.57E-01	0.0	4.95E-02	FOXO1,IGF1,MAPK1,RAP2B,SOCS2	
14-3-3-mediated Signaling	3.6E-01	0.4472135954999579	4.88E-02	FOXO1,GSK3B,MAPK1,PRKCA,RAP2B,TNF	
Acyl-CoA Hydrolysis	3.61E-01		7.69E-02	THEM5	
Cholesterol Biosynthesis I	3.61E-01		7.69E-02	CYP51A1	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	3.61E-01		7.69E-02	CYP51A1	
Cholesterol Biosynthesis III (via Desmosterol)	3.61E-01		7.69E-02	CYP51A1	
Semaphorin Signaling in Neurons	3.62E-01		5.36E-02	MAPK1,RAC2,SEMA4D	
Gαs Signaling	3.65E-01	0.4472135954999579	5.00E-02	ADCY8,ADD1,MAPK1,PTGER4,RGS2	
CNTF Signaling	3.73E-01		5.45E-02	MAPK1,RAP2B,STAT1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	3.73E-01		5.45E-02	ATMIN,CDK1,PPM1L	
Sirtuin Signaling Pathway	3.75E-01	0.5773502691896258	4.69E-02	ARNTL,FOXO1,GSK3B,H1F0,H3F3A/H3F3B,HIST1H1C,Hist1h1e,MAPK1,NAMPT,NFE2L2,TNF,TP53BP1	
Adrenomedullin signaling pathway	3.77E-01	0.3333333333333333	4.79E-02	ADCY8,CAMK4,GSK3B,IL1B,IL1RN,ITPR2,MAPK1,RAP2B,TNF	
Inhibition of Matrix Metalloproteases	3.79E-01		6.06E-02	MMP15,THBS2	
SPINK1 General Cancer Pathway	3.85E-01		5.56E-02	IL6,MAPK1,RAP2B	
G-Protein Coupled Receptor Signaling	3.86E-01		4.72E-02	ADCY8,ADRA2A,CAMK2A,CAMK2D,CAMK4,GNAL,MAPK1,PRKCA,PTGER3,PTGER4,RAP2B,RGS2	
Assembly of RNA Polymerase III Complex	3.87E-01		8.33E-02	GTF3C4	
Mevalonate Pathway I	3.87E-01		8.33E-02	ACAT1	
Agrin Interactions at Neuromuscular Junction	3.93E-01		5.33E-02	DAG1,MAPK1,RAC2,RAP2B	
MIF-mediated Glucocorticoid Regulation	3.95E-01		6.25E-02	MAPK1,PTGS2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	4.03E-01		4.89E-02	FGF11,FGF13,FZD4,GSK3B,HGF,LOX,MAPK1,PARD6G,RAP2B	
Erythropoietin Signaling	4.04E-01		5.41E-02	MAPK1,PRKCA,RAP2B,STAT5B	
Macropinocytosis Signaling	4.04E-01	1.0	5.41E-02	CSF1,HGF,PRKCA,RAP2B	
Protein Kinase A Signaling	4.04E-01	-0.24253562503633297	4.68E-02	ADCY8,ADD1,CAMK2A,CAMK2D,CAMK4,GSK3B,H1F0,H3F3A/H3F3B,HIST1H1C,Hist1h1e,ITPR2,MAPK1,NFATC2,PPP1R1B,PRKCA,PTGS2,UBASH3B	
HOTAIR Regulatory Pathway	4.09E-01	-0.8164965809277261	5.04E-02	AEBP2,H3F3A/H3F3B,IRF1,JAM2,MMP15,SPP1,YY1	
MSP-RON Signaling Pathway	4.11E-01		5.77E-02	CSF1,IL12B,TNF	
4-1BB Signaling in T Lymphocytes	4.12E-01		6.45E-02	MAP3K14,MAPK1	
Axonal Guidance Signaling	4.14E-01		4.66E-02	ADAM33,CXCR4,DOCK1,EPHB3,FZD4,GNAL,GSK3B,IGF1,ITSN1,MAPK1,MMP15,NFATC2,PRKCA,RAC2,RAP2B,SEMA4B,SEMA4D,SEMA6D,SUFU,VEGFA,Wasl	
NAD biosynthesis II (from tryptophan)	4.16E-01		9.09E-02	QPRT	
Glioblastoma Multiforme Signaling	4.17E-01	0.3779644730092272	5.00E-02	FOXO1,FZD4,GSK3B,IGF1,ITPR2,MAPK1,RAC2,RAP2B	
ERK/MAPK Signaling	4.17E-01	-0.3333333333333333	4.95E-02	DOCK1,H3F3A/H3F3B,HSPB1,MAPK1,PPM1L,PRKCA,RAC2,RAP2B,STAT1	
Cdc42 Signaling	4.18E-01		5.17E-02	EXOC4,GSK3B,HLA-A,HLA-DQA1,HLA-G,MAPK1	
UVC-Induced MAPK Signaling	4.24E-01		5.88E-02	MAPK1,PRKCA,RAP2B	
Corticotropin Releasing Hormone Signaling	4.25E-01	-2.0	5.11E-02	ADCY8,CAMK4,ITPR2,MAPK1,PRKCA,PTGS2,VEGFA	
Dopamine Receptor Signaling	4.26E-01		5.56E-02	ADCY8,NCS1,PPM1L,PPP1R1B	
Estrogen-Dependent Breast Cancer Signaling	4.26E-01	0.0	5.56E-02	IGF1,MAPK1,RAP2B,STAT5B	
Non-Small Cell Lung Cancer Signaling	4.26E-01	-1.0	5.56E-02	ITPR2,MAPK1,PRKCA,RAP2B	
TNFR2 Signaling	4.29E-01		6.67E-02	MAP3K14,TNF	
FAK Signaling	4.31E-01		5.38E-02	CAPN2,DOCK1,MAPK1,RAP2B,TNS1	
p53 Signaling	4.31E-01	0.0	5.38E-02	CSNK1D,GSK3B,HIPK2,JMY,PML	
Endocannabinoid Cancer Inhibition Pathway	4.33E-01	-1.889822365046136	5.15E-02	ADCY8,CCND3,GNAL,GSK3B,MAPK1,PRKAB1,VEGFA	
Integrin Signaling	4.38E-01	-0.6324555320336759	4.98E-02	BCAR3,CAPN2,DOCK1,GSK3B,ITGA9,ITGAX,MAPK1,RAC2,RAP2B,Wasl	
Tight Junction Signaling	4.4E-01		5.10E-02	AFDN,CASK,CPSF2,JAM2,JAM3,PPM1L,SNAP25,TNF	
Endocannabinoid Developing Neuron Pathway	4.45E-01	0.0	5.31E-02	ADCY8,GNAL,GSK3B,MAPK1,RAC2,RAP2B	
Hematopoiesis from Multipotent Stem Cells	4.49E-01		1.00E-01	CSF1	
Ketogenesis	4.49E-01		1.00E-01	ACAT1	
Phagosome Maturation	4.5E-01		5.22E-02	CTSE,CTSW,CYBB,HLA-A,LAMP2,RAB7B,SNAP25	
Role of IL-17A in Arthritis	4.52E-01		6.12E-02	CXCL3,MAPK1,PTGS2	
UVB-Induced MAPK Signaling	4.52E-01		6.12E-02	H3F3A/H3F3B,MAPK1,PRKCA	
p38 MAPK Signaling	4.64E-01	1.6329931618554523	5.41E-02	H3F3A/H3F3B,HSPB1,IL1B,IL1RN,STAT1,TNF	
Salvage Pathways of Pyrimidine Ribonucleotides	4.73E-01	0.4472135954999579	5.62E-02	CDK1,CMPK2,CSNK1D,EIF2AK2,MAPK1	
Tec Kinase Signaling	4.8E-01	0.0	5.26E-02	GNAL,PRKCA,RAC2,STAT1,STAT2,STAT5B,TNF,TNFSF10	
OX40 Signaling Pathway	4.83E-01		6.38E-02	HLA-A,HLA-DQA1,HLA-G	
NER Pathway	4.84E-01	-1.0	5.68E-02	COPS7B,DNA2,GTF2H3,H3F3A/H3F3B,HIST4H4	
Sertoli Cell-Sertoli Cell Junction Signaling	4.85E-01		5.20E-02	AFDN,EPN2,GSK3B,JAM2,JAM3,MAP3K14,MAPK1,RAP2B,TNF	
Leucine Degradation I	4.86E-01		1.11E-01	AUH	
Superpathway of Cholesterol Biosynthesis	4.89E-01		7.41E-02	ACAT1,CYP51A1	
CD28 Signaling in T Helper Cells	4.94E-01	-2.0	5.56E-02	CAMK4,CD86,HLA-A,HLA-DQA1,ITPR2,NFATC2	
Opioid Signaling Pathway	5.05E-01	-2.3094010767585034	5.11E-02	ADCY8,CAMK2A,CAMK2D,CAMK4,GNAL,GSK3B,ITPR2,MAPK1,PENK,PRKCA,RAC2,RAP2B	
Apelin Liver Signaling Pathway	5.11E-01		7.69E-02	GSK3B,TNF	
