© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_12mo_Cd11b_Multiprobe - 2019-10-20 07:16 PM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_12mo_Cd11b_Multiprobe - 2019-10-20 07:16 PM
Date	Sun Oct 20 16:16:24 PDT 2019
Analysis ID	18426090

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_12mo_Cd11b_Multiprobe - 2019-10-20 07:16 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Insulin Receptor Signaling	3.25E-01	1.3416407864998738	3.70E-02	FOXO1,FYN,MRAS,PPP1R14A,RAP2B	
Cardiac Hypertrophy Signaling (Enhanced)	3.28E-01	2.32379000772445	3.49E-02	ADRB1,ENPP6,FGF1,FZD7,GNG11,IFNLR1,IGF1,IL25,MRAS,PDE1C,PLCB4,PTK2,RAP2B,TGFB2,TNFSF14,WNT3	
Chondroitin Sulfate Biosynthesis	3.28E-01		4.26E-02	B3GAT1,CHST15	
OX40 Signaling Pathway	3.28E-01		4.26E-02	CD3E,CD3G	
Superpathway of Melatonin Degradation	3.39E-01		4.35E-02	CYP2J2,MAOA	
CDK5 Signaling	3.43E-01	0.0	3.88E-02	MRAS,PPP1R14A,PPP2R3A,RAP2B	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.43E-01	2.0	3.88E-02	CACNA2D1,CACNB4,GNG11,PLCB4	
PFKFB4 Signaling Pathway	3.49E-01		4.44E-02	CREB1,TGFB2	
GDNF Family Ligand-Receptor Interactions	3.53E-01		4.11E-02	CREB1,MRAS,RAP2B	
Adrenomedullin signaling pathway	3.55E-01	1.1338934190276817	3.72E-02	ARNT,GUCY1A1,GUCY1B1,MRAS,PLCB4,PTK2,RAP2B	
Xenobiotic Metabolism Signaling	3.56E-01		3.66E-02	ARNT,CHST15,GSTM2,GSTZ1,MAOA,MRAS,NQO1,PPP2R3A,RAP2B	
Cardiomyocyte Differentiation via BMP Receptors	3.57E-01		5.88E-02	BMP4	
Lipid Antigen Presentation by CD1	3.57E-01		5.88E-02	CD3E	
Purine Nucleotides Degradation II (Aerobic)	3.57E-01		5.88E-02	ACPP	
HIF1α Signaling	3.58E-01		3.96E-02	ARNT,EGLN3,MRAS,RAP2B	
Phototransduction Pathway	3.61E-01		4.55E-02	GUCY1A1,GUCY1B1	
Stearate Biosynthesis I (Animals)	3.61E-01		4.55E-02	ACOT1,ACOT7	
IL-7 Signaling Pathway	3.62E-01		4.17E-02	FOXO1,FYN,PTK2	
Virus Entry via Endocytic Pathways	3.65E-01		4.00E-02	FYN,ITGB4,MRAS,RAP2B	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.69E-01	2.23606797749979	3.91E-02	DUSP15,NUDT11,PDCD1,PPP1R14A,PPP2R3A	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.69E-01	2.23606797749979	3.91E-02	DUSP15,NUDT11,PDCD1,PPP1R14A,PPP2R3A	
PI3K/AKT Signaling	3.69E-01	-1.0	3.91E-02	FOXO1,MAPK8IP1,MRAS,PPP2R3A,RAP2B	
ERK5 Signaling	3.71E-01		4.23E-02	CREB1,MRAS,RAP2B	
PPAR Signaling	3.73E-01	-1.0	4.04E-02	IL1RAP,IL1RAPL1,MRAS,RAP2B	
Mitochondrial L-carnitine Shuttle Pathway	3.77E-01		6.25E-02	CPT1C	
Parkinson's Signaling	3.77E-01		6.25E-02	UCHL1	
Dopamine-DARPP32 Feedback in cAMP Signaling	3.79E-01	0.8164965809277261	3.87E-02	CREB1,GUCY1A1,GUCY1B1,PLCB4,PPP1R14A,PPP2R3A	
Oncostatin M Signaling	3.84E-01		4.76E-02	MRAS,RAP2B	
Neuropathic Pain Signaling In Dorsal Horn Neurons	3.97E-01	1.0	4.17E-02	CREB1,GRIA2,GRIA4,PLCB4	
Caveolar-mediated Endocytosis Signaling	3.99E-01		4.41E-02	FYN,ITGAX,ITGB4	
14-3-3-mediated Signaling	4.04E-01		4.07E-02	FOXO1,MRAS,PLCB4,RAP2B,TUBB3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.07E-01		3.75E-02	AXIN1,CREB1,CSF1,DKK2,FZD7,IL1RAP,IL1RAPL1,MRAS,PLCB4,RAP2B,WNT3	
Growth Hormone Signaling	4.09E-01		4.48E-02	IGF1,SOCS2,SOCS6	
Role of JAK1 and JAK3 in γc Cytokine Signaling	4.09E-01		4.48E-02	MRAS,RAP2B,SYK	
Opioid Signaling Pathway	4.11E-01	1.0	3.83E-02	CACNA2D1,CACNB4,CREB1,FYN,GNG11,GRK4,MRAS,PDE1C,RAP2B	
TGF-β Signaling	4.13E-01		4.26E-02	BMP4,MRAS,RAP2B,TGFB2	
NRF2-mediated Oxidative Stress Response	4.19E-01		3.95E-02	FKBP5,GSTM2,GSTZ1,MRAS,NQO1,RAP2B,STIP1	
Adenosine Nucleotides Degradation II	4.21E-01		7.14E-02	ACPP	
SAPK/JNK Signaling	4.22E-01		4.30E-02	GNG11,MAPK8IP1,MRAS,RAP2B	
tRNA Splicing	4.24E-01		5.13E-02	ENPP6,PDE1C	
Melanocyte Development and Pigmentation Signaling	4.31E-01		4.35E-02	CREB1,MRAS,RAP2B,SOX10	
α-Adrenergic Signaling	4.31E-01		4.35E-02	GNB4,GNG11,MRAS,RAP2B	
Gustation Pathway	4.35E-01		4.20E-02	CACNA2D1,CACNB4,ENPP6,GNG11,PDE1C	
Serotonin Receptor Signaling	4.38E-01		5.26E-02	DDC,MAOA	
Myc Mediated Apoptosis Signaling	4.41E-01		4.69E-02	IGF1,MRAS,RAP2B	
Cellular Effects of Sildenafil (Viagra)	4.43E-01		4.24E-02	GUCY1A1,GUCY1B1,MYH14,PDE1C,PLCB4	
AMPK Signaling	4.44E-01	-1.889822365046136	3.98E-02	ACACA,ADRB1,CCNA2,CPT1C,CREB1,FOXO1,MRAS,PPP2R3A	
Choline Biosynthesis III	4.47E-01		7.69E-02	PCYT1B	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	4.47E-01		7.69E-02	ACPP	
ErbB2-ErbB3 Signaling	4.52E-01		4.76E-02	FOXO1,MRAS,RAP2B	
Role of IL-17F in Allergic Inflammatory Airway Diseases	4.53E-01		5.41E-02	CREB1,IGF1	
Triacylglycerol Biosynthesis	4.53E-01		5.41E-02	AGPAT4,MBOAT2	
IL-1 Signaling	4.59E-01		4.49E-02	GNB4,GNG11,IL1RAP,MRAS	
D-myo-inositol-5-phosphate Metabolism	4.61E-01	2.4494897427831783	4.20E-02	DUSP15,NUDT11,PDCD1,PLCB4,PPP1R14A,PPP2R3A	
G-Protein Coupled Receptor Signaling	4.62E-01		3.94E-02	ADRB1,CREB1,ENPP6,FYN,GRK4,MRAS,PDE1C,PLCB4,PTGER4,RAP2B	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	4.64E-01		4.84E-02	AXIN1,FZD7,WNT3	
Huntington's Disease Signaling	4.74E-01	0.0	4.02E-02	CASQ1,CREB1,DNM3,GNB4,GNG11,HIP1,IGF1,PACSIN1,PLCB4	
Guanosine Nucleotides Degradation III	4.74E-01		8.33E-02	ACPP	
Renin-Angiotensin Signaling	4.76E-01	1.3416407864998738	4.39E-02	MRAS,PAK3,PAK5,PTK2,RAP2B	
Coagulation System	4.84E-01		5.71E-02	F2R,PLAT	
Cholecystokinin/Gastrin-mediated Signaling	4.85E-01	1.3416407864998738	4.42E-02	MRAS,PLCB4,PTK2,RAP2B,RHOJ	
IL-2 Signaling	4.88E-01		5.00E-02	MRAS,RAP2B,SYK	
PCP pathway	4.88E-01		5.00E-02	FZD7,PFN2,WNT3	
FXR/RXR Activation	4.94E-01		4.46E-02	APOC4,APOE,FOXO1,LPL,VLDLR	
Endometrial Cancer Signaling	5E-01		5.08E-02	AXIN1,MRAS,RAP2B	
Leukotriene Biosynthesis	5.05E-01		9.09E-02	GGT7	
fMLP Signaling in Neutrophils	5.12E-01	1.0	4.55E-02	GNB4,GNG11,MRAS,PLCB4,RAP2B	
Systemic Lupus Erythematosus Signaling	5.24E-01		4.32E-02	CD3E,CD3G,CD72,MRAS,RAP2B,SNRPN,TNFRSF13C	
PI3K Signaling in B Lymphocytes	5.25E-01	0.0	4.44E-02	CREB1,FYN,MRAS,PLCB4,RAP2B,SYK	
HIPPO signaling	5.31E-01		4.88E-02	DLG2,PARD3,PPP1R14A,PPP2R3A	
Phagosome Maturation	5.34E-01		4.48E-02	ATP6V0D2,ATP6V0E2,CTSK,DYNC1I1,RAB7B,TUBB3	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	5.34E-01		4.48E-02	CLEC7A,CREB1,IL25,SYK,TGFB2,TNFSF14	
Circadian Rhythm Signaling	5.37E-01		6.25E-02	BHLHE40,CREB1	
Hematopoiesis from Multipotent Stem Cells	5.4E-01		1.00E-01	CSF1	
γ-glutamyl Cycle	5.4E-01		1.00E-01	GGT7	
Phagosome Formation	5.5E-01		4.72E-02	CLEC7A,ITGAX,PLCB4,RHOJ,SYK	
IL-8 Signaling	5.53E-01	1.889822365046136	4.32E-02	FLT1,GNB4,GNG11,ITGAX,MRAS,PTK2,RAP2B,RHOJ	
Colorectal Cancer Metastasis Signaling	5.53E-01	2.1213203435596424	4.18E-02	AXIN1,FZD7,GNB4,GNG11,MRAS,PTGER4,RAP2B,RHOJ,TGFB2,WNT3	
BMP signaling pathway	5.54E-01	0.0	5.00E-02	BMP4,CREB1,MRAS,RAP2B	
Role of JAK2 in Hormone-like Cytokine Signaling	5.56E-01		6.45E-02	SOCS2,SOCS6	
Role of RIG1-like Receptors in Antiviral Innate Immunity	5.56E-01		6.45E-02	DHX58,TANK	
JAK/Stat Signaling	5.66E-01	0.0	5.06E-02	MRAS,RAP2B,SOCS2,SOCS6	
Retinoate Biosynthesis I	5.76E-01		6.67E-02	RDH10,RDH12	
Cyclins and Cell Cycle Regulation	5.78E-01	-1.0	5.13E-02	CCNA2,CDK7,PPP2R3A,TGFB2	
TR/RXR Activation	5.78E-01		5.13E-02	ACACA,ADRB1,ME1,THRA	
Calcium Transport I	5.79E-01		1.11E-01	ANXA5	
cAMP-mediated signaling	5.81E-01	0.0	4.33E-02	ADRB1,AKAP4,AKAP6,CREB1,ENPP6,GRK4,PDE1C,PKIA,PTGER4	
Role of NFAT in Cardiac Hypertrophy	5.96E-01	2.1213203435596424	4.37E-02	CACNA2D1,CACNB4,GNB4,GNG11,IGF1,MRAS,PLCB4,RAP2B,TGFB2	
VDR/RXR Activation	6.03E-01		5.26E-02	FOXO1,MXD1,SPP1,TGFB2	
