© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->shortFragmentHuman - 2020-01-20 08:04 PM
Workspace	My Projects
Project	hd_microarray
Analysis	shortFragmentHuman - 2020-01-20 08:04 PM
Date	Mon Jan 20 17:04:34 PST 2020
Analysis ID	18745800

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->shortFragmentHuman - 2020-01-20 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	4.36E-01		1.12E-02	PLCG1	
Ceramide Signaling	4.4E-01		1.14E-02	TNFRSF1A	
PDGF Signaling	4.48E-01		1.16E-02	PLCG1	
HIPPO signaling	4.52E-01		1.18E-02	PPP1R3C	
FGF Signaling	4.56E-01		1.19E-02	PLCG1	
HER-2 Signaling in Breast Cancer	4.56E-01		1.19E-02	PLCG1	
NF-κB Activation by Viruses	4.65E-01		1.22E-02	ITGA6	
PEDF Signaling	4.65E-01		1.22E-02	SERPINF1	
Chemokine Signaling	4.73E-01		1.25E-02	PLCG1	
Agrin Interactions at Neuromuscular Junction	4.78E-01		1.27E-02	ITGA6	
Protein Kinase A Signaling	4.79E-01		7.54E-03	PDE1C,PLCG1,PPP1R3C	
Heparan Sulfate Biosynthesis	4.82E-01		1.28E-02	RPE65	
Systemic Lupus Erythematosus Signaling	4.86E-01		8.73E-03	PLCG1,PRPF38A	
Dopamine Receptor Signaling	4.87E-01		1.30E-02	PPP1R3C	
Erythropoietin Signaling	4.91E-01		1.32E-02	PLCG1	
GDNF Family Ligand-Receptor Interactions	4.91E-01		1.32E-02	PLCG1	
Macropinocytosis Signaling	4.91E-01		1.32E-02	PLCG1	
Neurotrophin/TRK Signaling	4.91E-01		1.32E-02	PLCG1	
TREM1 Signaling	4.96E-01		1.33E-02	PLCG1	
Leptin Signaling in Obesity	5.01E-01		1.35E-02	PLCG1	
Sperm Motility	5.02E-01		8.97E-03	PDE1C,PLCG1	
Caveolar-mediated Endocytosis Signaling	5.06E-01		1.37E-02	ITGA6	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	5.06E-01		1.37E-02	PLCG1	
Non-Small Cell Lung Cancer Signaling	5.06E-01		1.37E-02	PLCG1	
T Helper Cell Differentiation	5.06E-01		1.37E-02	TNFRSF1A	
Melatonin Signaling	5.11E-01		1.39E-02	PLCG1	
Growth Hormone Signaling	5.16E-01		1.41E-02	PLCG1	
Heparan Sulfate Biosynthesis (Late Stages)	5.16E-01		1.41E-02	RPE65	
IL-15 Signaling	5.16E-01		1.41E-02	PLCG1	
Integrin Signaling	5.28E-01		9.39E-03	ITGA6,PLCG1	
AMPK Signaling	5.31E-01		9.43E-03	FASN,HMGCR	
Osteoarthritis Pathway	5.34E-01		9.48E-03	HTRA1,TNFRSF1A	
ErbB4 Signaling	5.37E-01		1.49E-02	PLCG1	
Calcium-induced T Lymphocyte Apoptosis	5.42E-01		1.52E-02	PLCG1	
Netrin Signaling	5.48E-01		1.54E-02	UNC5B	
Phospholipases	5.59E-01		1.59E-02	PLCG1	
Thrombopoietin Signaling	5.59E-01		1.59E-02	PLCG1	
Wnt/Ca+ pathway	5.65E-01		1.61E-02	PLCG1	
Autophagy	5.71E-01		1.64E-02	WIPI1	
Induction of Apoptosis by HIV1	5.71E-01		1.64E-02	TNFRSF1A	
Superpathway of Inositol Phosphate Compounds	5.75E-01		1.02E-02	DOT1L,PLCG1	
Semaphorin Signaling in Neurons	5.77E-01		1.67E-02	NRP1	
ERK/MAPK Signaling	5.87E-01		1.04E-02	PLCG1,PPP1R3C	
CNTF Signaling	5.97E-01		1.75E-02	CNTFR	
PPARα/RXRα Activation	5.97E-01		1.05E-02	FASN,PLCG1	
EGF Signaling	6.1E-01		1.82E-02	PLCG1	
Dendritic Cell Maturation	6.2E-01		1.09E-02	PLCG1,TNFRSF1A	
TNFR1 Signaling	6.46E-01		2.00E-02	TNFRSF1A	
Germ Cell-Sertoli Cell Junction Signaling	6.63E-01		1.17E-02	ITGA6,TNFRSF1A	
Triacylglycerol Degradation	6.7E-01		2.13E-02	RPE65	
Synaptogenesis Signaling Pathway	6.71E-01		9.62E-03	NRXN1,PLCG1,VLDLR	
FAT10 Cancer Signaling Pathway	6.78E-01		2.17E-02	TNFRSF1A	
Dopamine-DARPP32 Feedback in cAMP Signaling	6.94E-01		1.23E-02	PLCG1,PPP1R3C	
Neuroinflammation Signaling Pathway	7.04E-01		1.00E-02	NFE2L2,PLCG1,TNFRSF1A	
Oncostatin M Signaling	7.04E-01		2.33E-02	OSMR	
Pyrimidine Ribonucleotides De Novo Biosynthesis	7.04E-01		2.33E-02	DHX9	
Serotonin Receptor Signaling	7.04E-01		2.33E-02	TPH1	
tRNA Splicing	7.04E-01		2.33E-02	PDE1C	
Intrinsic Prothrombin Activation Pathway	7.13E-01		2.38E-02	PROS1	
Retinol Biosynthesis	7.13E-01		2.38E-02	RBP1	
Pyrimidine Ribonucleotides Interconversion	7.23E-01		2.44E-02	DHX9	
Role of PKR in Interferon Induction and Antiviral Response	7.23E-01		2.44E-02	TNFRSF1A	
D-myo-inositol-5-phosphate Metabolism	7.27E-01		1.29E-02	DOT1L,PLCG1	
tRNA Charging	7.42E-01		2.56E-02	NARS1	
Docosahexaenoic Acid (DHA) Signaling	7.53E-01		2.63E-02	SERPINF1	
Superpathway of Methionine Degradation	7.63E-01		2.70E-02	GOT1	
Coagulation System	7.85E-01		2.86E-02	PROS1	
Protein Ubiquitination Pathway	7.87E-01		1.10E-02	DNAJB5,HSPB6,NEDD4	
Cardiac β-adrenergic Signaling	7.91E-01		1.42E-02	PDE1C,PPP1R3C	
Inhibition of Angiogenesis by TSP1	7.97E-01		2.94E-02	HSPG2	
Retinoate Biosynthesis I	8.09E-01		3.03E-02	RBP1	
Ethanol Degradation II	8.21E-01		3.12E-02	ACSS3	
Adipogenesis pathway	8.25E-01		1.49E-02	RBP1,TNFRSF1A	
G Protein Signaling Mediated by Tubby	8.34E-01		3.23E-02	PLCG1	
Cellular Effects of Sildenafil (Viagra)	8.41E-01		1.53E-02	PDE1C,PLCG1	
Reelin Signaling in Neurons	8.52E-01		1.55E-02	ITGA6,VLDLR	
Synaptic Long Term Potentiation	8.52E-01		1.55E-02	PLCG1,PPP1R3C	
White Adipose Tissue Browning Pathway	8.52E-01		1.55E-02	LDHA,NDN	
14-3-3-mediated Signaling	8.62E-01		1.57E-02	PLCG1,TNFRSF1A	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	9.2E-01		4.00E-02	PLCG1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	9.2E-01		4.00E-02	OSMR	
Ethanol Degradation IV	9.55E-01		4.35E-02	ACSS3	
LPS/IL-1 Mediated Inhibition of RXR Function	9.71E-01		1.34E-02	ALDH1L2,HMGCS1,TNFRSF1A	
CDK5 Signaling	9.77E-01		1.85E-02	ITGA6,PPP1R3C	
Virus Entry via Endocytic Pathways	9.84E-01		1.87E-02	ITGA6,PLCG1	
Axonal Guidance Signaling	9.88E-01		1.03E-02	ADAM12,NRP1,PLCG1,ROBO2,UNC5B	
PD-1, PD-L1 cancer immunotherapy pathway	9.91E-01		1.89E-02	PLCG1,TNFRSF1A	
Oxidative Ethanol Degradation III	1.03E00		5.26E-02	ACSS3	
Apoptosis Signaling	1.04E00		2.02E-02	PLCG1,TNFRSF1A	
Valine Degradation I	1.06E00		5.56E-02	BCAT1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.08E00		2.13E-02	DGKB,PLCG1	
Ubiquinol-10 Biosynthesis (Eukaryotic)	1.08E00		5.88E-02	COQ3	
Leukocyte Extravasation Signaling	1.1E00		1.52E-02	EDIL3,ITGA6,PLCG1	
Extrinsic Prothrombin Activation Pathway	1.1E00		6.25E-02	PROS1	
Granzyme B Signaling	1.1E00		6.25E-02	LMNB2	
Agranulocyte Adhesion and Diapedesis	1.12E00		1.56E-02	GLG1,ITGA6,TNFRSF1A	
Isoleucine Degradation I	1.13E00		6.67E-02	BCAT1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.14E00		1.60E-02	PLCG1,PPP1R3C,TNFRSF1A	
Glycogen Degradation III	1.16E00		7.14E-02	AGL	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	1.16E00		7.14E-02	GOT1	
TR/RXR Activation	1.16E00		2.38E-02	FASN,LDLR	
VEGF Family Ligand-Receptor Interactions	1.16E00		2.38E-02	NRP1,PLCG1	
Prolactin Signaling	1.19E00		2.47E-02	NMI,PLCG1	
Granulocyte Adhesion and Diapedesis	1.19E00		1.68E-02	GLG1,ITGA6,TNFRSF1A	
Xenobiotic Metabolism Signaling	1.22E00		1.39E-02	ALDH1L2,MAF,NFE2L2,NQO1	
Glycogen Degradation II	1.23E00		8.33E-02	AGL	
Hypoxia Signaling in the Cardiovascular System	1.26E00		2.70E-02	LDHA,NQO1	
Ketogenesis	1.26E00		9.09E-02	HMGCS1	
Leucine Degradation I	1.35E00		1.11E-01	BCAT1	
Superoxide Radicals Degradation	1.4E00		1.25E-01	NQO1	
Aryl Hydrocarbon Receptor Signaling	1.43E00		2.10E-02	ALDH1L2,NFE2L2,NQO1	
Aspartate Degradation II	1.45E00		1.43E-01	GOT1	
Superpathway of Serine and Glycine Biosynthesis I	1.45E00		1.43E-01	PSPH	
Glutamate Receptor Signaling	1.46E00		3.51E-02	SLC1A4,SLC38A1	
Unfolded protein response	1.48E00		3.57E-02	INSIG1,NFE2L2	
Pyruvate Fermentation to Lactate	1.52E00		1.67E-01	LDHA	
Serotonin and Melatonin Biosynthesis	1.52E00		1.67E-01	TPH1	
FXR/RXR Activation	1.57E00		2.38E-02	FASN,SERPINF1,VLDLR	
Serine Biosynthesis	1.6E00		2.00E-01	PSPH	
Trans, trans-farnesyl Diphosphate Biosynthesis	1.6E00		2.00E-01	IDI1	
Stearate Biosynthesis I (Animals)	1.64E00		4.35E-02	DHCR24,FASN	
Acetate Conversion to Acetyl-CoA	1.69E00		2.50E-01	ACSS3	
L-cysteine Degradation I	1.69E00		2.50E-01	GOT1	
Retinoate Biosynthesis II	1.69E00		2.50E-01	RBP1	
Inhibition of Matrix Metalloproteases	1.77E00		5.13E-02	ADAM12,HSPG2	
Sirtuin Signaling Pathway	1.77E00		1.72E-02	DOT1L,LDHA,NEDD4,NFE2L2,NQO1	
NRF2-mediated Oxidative Stress Response	1.79E00		2.12E-02	DNAJB5,MAF,NFE2L2,NQO1	
Aspartate Biosynthesis	1.82E00		3.33E-01	GOT1	
Glutamate Degradation II	1.82E00		3.33E-01	GOT1	
Acute Phase Response Signaling	1.87E00		2.23E-02	OSMR,RBP1,SERPINF1,TNFRSF1A	
Alanine Biosynthesis II	1.99E00		5.00E-01	GPT2	
Alanine Degradation III	1.99E00		5.00E-01	GPT2	
Epoxysqualene Biosynthesis	1.99E00		5.00E-01	SQLE	
Fatty Acid Biosynthesis Initiation II	1.99E00		5.00E-01	FASN	
L-cysteine Degradation III	1.99E00		5.00E-01	GOT1	
Palmitate Biosynthesis I (Animals)	1.99E00		5.00E-01	FASN	
Aldosterone Signaling in Epithelial Cells	2.06E00		2.53E-02	DNAJB5,HSPB6,NEDD4,PLCG1	
The Visual Cycle	2.34E00		1.00E-01	RBP1,RPE65	
Mechanisms of Viral Exit from Host Cells	2.92E00		7.32E-02	CHMP4C,LMNB2,NEDD4	
LXR/RXR Activation	3.41E00		4.13E-02	FASN,HMGCR,LDLR,SERPINF1,TNFRSF1A	
Zymosterol Biosynthesis	3.42E00		3.33E-01	MSMO1,NSDHL	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	7.59E00		2.78E-01	HMGCR,HMGCS1,IDI1,MVD,MVK	
Mevalonate Pathway I	8.21E00		3.57E-01	HMGCR,HMGCS1,IDI1,MVD,MVK	
Cholesterol Biosynthesis I	1.06E01		4.62E-01	DHCR24,DHCR7,MSMO1,NSDHL,SC5D,SQLE	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	1.06E01		4.62E-01	DHCR24,DHCR7,MSMO1,NSDHL,SC5D,SQLE	
Cholesterol Biosynthesis III (via Desmosterol)	1.06E01		4.62E-01	DHCR24,DHCR7,MSMO1,NSDHL,SC5D,SQLE	
Superpathway of Cholesterol Biosynthesis	1.79E01		3.79E-01	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE	

Upstream Regulators for My Projects->hd_microarray->shortFragmentHuman - 2020-01-20 08:04 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
shortFragmentHuman - 2020-01-20 08:04 PM	 	SREBF2	transcription regulator	 	 	 	 	 	7.26E-18	DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,STARD4	CEBPA,CEBPB,CREB1,CREBBP,CTNNB1,FOXO4,HTT,Ins1,SREBF1,SREBF2,TP53,cholesterol,lipid	
shortFragmentHuman - 2020-01-20 08:04 PM	 	(-)-norephedrine	chemical drug	 	 	 	 	 	1.36E-17	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MSMO1,MVD,MVK,SQLE	(-)-norephedrine,SREBF1,SREBF2,TP53,cholesterol	
shortFragmentHuman - 2020-01-20 08:04 PM	 	SCAP	other	 	 	 	 	 	1.52E-17	DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,STARD4	HTT,MBTPS1,SCAP,SREBF1,SREBF2,Srebp,TP53,cholesterol,lipid	
shortFragmentHuman - 2020-01-20 08:04 PM	 	SH3TC2	other	 	 	 	 	 	2.56E-16	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,MVD,MVK,NSDHL,SC5D,SQLE	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	isoquercitrin	chemical drug	 	 	 	 	 	3.47E-15	DHCR7,FASN,HMGCR,INSIG1,LDLR,MSMO1,SC5D,SQLE	SREBF1,SREBF2,TP53,isoquercitrin	
shortFragmentHuman - 2020-01-20 08:04 PM	 	chloropromazine	chemical drug	 	 	 	 	 	1.77E-14	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MSMO1,MVK,SC5D,SQLE,WIPI1	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	SIRT2	transcription regulator	 	 	 	 	 	4.01E-14	DHCR7,HMGCR,IDI1,MVD,MVK,NEDD4,SC5D,SQLE	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	POR	enzyme	 	 	 	 	 	5.48E-14	CHMP4C,DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,STARD4	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	RPTOR	other	 	 	 	 	 	1.26E-13	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,LDHA,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE	RPTOR,SREBF1,SREBF2,TP53	
shortFragmentHuman - 2020-01-20 08:04 PM	 	lysophosphatidylcholine	chemical - other	 	 	 	 	 	1.34E-13	DHCR7,FASN,HMGCR,HMGCS1,INSIG1,LDLR,MSMO1,MVD,MVK,NSDHL,SQLE	AKT1,FOXO4,HTT,SREBF1,SREBF2,TP53,lysophosphatidylcholine	
shortFragmentHuman - 2020-01-20 08:04 PM	 	SREBF1	transcription regulator	 	 	 	 	 	5.08E-13	ABCD2,DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MDK,MSMO1,MVD,NSDHL,RBP1,SC5D,SQLE,STARD4	CREB1,CREBBP,CTNNB1,ESR1,FOXO4,HTT,Ins1,SCAP,SREBF1,SREBF2,TP53,cholesterol,lipid	
shortFragmentHuman - 2020-01-20 08:04 PM	 	MFSD2A	transporter	 	 	 	 	 	1.75E-11	DHCR7,FASN,IDI1,INSIG1,LDLR,MVD,STARD4	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	ezetimibe	chemical drug	 	 	 	 	 	1.75E-11	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	SREBF1,SREBF2,cholesterol,ezetimibe	
shortFragmentHuman - 2020-01-20 08:04 PM	 	HDL-cholesterol	complex	 	 	 	 	 	1.89E-11	ALDH1L2,DHCR7,GPT2,HMGCS1,IDI1,MSMO1,SQLE,VLDLR	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	CYP51A1	enzyme	 	 	 	 	 	3.58E-11	DHCR24,HMGCR,MSMO1,NSDHL,SC5D,SQLE	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	CSF1	cytokine	 	 	 	 	 	1.82E-10	DHCR24,DHCR7,HMGCR,HMGCS1,IDI1,LDHA,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE,TNFRSF1A	CREB1,CREM,CSF1,CTNNB1	
shortFragmentHuman - 2020-01-20 08:04 PM	 	INSIG1	other	 	 	 	 	 	2.16E-10	DHCR24,DHCR7,FASN,HMGCR,HMGCS1,IDI1,LDLR,MVK,SQLE,STARD4	HTT,INSIG1,SREBF1,SREBF2,TP53,cholesterol,lipid	
shortFragmentHuman - 2020-01-20 08:04 PM	 	C4BP	complex	 	 	 	 	 	2.30E-10	HMGCR,HMGCS1,IDI1,MSMO1,MVD	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	LMNB1	other	 	 	 	 	 	2.93E-10	DHCR7,FASN,HMGCR,HMGCS1,LDLR,LMNB2,MSMO1,SQLE	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	rosuvastatin	chemical drug	 	 	 	 	 	3.31E-10	DHCR7,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	 	
shortFragmentHuman - 2020-01-20 08:04 PM	 	INSR	kinase	 	 	 	 	 	4.50E-10	DHCR7,FASN,GAS1,HMGCR,HMGCS1,IDI1,MSMO1,MVD,MVK,NDN,NFE2L2,NSDHL,SC5D,SIX4,SQLE,TNFRSF1A	AKT1,CREB1,CREM,CTNNB1,FOXO4,HTT,INSR	
shortFragmentHuman - 2020-01-20 08:04 PM	 	cholesterol	chemical - endogenous mammalian	 	 	 	 	 	4.84E-10	DHCR7,FASN,HMGCR,HMGCS1,IDI1,INSIG1,LDLR,MSMO1,NSDHL,RGCC,SC5D,SQLE,STARD4	HTT,INSIG1,SCAP,SREBF1,SREBF2,TP53,cholesterol,lipid	
shortFragmentHuman - 2020-01-20 08:04 PM	 	ATP7B	transporter	 	 	 	 	 	1.47E-09	FASN,HMGCR,HMGCS1,IDI1,LDLR,MSMO1,SQLE	 	
