© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q73_Vs_Q23_Glia - 2020-01-20 05:15 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q73_Vs_Q23_Glia - 2020-01-20 05:15 PM
Date	Mon Jan 20 14:15:54 PST 2020
Analysis ID	18745373

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q73_Vs_Q23_Glia - 2020-01-20 05:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
T Cell Exhaustion Signaling Pathway	-0E00		6.21E-03	PLCG1	
T Cell Receptor Signaling	-0E00		9.80E-03	PLCG1	
Tec Kinase Signaling	-0E00		1.30E-02	ITGA4,PLCG1	
Th17 Activation Pathway	-0E00		1.19E-02	SOCS3	
Thrombin Signaling	-0E00		4.93E-03	PLCG1	
Toll-like Receptor Signaling	-0E00		1.33E-02	TNFAIP3	
Type I Diabetes Mellitus Signaling	-0E00		9.80E-03	SOCS3	
Type II Diabetes Mellitus Signaling	-0E00		7.19E-03	SOCS3	
UVA-Induced MAPK Signaling	-0E00		1.03E-02	PLCG1	
White Adipose Tissue Browning Pathway	-0E00		7.81E-03	FGFR2	
eNOS Signaling	-0E00		1.32E-02	PLCG1,SLC7A1	
iCOS-iCOSL Signaling in T Helper Cells	-0E00		9.80E-03	PLCG1	
mTOR Signaling	-0E00		1.03E-02	DDIT4,EIF4EBP1	
p38 MAPK Signaling	-0E00		8.77E-03	H3C3	
p70S6K Signaling	-0E00		7.81E-03	PLCG1	
α-Adrenergic Signaling	-0E00		1.08E-02	PLCG1	
Eicosanoid Signaling	2.06E-01		1.59E-02	PLAAT4	
Thrombopoietin Signaling	2.06E-01		1.59E-02	PLCG1	
PCP pathway	2.18E-01		1.67E-02	FZD8	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.32E-01		1.75E-02	RFC4	
CNTF Signaling	2.37E-01		1.79E-02	CNTFR	
Calcium-induced T Lymphocyte Apoptosis	2.37E-01		1.79E-02	PLCG1	
Glutamate Receptor Signaling	2.37E-01		1.79E-02	GRM3	
14-3-3-mediated Signaling	2.38E-01		1.59E-02	GFAP,PLCG1	
Cellular Effects of Sildenafil (Viagra)	2.38E-01		1.59E-02	PDE3A,PLCG1	
PTEN Signaling	2.38E-01		1.59E-02	FGFR2,ITGA4	
Reelin Signaling in Neurons	2.38E-01		1.59E-02	ITGA4,ITGA6	
Synaptic Long Term Potentiation	2.38E-01		1.59E-02	GRM3,PLCG1	
IL-8 Signaling	2.39E-01		1.54E-02	EIF4EBP1,ICAM1,MMP2	
IL-6 Signaling	2.41E-01		1.60E-02	A2M,SOCS3	
EGF Signaling	2.42E-01		1.82E-02	PLCG1	
Unfolded protein response	2.42E-01		1.82E-02	CEBPD	
Gap Junction Signaling	2.47E-01		1.56E-02	CTH,HTR2A,PLCG1	
Xenobiotic Metabolism Signaling	2.47E-01		1.54E-02	ANKRA2,HS3ST3B1,HS6ST2,NDST1	
SPINK1 Pancreatic Cancer Pathway	2.52E-01		1.89E-02	CPD	
Superpathway of Inositol Phosphate Compounds	2.52E-01		1.58E-02	DOT1L,PLCG1,SOCS3	
Autophagy	2.58E-01		1.92E-02	WIPI1	
RhoA Signaling	2.59E-01		1.67E-02	NRP2,SEPTIN6	
IL-15 Production	2.66E-01		1.69E-02	DDR2,FGFR2	
LXR/RXR Activation	2.66E-01		1.69E-02	FASN,HMGCR	
Amyloid Processing	2.69E-01		2.00E-02	CAPN5	
Assembly of RNA Polymerase II Complex	2.69E-01		2.00E-02	TAF3	
GP6 Signaling Pathway	2.73E-01		1.72E-02	COL4A1,LAMB1	
Renin-Angiotensin Signaling	2.73E-01		1.72E-02	PLCG1,SHC3	
Molecular Mechanisms of Cancer	2.77E-01		1.58E-02	BIRC3,CASP6,FZD8,ITGA4,PMAIP1,RASGRF2	
Phagosome Formation	2.85E-01		1.77E-02	ITGA4,PLCG1	
Ephrin A Signaling	2.87E-01		2.13E-02	EFNA5	
FAT10 Cancer Signaling Pathway	2.93E-01		2.17E-02	CXCR4	
nNOS Signaling in Neurons	2.93E-01		2.17E-02	CAPN5	
PPARα/RXRα Activation	2.94E-01		1.70E-02	BCL3,FASN,PLCG1	
Th1 Pathway	2.97E-01		1.82E-02	ICAM1,SOCS3	
Ephrin Receptor Signaling	2.98E-01		1.71E-02	CXCR4,EFNA5,ITGA4	
IL-23 Signaling Pathway	3.07E-01		2.27E-02	SOCS3	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	3.07E-01		2.27E-02	CASP6	
iNOS Signaling	3.07E-01		2.27E-02	HMGA1	
PI3K/AKT Signaling	3.08E-01		1.74E-02	EIF4EBP1,IL13RA1,ITGA4	
CDK5 Signaling	3.1E-01		1.87E-02	ITGA6,LAMB1	
Primary Immunodeficiency Signaling	3.14E-01		2.33E-02	CIITA	
tRNA Splicing	3.14E-01		2.33E-02	PDE3A	
Wnt/β-catenin Signaling	3.15E-01		1.76E-02	CD44,FZD8,PPARD	
Huntington's Disease Signaling	3.16E-01		1.71E-02	CAPN5,CASP6,CASQ1,VTI1A	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.17E-01		1.68E-02	CEBPD,FZD8,ICAM1,PLCG1,SOCS3	
Tight Junction Signaling	3.25E-01		1.80E-02	NECTIN2,TIAM1,VTI1A	
Antioxidant Action of Vitamin C	3.28E-01		1.94E-02	PLAAT4,PLCG1	
Mechanisms of Viral Exit from Host Cells	3.28E-01		2.44E-02	CHMP4C	
Serotonin Receptor Signaling	3.28E-01		2.44E-02	HTR2A	
MIF Regulation of Innate Immunity	3.36E-01		2.50E-02	CD74	
Neuroinflammation Signaling Pathway	3.41E-01		1.73E-02	BIRC3,GABRQ,ICAM1,PLCG1,SLC6A1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	3.42E-01		2.00E-02	GRM3,PLCG1	
cAMP-mediated signaling	3.44E-01	-2.0	1.78E-02	GRM3,PDE3A,RGS10,S1PR1	
p53 Signaling	3.57E-01		2.06E-02	CASP6,PMAIP1	
Cardiac Hypertrophy Signaling (Enhanced)	3.58E-01	-0.7071067811865475	1.69E-02	CTF1,EIF4EBP1,FGFR2,FZD8,IL13RA1,ITGA4,PDE3A,PLCG1	
TGF-β Signaling	3.62E-01		2.08E-02	PMEPA1,RUNX2	
VEGF Signaling	3.62E-01		2.08E-02	ACTN2,PLCG1	
Amyotrophic Lateral Sclerosis Signaling	3.68E-01		2.11E-02	BIRC3,CAPN5	
GABA Receptor Signaling	3.73E-01		2.13E-02	GABRQ,SLC6A1	
IL-17A Signaling in Fibroblasts	3.79E-01		2.86E-02	CEBPD	
Sperm Motility	3.88E-01		1.89E-02	DDR2,FGFR2,PLAAT4,PLCG1	
Superpathway of Methionine Degradation	3.89E-01		2.94E-02	CTH	
D-myo-inositol-5-phosphate Metabolism	3.98E-01		2.01E-02	DOT1L,PLCG1,SOCS3	
Epithelial Adherens Junction Signaling	3.98E-01		2.01E-02	ACTN2,HGF,NECTIN2	
G-Protein Coupled Receptor Signaling	4E-01		1.85E-02	GRM3,HTR2A,PDE3A,RGS10,S1PR1	
Death Receptor Signaling	4.01E-01		2.25E-02	BIRC3,CASP6	
AMPK Signaling	4.03E-01		1.92E-02	AK3,EIF4EBP1,FASN,HMGCR	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	4.03E-01	0.0	1.92E-02	CASP6,CASQ1,CD44,PLCG1	
MIF-mediated Glucocorticoid Regulation	4.09E-01		3.12E-02	CD74	
Role of JAK2 in Hormone-like Cytokine Signaling	4.09E-01		3.12E-02	SOCS3	
LPS/IL-1 Mediated Inhibition of RXR Function	4.15E-01		1.95E-02	HMGCS1,HS3ST3B1,HS6ST2,NDST1	
HER-2 Signaling in Breast Cancer	4.32E-01		2.38E-02	MMP2,PLCG1	
TR/RXR Activation	4.32E-01		2.38E-02	BCL3,FASN	
Corticotropin Releasing Hormone Signaling	4.4E-01		2.14E-02	CRH,CTH,PLCG1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	4.42E-01		3.45E-02	CASP6	
G Protein Signaling Mediated by Tubby	4.42E-01		3.45E-02	PLCG1	
IL-4 Signaling	4.45E-01		2.44E-02	HMGA1,IL13RA1	
NF-κB Activation by Viruses	4.52E-01		2.47E-02	ITGA4,ITGA6	
Ovarian Cancer Signaling	4.55E-01		2.19E-02	CD44,FZD8,MMP2	
Estrogen Receptor Signaling	4.61E-01		2.21E-02	H3C3,RUNX2,TAF3	
Ethanol Degradation II	4.67E-01		3.70E-02	ACSS3	
Adrenomedullin signaling pathway	4.69E-01		2.08E-02	CTH,MMP2,PLCG1,SHC3	
Chemokine Signaling	4.81E-01		2.60E-02	CXCR4,PLCG1	
Human Embryonic Stem Cell Pluripotency	4.82E-01		2.27E-02	FGFR2,FZD8,S1PR1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	4.83E-01		2.12E-02	FGFR2,FZD8,HGF,MMP2	
ERK/MAPK Signaling	4.87E-01	0.0	2.13E-02	EIF4EBP1,H3C3,ITGA4,PLCG1	
Erythropoietin Signaling	4.88E-01		2.63E-02	PLCG1,SOCS3	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	4.94E-01		4.00E-02	PLCG1	
Macropinocytosis Signaling	4.96E-01		2.67E-02	HGF,PLCG1	
VDR/RXR Activation	4.96E-01		2.67E-02	PPARD,RUNX2	
IL-22 Signaling	5.09E-01		4.17E-02	SOCS3	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	5.19E-01		2.78E-02	GRPR,PLCG1	
Sertoli Cell-Sertoli Cell Junction Signaling	5.21E-01		2.21E-02	A2M,ACTN2,ITGA4,NECTIN2	
Gαi Signaling	5.23E-01		2.40E-02	GRM3,RGS10,S1PR1	
Cysteine Biosynthesis III (mammalia)	5.57E-01		4.76E-02	CTH	
Glutathione Redox Reactions I	5.57E-01		4.76E-02	GPX8	
Remodeling of Epithelial Adherens Junctions	5.8E-01		3.08E-02	ACTN2,HGF	
CD40 Signaling	5.9E-01		3.12E-02	ICAM1,TNFAIP3	
Ethanol Degradation IV	5.95E-01		5.26E-02	ACSS3	
Dendritic Cell Maturation	6.01E-01	0.0	2.41E-02	CD58,DDR2,ICAM1,PLCG1	
Germ Cell-Sertoli Cell Junction Signaling	6.07E-01		2.42E-02	A2M,ACTN2,ITGA6,NECTIN2	
Valine Degradation I	6.15E-01		5.56E-02	BCAT1	
Wnt/Ca+ pathway	6.2E-01		3.28E-02	FZD8,PLCG1	
HGF Signaling	6.23E-01		2.73E-02	HGF,ITGA4,PLCG1	
Induction of Apoptosis by HIV1	6.3E-01		3.33E-02	BIRC3,CXCR4	
SPINK1 General Cancer Pathway	6.3E-01		3.33E-02	MT1F,MT3	
Rac Signaling	6.31E-01		2.75E-02	CD44,ITGA4,TIAM1	
Th1 and Th2 Activation Pathway	6.37E-01		2.50E-02	CXCR4,ICAM1,S1PR1,SOCS3	
Phospholipases	6.52E-01		3.45E-02	PLAAT4,PLCG1	
Mismatch Repair in Eukaryotes	6.6E-01		6.25E-02	RFC4	
Semaphorin Signaling in Neurons	6.74E-01		3.57E-02	DPYSL3,NRP1	
Isoleucine Degradation I	6.84E-01		6.67E-02	BCAT1	
Oxidative Ethanol Degradation III	6.84E-01		6.67E-02	ACSS3	
UVB-Induced MAPK Signaling	7.36E-01		3.92E-02	EIF4EBP1,H3C3	
Neuregulin Signaling	7.57E-01		3.19E-02	ITGA4,PLCG1,RNF41	
Endocannabinoid Cancer Inhibition Pathway	7.67E-01	0.0	2.84E-02	CASP6,CASQ1,MMP2,NUPR1	
Ketogenesis	8.06E-01		9.09E-02	HMGCS1	
STAT3 Pathway	8.14E-01		2.96E-02	FGFR2,HGF,IL13RA1,SOCS3	
Synaptic Long Term Depression	8.29E-01	-1.0	2.75E-02	CRH,CTH,GRM3,PLAAT4,PLCG1	
Glycine Betaine Degradation	8.44E-01		1.00E-01	SHMT2	
Oncostatin M Signaling	8.52E-01		4.65E-02	OSMR,PLAU	
FGF Signaling	8.7E-01		3.61E-02	FGFR2,HGF,PLCG1	
Leucine Degradation I	8.87E-01		1.11E-01	BCAT1	
Th2 Pathway	8.91E-01		3.17E-02	CXCR4,ICAM1,S1PR1,SOCS3	
Prolactin Signaling	8.93E-01		3.70E-02	NMI,PLCG1,SOCS3	
VEGF Family Ligand-Receptor Interactions	8.93E-01		3.70E-02	NRP1,NRP2,PLCG1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	9.35E-01		1.25E-01	MMP2	
Histidine Degradation III	9.35E-01		1.25E-01	MTHFD2	
tRNA Charging	9.4E-01		5.26E-02	AARS1,GARS1	
Atherosclerosis Signaling	9.47E-01		3.33E-02	CXCR4,ICAM1,ITGA4,PLAAT4	
Retinol Biosynthesis	9.59E-01		5.41E-02	RBP1,RBP7	
Agrin Interactions at Neuromuscular Junction	9.8E-01		4.05E-02	ITGA4,ITGA6,LAMB1	
Coagulation System	9.99E-01		5.71E-02	A2M,PLAU	
Granulocyte Adhesion and Diapedesis	1E00		3.12E-02	CXCR4,ICAM1,ITGA4,ITGA6,MMP2	
Glioma Invasiveness Signaling	1.01E00		4.17E-02	CD44,MMP2,PLAU	
Leptin Signaling in Obesity	1.01E00		4.17E-02	PDE3A,PLCG1,SOCS3	
Sphingosine-1-phosphate Signaling	1.01E00	-1.0	3.51E-02	CASP6,CASQ1,PLCG1,S1PR1	
Growth Hormone Signaling	1.02E00		4.23E-02	A2M,PLCG1,SOCS3	
Antigen Presentation Pathway	1.02E00		5.88E-02	CD74,CIITA	
TREM1 Signaling	1.03E00		4.29E-02	CIITA,ICAM1,PLCG1	
Circadian Rhythm Signaling	1.04E00		6.06E-02	ADCYAP1R1,CRY1	
IL-9 Signaling	1.04E00		6.06E-02	BCL3,SOCS3	
TWEAK Signaling	1.04E00		6.06E-02	BIRC3,CASP6	
HOTAIR Regulatory Pathway	1.05E00	2.0	3.25E-02	CD44,H3C3,ICAM1,MMP2,PCDH10	
Adenine and Adenosine Salvage III	1.05E00		1.67E-01	HPRT1	
Virus Entry via Endocytic Pathways	1.11E00		3.81E-02	CD55,ITGA4,ITGA6,PLCG1	
Retinoate Biosynthesis I	1.11E00		6.67E-02	RBP1,RBP7	
Paxillin Signaling	1.12E00		3.85E-02	ACTN2,ITGA4,ITGA6,ITGA9	
Regulation of Cellular Mechanics by Calpain Protease	1.12E00		4.69E-02	ACTN2,CAPN5,ITGA4	
Folate Polyglutamylation	1.13E00		2.00E-01	SHMT2	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	1.13E00		2.00E-01	MTHFD2	
dTMP De Novo Biosynthesis	1.13E00		2.00E-01	SHMT2	
TNFR2 Signaling	1.14E00		6.90E-02	BIRC3,TNFAIP3	
Apoptosis Signaling	1.19E00	1.0	4.08E-02	BIRC3,CAPN5,CASP6,PLCG1	
Endothelin-1 Signaling	1.21E00	-0.4472135954999579	3.30E-02	CASP6,CASQ1,ECE1,PLAAT4,PLCG1,SHC3	
Acetate Conversion to Acetyl-CoA	1.22E00		2.50E-01	ACSS3	
Trans, trans-farnesyl Diphosphate Biosynthesis	1.22E00		2.50E-01	IDI1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.25E00		8.00E-02	OSMR,SOCS3	
FAK Signaling	1.26E00		4.30E-02	ARHGAP26,CAPN5,ITGA4,PLCG1	
Acute Phase Response Signaling	1.27E00		3.41E-02	A2M,OSMR,RBP1,RBP7,SERPING1,SOCS3	
Tumoricidal Function of Hepatic Natural Killer Cells	1.29E00		8.33E-02	CASP6,ICAM1	
Adipogenesis pathway	1.29E00		3.82E-02	CEBPD,FGFR2,FZD8,RBP1,TXNIP	
Dermatan Sulfate Biosynthesis	1.3E00		5.56E-02	HS3ST3B1,HS6ST2,NDST1	
Chondroitin Sulfate Biosynthesis	1.36E00		5.88E-02	HS3ST3B1,HS6ST2,NDST1	
Integrin Signaling	1.44E00	1.1338934190276817	3.47E-02	ACTN2,ARHGAP26,CAPN5,ITGA4,ITGA6,ITGA9,PLCG1	
TNFR1 Signaling	1.45E00		6.38E-02	BIRC3,CASP6,TNFAIP3	
Stearate Biosynthesis I (Animals)	1.5E00		6.67E-02	ACOT1,ACOT2,FASN	
Cysteine Biosynthesis/Homocysteine Degradation	1.52E00		5.00E-01	CTH	
Epoxysqualene Biosynthesis	1.52E00		5.00E-01	SQLE	
Fatty Acid Biosynthesis Initiation II	1.52E00		5.00E-01	FASN	
Glycine Biosynthesis I	1.52E00		5.00E-01	SHMT2	
Guanine and Guanosine Salvage I	1.52E00		5.00E-01	HPRT1	
Palmitate Biosynthesis I (Animals)	1.52E00		5.00E-01	FASN	
Chondroitin Sulfate Biosynthesis (Late Stages)	1.55E00		6.98E-02	HS3ST3B1,HS6ST2,NDST1	
