© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q73_Vs_pTANK_Glia - 2020-01-20 05:17 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q73_Vs_pTANK_Glia - 2020-01-20 05:17 PM
Date	Mon Jan 20 14:17:06 PST 2020
Analysis ID	18745375

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q73_Vs_pTANK_Glia - 2020-01-20 05:17 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Integrin Signaling	-0E00		1.49E-02	ITGA5,ITGA6,PLCG1	
Intrinsic Prothrombin Activation Pathway	-0E00		2.50E-02	PROS1	
Iron homeostasis signaling pathway	-0E00		1.55E-02	GDF15,LRP1	
JAK/Stat Signaling	-0E00		2.50E-02	CEBPB,SOCS3	
LPS-stimulated MAPK Signaling	-0E00		1.22E-02	MAP2K6	
MIF Regulation of Innate Immunity	-0E00		2.50E-02	CD74	
MSP-RON Signaling Pathway	-0E00		1.75E-02	CCL2	
Melanocyte Development and Pigmentation Signaling	-0E00		1.06E-02	PLCG1	
Melatonin Degradation I	-0E00		2.17E-02	EXT2	
Mitochondrial Dysfunction	-0E00		6.25E-03	VDAC3	
Molecular Mechanisms of Cancer	-0E00		1.84E-02	APC,CDKN2C,ITGA5,LRP1,MAP2K6,PMAIP1,RASGRF2	
Mouse Embryonic Stem Cell Pluripotency	-0E00		9.80E-03	APC	
NF-κB Activation by Viruses	-0E00		2.47E-02	ITGA5,ITGA6	
NGF Signaling	-0E00		8.85E-03	PLCG1	
Natural Killer Cell Signaling	-0E00		2.63E-02	INPP5B,PLCG1,SH3BP2	
Netrin Signaling	-0E00		1.54E-02	UNC5B	
Neuregulin Signaling	-0E00		2.13E-02	ITGA5,PLCG1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00		1.85E-02	HLA-A,HTRA1	
Neurotrophin/TRK Signaling	-0E00		2.63E-02	MAP2K6,PLCG1	
Nicotine Degradation II	-0E00		2.04E-02	EXT2	
Nicotine Degradation III	-0E00		2.33E-02	EXT2	
Nur77 Signaling in T Lymphocytes	-0E00		2.04E-02	HLA-A	
OX40 Signaling Pathway	-0E00		2.13E-02	HLA-A	
Opioid Signaling Pathway	-0E00		8.20E-03	MAP2K6,PDE1C	
P2Y Purigenic Receptor Signaling Pathway	-0E00		2.38E-02	PLCD3,PLCE1,PLCG1	
PAK Signaling	-0E00		1.05E-02	ITGA5	
PDGF Signaling	-0E00		2.33E-02	INPP5B,PLCG1	
PEDF Signaling	-0E00		1.22E-02	SERPINF1	
PKCθ Signaling in T Lymphocytes	-0E00		1.37E-02	HLA-A,PLCG1	
PPAR Signaling	-0E00		1.00E-02	TNFRSF1A	
PXR/RXR Activation	-0E00		1.67E-02	SCD	
Pancreatic Adenocarcinoma Signaling	-0E00		1.87E-02	PLD3,VEGFA	
Paxillin Signaling	-0E00		1.92E-02	ITGA5,ITGA6	
Phospholipase C Signaling	-0E00	-1.0	2.10E-02	ITGA5,PLCD3,PLCE1,PLCG1,PLD3	
Primary Immunodeficiency Signaling	-0E00		2.33E-02	CIITA	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00		1.64E-02	PLCG1,PPP1R3C,TNFRSF1A	
Protein Ubiquitination Pathway	-0E00		1.89E-02	DNAJB5,HLA-A,HSPB6,NEDD4,USP31	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00		1.56E-02	MAP2K6	
RANK Signaling in Osteoclasts	-0E00		1.16E-02	MAP2K6	
RAR Activation	-0E00		2.11E-02	DPF1,PHF10,RBP1,VEGFA	
Rac Signaling	-0E00		1.83E-02	CD44,ITGA5	
Regulation of Actin-based Motility by Rho	-0E00		1.16E-02	ITGA5	
Regulation of Cellular Mechanics by Calpain Protease	-0E00		1.56E-02	ITGA5	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		1.16E-02	PLCG1	
Regulation of eIF4 and p70S6K Signaling	-0E00		2.04E-02	EIF4A3,EIF4EBP1,ITGA5	
Renal Cell Carcinoma Signaling	-0E00		2.60E-02	HGF,VEGFA	
Renin-Angiotensin Signaling	-0E00		1.72E-02	CCL2,PLCG1	
Retinoic acid Mediated Apoptosis Signaling	-0E00		1.75E-02	TNFRSF10B	
RhoA Signaling	-0E00		2.50E-02	NEDD4,NRP2,RHPN2	
RhoGDI Signaling	-0E00		1.71E-02	CD44,CDH13,ITGA5	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00		1.75E-02	RFC4	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00		2.44E-02	CCL2	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00		2.44E-02	CCL2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00		1.49E-02	SOCS3	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00		8.55E-03	APC	
Role of NFAT in Cardiac Hypertrophy	-0E00	0.0	1.90E-02	MAP2K6,PLCD3,PLCE1,PLCG1	
Role of NFAT in Regulation of the Immune Response	-0E00		1.18E-02	HLA-A,PLCG1	
Role of Tissue Factor in Cancer	-0E00		2.59E-02	EGR1,ITGA6,VEGFA	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00		1.35E-02	APC	
SPINK1 General Cancer Pathway	-0E00		1.67E-02	MT3	
SPINK1 Pancreatic Cancer Pathway	-0E00		1.89E-02	CPD	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00		2.15E-02	AK4,MAP2K6	
Senescence Pathway	-0E00	0.0	2.22E-02	ATF3,CEBPB,DHCR24,EIF4EBP1,MAP2K6,SERPINE1	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00		2.21E-02	A2M,AFDN,ITGA5,TNFRSF1A	
Signaling by Rho Family GTPases	-0E00	2.0	1.67E-02	CDH13,GFAP,ITGA5,NEDD4	
Small Cell Lung Cancer Signaling	-0E00		1.41E-02	FHIT	
Sumoylation Pathway	-0E00		1.00E-02	RFC4	
Superpathway of Melatonin Degradation	-0E00		2.00E-02	EXT2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00		7.60E-03	INPP5B,PLAAT4	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	0.4472135954999579	2.40E-02	BCL6,CD44,HLA-A,MAP2K6,PLCG1	
Systemic Lupus Erythematosus Signaling	-0E00		2.55E-02	HLA-A,PLCG1,PRPF38A,SNRPA,SNRPA1	
T Cell Receptor Signaling	-0E00		9.80E-03	PLCG1	
Tec Kinase Signaling	-0E00		1.95E-02	ITGA5,PLCG1,TNFRSF10B	
Th17 Activation Pathway	-0E00		1.19E-02	SOCS3	
Thrombin Signaling	-0E00		1.48E-02	PLCD3,PLCE1,PLCG1	
Thrombopoietin Signaling	-0E00		1.59E-02	PLCG1	
Tight Junction Signaling	-0E00		1.20E-02	AFDN,TNFRSF1A	
Toll-like Receptor Signaling	-0E00		2.67E-02	MAP2K6,TNFAIP3	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00		1.92E-02	H4C13	
Type II Diabetes Mellitus Signaling	-0E00		2.16E-02	CEBPB,SOCS3,TNFRSF1A	
UVB-Induced MAPK Signaling	-0E00		1.96E-02	EIF4EBP1	
VDR/RXR Activation	-0E00		2.67E-02	CEBPB,RUNX2	
Wnt/β-catenin Signaling	-0E00	1.0	2.35E-02	APC,CD44,LRP1,SOX3	
cAMP-mediated signaling	-0E00	-1.0	1.78E-02	GRM3,PDE1C,PDE7B,S1PR1	
eNOS Signaling	-0E00		2.65E-02	KDR,PLCG1,SLC7A1,VEGFA	
iCOS-iCOSL Signaling in T Helper Cells	-0E00		1.96E-02	HLA-A,PLCG1	
mTOR Signaling	-0E00		2.58E-02	DDIT4,EIF4A3,EIF4EBP1,PLD3,VEGFA	
p38 MAPK Signaling	-0E00		1.75E-02	MAP2K6,TNFRSF1A	
p53 Signaling	-0E00		2.06E-02	PMAIP1,TNFRSF10B	
p70S6K Signaling	-0E00		2.34E-02	PLCD3,PLCE1,PLCG1	
α-Adrenergic Signaling	-0E00		1.08E-02	PLCG1	
Notch Signaling	1.98E-01		2.70E-02	DLL3	
Circadian Rhythm Signaling	2.27E-01		3.03E-02	ADCYAP1R1	
IL-7 Signaling Pathway	2.32E-01		2.74E-02	BCL6,HGF	
Non-Small Cell Lung Cancer Signaling	2.32E-01		2.74E-02	FHIT,PLCG1	
MIF-mediated Glucocorticoid Regulation	2.36E-01		3.12E-02	CD74	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	2.4E-01		2.70E-02	PLCD3,PLCE1,PLCG1	
HGF Signaling	2.45E-01		2.73E-02	HGF,ITGA5,PLCG1	
Glioma Signaling	2.5E-01		2.75E-02	CDKN2C,IGF2R,PLCG1	
HIF1α Signaling	2.5E-01		2.75E-02	LDHA,MMP2,VEGFA	
Relaxin Signaling	2.53E-01		2.72E-02	CTH,PDE1C,PDE7B,VEGFA	
Retinoate Biosynthesis I	2.53E-01		3.33E-02	RBP1	
ILK Signaling	2.59E-01	1.3416407864998738	2.72E-02	FN1,MAP2K6,TMSB10/TMSB4X,TNFRSF1A,VEGFA	
IL-10 Signaling	2.61E-01		2.94E-02	MAP2K6,SOCS3	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.63E-01		3.45E-02	HLA-A	
G Protein Signaling Mediated by Tubby	2.63E-01		3.45E-02	PLCG1	
Noradrenaline and Adrenaline Degradation	2.63E-01		3.45E-02	ALDH2	
TNFR2 Signaling	2.63E-01		3.45E-02	TNFAIP3	
B Cell Development	2.73E-01		3.57E-02	HLA-A	
Glucocorticoid Receptor Signaling	2.78E-01		2.73E-02	A2M,CCL2,CEBPB,DPF1,ICAM1,PHF10,PLAU,SERPINE1,TAF5	
Remodeling of Epithelial Adherens Junctions	2.81E-01		3.08E-02	APC,HGF	
Corticotropin Releasing Hormone Signaling	2.84E-01		2.86E-02	CRH,CTH,PLCG1,VEGFA	
Mitotic Roles of Polo-Like Kinase	2.95E-01		3.17E-02	FBXO5,PLK4	
Ovarian Cancer Signaling	2.99E-01		2.92E-02	APC,CD44,MMP2,VEGFA	
Phagosome Maturation	3.04E-01		2.94E-02	CALR,CTSV,HLA-A,TUBE1	
Gluconeogenesis I	3.07E-01		4.00E-02	ME1	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	3.07E-01		4.00E-02	EXT2	
PI3K/AKT Signaling	3.09E-01		2.91E-02	EIF4EBP1,GDF15,IL13RA1,INPP5B,ITGA5	
Apelin Cardiomyocyte Signaling Pathway	3.09E-01		3.06E-02	PLCD3,PLCE1,PLCG1	
Actin Cytoskeleton Signaling	3.09E-01	0.4472135954999579	2.87E-02	APC,FGF2,FN1,ITGA5,SSH2,TMSB10/TMSB4X	
Insulin Receptor Signaling	3.14E-01		2.99E-02	EIF4EBP1,INPP5B,PPP1R3C,SOCS3	
PI3K Signaling in B Lymphocytes	3.14E-01	0.0	2.99E-02	ATF3,PLCD3,PLCE1,PLCG1	
PD-1, PD-L1 cancer immunotherapy pathway	3.15E-01		3.09E-02	HLA-A,PLCG1,TNFRSF1A	
UVA-Induced MAPK Signaling	3.15E-01		3.09E-02	PLCD3,PLCE1,PLCG1	
IL-22 Signaling	3.19E-01		4.17E-02	SOCS3	
Tumoricidal Function of Hepatic Natural Killer Cells	3.19E-01		4.17E-02	ICAM1	
VEGF Signaling	3.21E-01		3.12E-02	KDR,PLCG1,VEGFA	
LPS/IL-1 Mediated Inhibition of RXR Function	3.26E-01		2.93E-02	ALDH1L2,ALDH2,HMGCS1,HS3ST3B1,HS6ST2,TNFRSF1A	
Apelin Cardiac Fibroblast Signaling Pathway	3.33E-01		4.35E-02	SERPINE1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.33E-01		4.35E-02	CCL2	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	3.33E-01		4.35E-02	INPP5B	
Tryptophan Degradation III (Eukaryotic)	3.33E-01		4.35E-02	ACAT2	
Bladder Cancer Signaling	3.34E-01		3.19E-02	FGF2,MMP2,VEGFA	
Germ Cell-Sertoli Cell Junction Signaling	3.42E-01		3.03E-02	A2M,AFDN,ITGA6,MAP2K6,TNFRSF1A	
EIF2 Signaling	3.43E-01	0.0	2.99E-02	ATF3,EIF4A3,PPP1R15A,RPL37,VEGFA,WARS1	
Protein Kinase A Signaling	3.45E-01	-2.1105794120443453	2.87E-02	H1-1,H1-10,H1-3,H1-5,PDE1C,PDE7B,PLCD3,PLCE1,PLCG1,PPP1R3C,PTPN13	
Polyamine Regulation in Colon Cancer	3.47E-01		4.55E-02	APC	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.47E-01		3.26E-02	DGKB,PLCG1,PLD3	
Calcium-induced T Lymphocyte Apoptosis	3.51E-01		3.57E-02	HLA-A,PLCG1	
Semaphorin Signaling in Neurons	3.51E-01		3.57E-02	DPYSL3,NRP1	
PTEN Signaling	3.58E-01	-1.0	3.17E-02	IGF2R,INPP5B,ITGA5,KDR	
Dopamine Degradation	3.61E-01		4.76E-02	ALDH2	
Endoplasmic Reticulum Stress Pathway	3.61E-01		4.76E-02	CALR	
Glutathione Redox Reactions I	3.61E-01		4.76E-02	GPX8	
NAD Salvage Pathway II	3.61E-01		4.76E-02	PXYLP1	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	3.61E-01		4.76E-02	AK4	
T Cell Exhaustion Signaling Pathway	3.62E-01	1.0	3.11E-02	BCL6,HLA-A,KDR,PLCG1,VEGFA	
Dermatan Sulfate Biosynthesis	3.7E-01		3.70E-02	HS3ST3B1,HS6ST2	
Role of IL-17A in Arthritis	3.7E-01		3.70E-02	CCL2,MAP2K6	
IL-8 Signaling	3.72E-01	2.4494897427831783	3.08E-02	EIF4EBP1,ICAM1,KDR,MMP2,PLD3,VEGFA	
Lipid Antigen Presentation by CD1	3.77E-01		5.00E-02	CALR	
Cell Cycle Control of Chromosomal Replication	3.79E-01		3.77E-02	POLA1,TOP2A	
Gap Junction Signaling	3.87E-01		3.12E-02	CTH,GJB1,HTR2A,PLCD3,PLCE1,PLCG1	
Autophagy	3.89E-01		3.85E-02	CTSV,WIPI1	
HMGB1 Signaling	3.9E-01	2.0	3.21E-02	CCL2,ICAM1,MAP2K6,SERPINE1,TNFRSF1A	
Methionine Degradation I (to Homocysteine)	3.94E-01		5.26E-02	SUV39H2	
Chondroitin Sulfate Biosynthesis	3.99E-01		3.92E-02	HS3ST3B1,HS6ST2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	4.02E-01		3.17E-02	APC,EGR1,FGF2,HGF,MAP2K6,MMP2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	4.12E-01		5.56E-02	INPP5B	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	4.12E-01		5.56E-02	INPP5B	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	4.12E-01		5.56E-02	CCL2	
Valine Degradation I	4.12E-01		5.56E-02	BCAT1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	4.2E-01		4.08E-02	CKS2,TOP2A	
IL-4 Signaling	4.23E-01		3.66E-02	HLA-A,IL13RA1,INPP5B	
NRF2-mediated Oxidative Stress Response	4.24E-01	2.0	3.24E-02	DNAJB5,HERPUD1,MAF,MAP2K6,NFE2L2,NQO1	
Neuroinflammation Signaling Pathway	4.3E-01	1.889822365046136	3.11E-02	CCL2,GAD2,GJB1,HLA-A,ICAM1,NFE2L2,PLCG1,SLC6A1,TNFRSF1A	
D-myo-inositol (1,4,5)-trisphosphate Degradation	4.32E-01		5.88E-02	INPP5B	
RAN Signaling	4.32E-01		5.88E-02	KPNA2	
Tryptophan Degradation X (Mammalian, via Tryptamine)	4.32E-01		5.88E-02	ALDH2	
Ubiquinol-10 Biosynthesis (Eukaryotic)	4.32E-01		5.88E-02	COQ3	
Serotonin Degradation	4.32E-01		4.17E-02	ALDH2,EXT2	
Hepatic Fibrosis Signaling Pathway	4.37E-01	2.7136021011998728	3.07E-02	CCL2,CEBPB,FGF2,ICAM1,ITGA5,KDR,MAP2K6,PLCG1,SERPINE1,TNFRSF1A,VEGFA	
Sphingosine-1-phosphate Signaling	4.37E-01	-1.0	3.51E-02	PLCD3,PLCE1,PLCG1,S1PR1	
IL-17 Signaling	4.4E-01		3.75E-02	CCL2,CEBPB,MAP2K6	
Role of BRCA1 in DNA Damage Response	4.4E-01		3.75E-02	DPF1,PHF10,RFC4	
TNFR1 Signaling	4.43E-01		4.26E-02	TNFAIP3,TNFRSF1A	
Extrinsic Prothrombin Activation Pathway	4.52E-01		6.25E-02	PROS1	
Fatty Acid α-oxidation	4.52E-01		6.25E-02	ALDH2	
Glutaryl-CoA Degradation	4.52E-01		6.25E-02	ACAT2	
Mismatch Repair in Eukaryotes	4.52E-01		6.25E-02	RFC4	
Putrescine Degradation III	4.52E-01		6.25E-02	ALDH2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.55E-01		3.27E-02	APC,DLX5,ITGA5,LRP1,MAP2K6,RUNX2,TNFRSF1A	
PFKFB4 Signaling Pathway	4.55E-01		4.35E-02	FGF2,MAP2K6	
Th1 Pathway	4.67E-01		3.64E-02	HLA-A,ICAM1,MAP2K6,SOCS3	
Stearate Biosynthesis I (Animals)	4.67E-01		4.44E-02	DHCR24,FASN	
Superpathway of Citrulline Metabolism	4.75E-01		6.67E-02	ASS1	
PPARα/RXRα Activation	4.76E-01		3.41E-02	BCL3,FASN,MAP2K6,PLCD3,PLCE1,PLCG1	
Endocannabinoid Cancer Inhibition Pathway	4.84E-01	0.4472135954999579	3.55E-02	ATF3,MAP2K6,MMP2,NUPR1,VEGFA	
Macropinocytosis Signaling	4.86E-01		4.00E-02	HGF,ITGA5,PLCG1	
CDK5 Signaling	4.91E-01		3.74E-02	EGR1,ITGA6,LAMB1,PPP1R3C	
Chondroitin Sulfate Biosynthesis (Late Stages)	4.93E-01		4.65E-02	HS3ST3B1,HS6ST2	
Oncostatin M Signaling	4.93E-01		4.65E-02	OSMR,PLAU	
Agrin Interactions at Neuromuscular Junction	4.96E-01		4.05E-02	ITGA5,ITGA6,LAMB1	
Choline Biosynthesis III	4.99E-01		7.14E-02	PLD3	
DNA Double-Strand Break Repair by Homologous Recombination	4.99E-01		7.14E-02	POLA1	
