"","affy_hugene_2_0_st_v1","ensembl_gene_id","external_gene_name"
"161",16660299,"ENSG00000158786","PLA2G2F"
"162",16657654,"ENSG00000198976","MIR429"
"163",16658523,"ENSG00000207056","RNU1-8P"
"164",16660481,"ENSG00000201919","RNU6-1022P"
"165",16659393,"ENSG00000207511","RNU6-771P"
"166",16659102,"ENSG00000011021","CLCN6"
"167",16660381,"ENSG00000233069","AL663074.1"
"168",16659944,"ENSG00000277344","RNU1-6P"
"169",16661027,"ENSG00000252691","RF00283"
"170",16661029,"ENSG00000252691","RF00283"
"171",16660481,"ENSG00000273610","RN7SL386P"
"172",16659916,"ENSG00000263811","MIR3675"
"173",16659938,"ENSG00000263811","MIR3675"
"174",16658904,"ENSG00000203469","AL354956.1"
"175",16661298,"ENSG00000204160","ZDHHC18"
"176",16660518,"ENSG00000230068","CDC42-IT1"
"177",16660503,"ENSG00000070831","CDC42"
"178",16657440,"ENSG00000284557","MIR1302-10"
"179",16660620,"ENSG00000265422","MIR4684"
"180",16661398,"ENSG00000142765","SYTL1"
"181",16661314,"ENSG00000175793","SFN"
"182",16660468,"ENSG00000219073","CELA3B"
"183",16661432,"ENSG00000241169","FO393419.2"
"184",16660313,"ENSG00000162543","UBXN10"
"185",16660196,"ENSG00000230424","AL035413.1"
"186",16660199,"ENSG00000053372","MRTO4"
"187",16657856,"ENSG00000197530","MIB2"
"188",16660282,"ENSG00000127472","PLA2G5"
"189",16659825,"ENSG00000184908","CLCNKB"
"190",16659138,"ENSG00000199347","RNU5E-1"
"191",16657652,"ENSG00000207607","MIR200A"
"192",16659936,"ENSG00000268674","FAM231C"
"193",16661377,"ENSG00000186501","TMEM222"
"194",16661284,"ENSG00000060642","PIGV"
"195",16661435,"ENSG00000237429","BX293535.1"
"196",16657440,"ENSG00000283921","MIR1302-9"
"197",16658619,"ENSG00000230679","ENO1-AS1"
"198",16661071,"ENSG00000142675","CNKSR1"
"199",16660992,"ENSG00000117640","MTFR1L"
"200",16658752,"ENSG00000162444","RBP7"
"201",16659788,"ENSG00000183888","SRARP"
"202",16657598,"ENSG00000188157","AGRN"
"203",16658962,"ENSG00000171819","ANGPTL7"
"204",16660863,"ENSG00000169504","CLIC4"
"205",16658954,"ENSG00000225602","MTOR-AS1"
"206",16660810,"ENSG00000117602","RCAN3"
"207",16659686,"ENSG00000197312","DDI2"
"208",16658568,"ENSG00000116288","PARK7"
"209",16658536,"ENSG00000049246","PER3"
"210",16659070,"ENSG00000215910","C1orf167"
"211",16659046,"ENSG00000162490","DRAXIN"
"212",16660950,"ENSG00000225643","AL606491.1"
"213",16659357,"ENSG00000157330","C1orf158"
"214",16660575,"ENSG00000173372","C1QA"
"215",16660483,"ENSG00000142789","CELA3A"
"216",16658064,"ENSG00000273936","TNFRSF14"
"217",16657713,"ENSG00000169972","PUSL1"
"218",16660103,"ENSG00000074964","ARHGEF10L"
"219",16657923,"ENSG00000231050","AL109917.1"
"220",16658991,"ENSG00000204624","DISP3"
"221",16657751,"ENSG00000224870","AL391244.1"
"222",16658525,"ENSG00000237402","CAMTA1-IT1"
"223",16660736,"ENSG00000189266","PNRC2"
"224",16660269,"ENSG00000169914","OTUD3"
"225",16657436,"ENSG00000236397","DDX11L2"
"226",16659746,"ENSG00000162458","FBLIM1"
"227",16660822,"ENSG00000184454","NCMAP"
"228",16658950,"ENSG00000230337","AL109811.2"
"229",16660785,"ENSG00000001461","NIPAL3"
"230",16657730,"ENSG00000224051","CPTP"
"231",16658973,"ENSG00000120942","UBIAD1"
"232",16657469,"ENSG00000250765","AC138035.2"
"233",16659623,"ENSG00000142615","CELA2A"
"234",16658254,"ENSG00000233304","LINC01346"
"235",16660878,"ENSG00000229162","AL445471.1"
"236",16657594,"ENSG00000187608","ISG15"
"237",16659727,"ENSG00000162461","SLC25A34"
"238",16658584,"ENSG00000238290","AL034417.2"
"239",16658064,"ENSG00000157873","TNFRSF14"
"240",16657554,"ENSG00000187961","KLHL17"
"241",16660367,"ENSG00000158828","PINK1"
"242",16659140,"ENSG00000083444","PLOD1"
"243",16660266,"ENSG00000235434","AL391883.1"
"244",16657758,"ENSG00000225905","AL391244.2"
"245",16657572,"ENSG00000187583","PLEKHN1"
"246",16659737,"ENSG00000162460","TMEM82"
"247",16659704,"ENSG00000116786","PLEKHM2"
"248",16660745,"ENSG00000225315","AL591178.1"
"249",16659200,"ENSG00000116691","MIIP"
"250",16661063,"ENSG00000142684","ZNF593"
"251",16659036,"ENSG00000116663","FBXO6"
"252",16658457,"ENSG00000041988","THAP3"
"253",16657445,"ENSG00000186092","OR4F5"
"254",16658414,"ENSG00000173662","TAS1R1"
"255",16658210,"ENSG00000162592","CCDC27"
"256",16660906,"ENSG00000183726","TMEM50A"
"257",16657436,"ENSG00000256263","DDX11L8"
"258",16657476,"ENSG00000230423","AL731684.2"
"259",16660891,"ENSG00000187010","RHD"
"260",16657440,"ENSG00000259553","AC140725.1"
"261",16657777,"ENSG00000215915","ATAD3C"
"262",16657473,"ENSG00000217874","OR4F7P"
"263",16657480,"ENSG00000235146","AC114498.1"
"264",16657469,"ENSG00000228786","LINC00266-4P"
"265",16660008,"ENSG00000204362","AL590644.1"
"266",16660014,"ENSG00000142623","PADI1"
"267",16660038,"ENSG00000142619","PADI3"
"268",16658159,"ENSG00000130762","ARHGEF16"
"269",16660059,"ENSG00000159339","PADI4"
"270",16660081,"ENSG00000276747","PADI6"
"271",16657683,"ENSG00000162572","SCNN1D"
"272",16658390,"ENSG00000187017","ESPN"
"273",16660098,"ENSG00000227751","AC004824.1"
"274",16658184,"ENSG00000158109","TPRG1L"
"275",16657436,"ENSG00000233614","DDX11L10"
"276",16659853,"ENSG00000227959","AL451042.2"
"277",16659794,"ENSG00000186510","CLCNKA"
"278",16657821,"ENSG00000197785","ATAD3A"
"279",16660260,"ENSG00000158748","HTR6"
"280",16657473,"ENSG00000257109","OR4F28P"
"281",16660321,"ENSG00000228105","LINC01757"
"282",16660888,"ENSG00000231953","AL031432.1"
"283",16657473,"ENSG00000284662","OR4F16"
"284",16658289,"ENSG00000196581","AJAP1"
"285",16658268,"ENSG00000235054","LINC01777"
"286",16657926,"ENSG00000169885","CALML6"
"287",16657737,"ENSG00000169962","TAS1R3"
"288",16658479,"ENSG00000171735","CAMTA1"
"289",16658926,"ENSG00000277726","AL109811.4"
"290",16657506,"ENSG00000177757","FAM87B"
"291",16658097,"ENSG00000280609","AL139246.6"
"292",16659021,"ENSG00000132879","FBXO44"
"293",16657845,"ENSG00000215014","AL645728.1"
"294",16659765,"ENSG00000065526","SPEN"
"295",16657476,"ENSG00000230021","AL669831.3"
"296",16657469,"ENSG00000230021","AL669831.3"
"297",16657469,"ENSG00000203496","AL133216.1"
"298",16657938,"ENSG00000187730","GABRD"
"299",16660145,"ENSG00000236648","AL136529.1"
"300",16660151,"ENSG00000117148","ACTL8"
"301",16660156,"ENSG00000117154","IGSF21"
"302",16660172,"ENSG00000225387","AL591896.1"
"303",16660175,"ENSG00000179023","KLHDC7A"
"304",16658312,"ENSG00000069424","KCNAB2"
"305",16658449,"ENSG00000116273","PHF13"
"306",16658281,"ENSG00000232596","LINC01646"
"307",16660700,"ENSG00000057757","PITHD1"
"308",16659650,"ENSG00000116138","DNAJC16"
"309",16657993,"ENSG00000157933","SKI"
"310",16658947,"ENSG00000226849","AL109811.1"
"311",16660749,"ENSG00000230703","AL591178.2"
"312",16658471,"ENSG00000228750","LINC01672"
"313",16657447,"ENSG00000241599","AL627309.4"
"314",16658248,"ENSG00000236423","LINC01134"
"315",16659881,"ENSG00000157191","NECAP2"
"316",16658097,"ENSG00000225931","AL139246.2"
"317",16658102,"ENSG00000228037","AL139246.3"
"318",16659904,"ENSG00000226029","LINC01772"
"319",16659944,"ENSG00000233421","LINC01783"
"320",16659940,"ENSG00000225710","AL355149.1"
"321",16658119,"ENSG00000237058","AL831784.1"
"322",16658106,"ENSG00000157870","FAM213B"
"323",16657910,"ENSG00000215914","MMP23A"
"324",16657473,"ENSG00000176269","OR4F21"
"325",16659921,"ENSG00000186301","MST1P2"
"326",16657469,"ENSG00000281379","SEPT14P19"
"327",16659944,"ENSG00000228549","BX284668.2"
"328",16659940,"ENSG00000230239","BX284668.3"
"329",16659951,"ENSG00000058453","CROCC"
"330",16657473,"ENSG00000224777","OR4F2P"
"331",16657469,"ENSG00000254468","AC069287.1"
"332",16658129,"ENSG00000169717","ACTRT2"
"333",16658350,"ENSG00000158286","RNF207"
"334",16657647,"ENSG00000223823","LINC01342"
"335",16657656,"ENSG00000162571","TTLL10"
"336",16657920,"ENSG00000227775","AL031282.1"
"337",16657917,"ENSG00000227775","AL031282.1"
"338",16660003,"ENSG00000226526","AL049569.1"
"339",16657469,"ENSG00000248792","LINC00266-2P"
"340",16658135,"ENSG00000142611","PRDM16"
"341",16659407,"ENSG00000276299","PRAMEF25"
"342",16659434,"ENSG00000276299","PRAMEF25"
"343",16659399,"ENSG00000276299","PRAMEF25"
"344",16659413,"ENSG00000276299","PRAMEF25"
"345",16659395,"ENSG00000277853","PRAMEF18"
"346",16659399,"ENSG00000276816","PRAMEF22"
"347",16659434,"ENSG00000281573","PRAMEF9"
"348",16659413,"ENSG00000281573","PRAMEF9"
"349",16659407,"ENSG00000276420","PRAMEF5"
"350",16659434,"ENSG00000276420","PRAMEF5"
"351",16659413,"ENSG00000276420","PRAMEF5"
"352",16657440,"ENSG00000282807","AC008993.3"
"353",16657529,"ENSG00000230699","AL645608.3"
"354",16658926,"ENSG00000120948","TARDBP"
"355",16657489,"ENSG00000229905","AL669831.2"
"356",16659637,"ENSG00000215704","CELA2B"
"357",16657436,"ENSG00000279928","FO538757.2"
"358",16659605,"ENSG00000142634","EFHD2"
"359",16657480,"ENSG00000236601","AL732372.1"
"360",16657473,"ENSG00000284733","OR4F29"
"361",16657469,"ENSG00000237094","AL732372.2"
"362",16657450,"ENSG00000237094","AL732372.2"
"363",16657476,"ENSG00000228463","AP006222.1"
"364",16659545,"ENSG00000142621","FHAD1"
"365",16658428,"ENSG00000204859","ZBTB48"
"366",16658020,"ENSG00000149527","PLCH2"
"367",16658023,"ENSG00000149527","PLCH2"
"368",16660753,"ENSG00000230023","AL590683.1"
"369",16657534,"ENSG00000187634","SAMD11"
"370",16658005,"ENSG00000157916","RER1"
"371",16657440,"ENSG00000243485","MIR1302-2HG"
"372",16657469,"ENSG00000238009","AL627309.1"
"373",16659387,"ENSG00000278021","PRAMEF8"
"374",16659338,"ENSG00000266079","SNORA59B"
"375",16657473,"ENSG00000220212","OR4F1P"
"376",16657440,"ENSG00000227518","AL928970.1"
"377",16657492,"ENSG00000237491","AL669831.5"
"378",16657502,"ENSG00000237491","AL669831.5"
"379",16658192,"ENSG00000078900","TP73"
"380",16657680,"ENSG00000176022","B3GALT6"
"381",16658385,"ENSG00000173673","HES3"
"382",16658259,"ENSG00000284668","AL805961.1"
"383",16658231,"ENSG00000169598","DFFB"
"384",16658379,"ENSG00000225077","LINC00337"
"385",16657469,"ENSG00000217929","CICP18"
"386",16657436,"ENSG00000223972","DDX11L1"
"387",16658226,"ENSG00000235169","SMIM1"
"388",16657476,"ENSG00000232938","RPL23AP87"
"389",16658023,"ENSG00000276429","PLCH2"
"390",16660182,"ENSG00000009709","PAX7"
"391",16657469,"ENSG00000260923","LINC02193"
"392",16658119,"ENSG00000280645","AC234231.1"
"393",16659612,"ENSG00000162438","CTRC"
"394",16658106,"ENSG00000275125","FAM213B"
"395",16658102,"ENSG00000281740","AL139246.10"
"396",16657450,"ENSG00000228327","AL669831.1"
"397",16659537,"ENSG00000171729","TMEM51"
"398",16661023,"ENSG00000207302","RF00019"
"399",16660650,"ENSG00000206935","RNU6-514P"
"400",16661025,"ENSG00000207237","RNU6-110P"
"401",16658971,"ENSG00000207451","RNU6-291P"
"402",16660882,"ENSG00000264371","MIR4425"
"403",16660648,"ENSG00000263793","MIR3115"
"404",16660495,"ENSG00000201273","RNU6-776P"
"405",16658800,"ENSG00000201746","RNU6-828P"
"406",16660057,"ENSG00000266634","MIR3972"
"407",16659338,"ENSG00000239149","SNORA59A"
"408",16659944,"ENSG00000277234","RNU1-5P"
"409",16661206,"ENSG00000281877","RPS6KA1"
"410",16661253,"ENSG00000281877","RPS6KA1"
"411",16661253,"ENSG00000280948","MIR1976"
"412",16660008,"ENSG00000281226","AL590644.2"
"413",16660014,"ENSG00000281459","PADI1"
"414",16660038,"ENSG00000280549","PADI3"
"415",16660057,"ENSG00000281810","MIR3972"
"416",16660059,"ENSG00000280908","PADI4"
"417",16660081,"ENSG00000280949","PADI6"
"418",16660098,"ENSG00000281391","AC004824.2"
"419",16659407,"ENSG00000281934","PRAMEF11"
"420",16659434,"ENSG00000281934","PRAMEF11"
"421",16659413,"ENSG00000281934","PRAMEF11"
"422",16659380,"ENSG00000282817","PRAMEF2"
"423",16659434,"ENSG00000282584","PRAMEF4"
"424",16659413,"ENSG00000282584","PRAMEF4"
"425",16659387,"ENSG00000279195","PRAMEF7"
"426",16659393,"ENSG00000282338","RNU6-1072P"
"427",16659407,"ENSG00000282119","PRAMEF6"
"428",16659434,"ENSG00000282437","PRAMEF27"
"429",16659413,"ENSG00000282437","PRAMEF27"
"430",16659434,"ENSG00000282566","PRAMEF25"
"431",16659399,"ENSG00000282566","PRAMEF25"
"432",16659413,"ENSG00000282566","PRAMEF25"
"433",16659419,"ENSG00000282341","AC245056.2"
"434",16659440,"ENSG00000282341","AC245056.2"
"435",16659407,"ENSG00000281987","PRAMEF26"
"436",16659434,"ENSG00000281987","PRAMEF26"
"437",16659399,"ENSG00000281987","PRAMEF26"
"438",16659413,"ENSG00000281987","PRAMEF26"
"439",16659407,"ENSG00000282298","PRAMEF9"
"440",16659434,"ENSG00000282298","PRAMEF9"
"441",16659413,"ENSG00000282298","PRAMEF9"
"442",16659371,"ENSG00000282741","PRAMEF13"
"443",16659395,"ENSG00000282212","PRAMEF18"
"444",16659407,"ENSG00000282424","PRAMEF5"
"445",16659393,"ENSG00000282288","RNU6-771P"
"446",16659387,"ENSG00000282583","PRAMEF8"
"447",16660654,"ENSG00000283106","ZNF436-AS1"
"448",16659434,"ENSG00000283425","PRAMEF27"
"449",16659413,"ENSG00000283425","PRAMEF27"
"450",16659434,"ENSG00000283348","PRAMEF25"
"451",16659399,"ENSG00000283348","PRAMEF25"
"452",16659413,"ENSG00000283348","PRAMEF25"
"453",16659419,"ENSG00000283624","AC245056.3"
"454",16659440,"ENSG00000283624","AC245056.3"
"455",16659407,"ENSG00000283216","PRAMEF26"
"456",16659434,"ENSG00000283216","PRAMEF26"
"457",16659399,"ENSG00000283216","PRAMEF26"
"458",16659413,"ENSG00000283216","PRAMEF26"
"459",16659407,"ENSG00000283139","PRAMEF9"
"460",16659434,"ENSG00000283139","PRAMEF9"
"461",16659413,"ENSG00000283139","PRAMEF9"
"462",16659407,"ENSG00000283150","PRAMEF5"
"463",16659393,"ENSG00000202250","RNU6-443P"
"464",16659387,"ENSG00000283387","PRAMEF8"
"465",16664685,"ENSG00000200839","RNA5SP48"
"466",16664589,"ENSG00000200262","RF00019"
"467",16661806,"ENSG00000222784","RN7SKP91"
"468",16663131,"ENSG00000207962","MIR30C1"
"469",16664046,"ENSG00000253039","RNA5SP47"
"470",16662132,"ENSG00000200591","RF00019"
"471",16665433,"ENSG00000200575","RNU6-414P"
"472",16666237,"ENSG00000206999","RNU6-622P"
"473",16665494,"ENSG00000227485","AL162400.1"
"474",16664466,"ENSG00000227947","LINC01738"
"475",16664782,"ENSG00000203995","ZYG11A"
"476",16662900,"ENSG00000228060","AL365277.1"
"477",16664359,"ENSG00000142973","CYP4B1"
"478",16663314,"ENSG00000234917","AC098484.2"
"479",16663317,"ENSG00000065978","YBX1"
"480",16661533,"ENSG00000130770","ATP5IF1"
"481",16661817,"ENSG00000121766","ZCCHC17"
"482",16661544,"ENSG00000130766","SESN2"
"483",16661556,"ENSG00000130772","MED18"
"484",16663332,"ENSG00000283580","AC098484.3"
"485",16662905,"ENSG00000225903","AL035404.2"
"486",16663347,"ENSG00000274386","TMEM269"
"487",16663332,"ENSG00000164008","C1orf50"
"488",16663345,"ENSG00000164008","C1orf50"
"489",16663358,"ENSG00000164010","ERMAP"
"490",16664388,"ENSG00000186377","CYP4X1"
"491",16664406,"ENSG00000186160","CYP4Z1"
"492",16664421,"ENSG00000162365","CYP4A22"
"493",16664438,"ENSG00000224805","LINC00853"
"494",16664802,"ENSG00000116171","SCP2"
"495",16662908,"ENSG00000084072","PPIE"
"496",16661567,"ENSG00000204138","PHACTR4"
"497",16661589,"ENSG00000180198","RCC1"
"498",16664442,"ENSG00000226252","AL135960.1"
"499",16661832,"ENSG00000168528","SERINC2"
"500",16663376,"ENSG00000164011","ZNF691"
"501",16663390,"ENSG00000227533","SLC2A1-AS1"
"502",16661852,"ENSG00000260386","LINC01225"
"503",16661862,"ENSG00000142910","TINAGL1"
"504",16661856,"ENSG00000284543","LINC01226"
"505",16664828,"ENSG00000174348","PODN"
"506",16664341,"ENSG00000269956","MKNK1-AS1"
"507",16664272,"ENSG00000173660","UQCRH"
"508",16661527,"ENSG00000158156","XKR8"
"509",16664243,"ENSG00000085999","RAD54L"
"510",16666357,"ENSG00000154027","AK5"
"511",16665066,"ENSG00000237453","AC096536.2"
"512",16665899,"ENSG00000253074","RNU6-586P"
"513",16665603,"ENSG00000284928","AL445205.1"
"514",16665606,"ENSG00000177414","UBE2U"
"515",16665492,"ENSG00000234318","AC099794.1"
"516",16662313,"ENSG00000189280","GJB5"
"517",16662248,"ENSG00000225313","AL513327.1"
"518",16662234,"ENSG00000160094","ZNF362"
"519",16665006,"ENSG00000271723","MROH7-TTC4"
"520",16664569,"ENSG00000123080","CDKN2C"
"521",16664868,"ENSG00000228838","AL355483.2"
"522",16664871,"ENSG00000232762","AL355483.3"
"523",16663448,"ENSG00000179178","TMEM125"
"524",16661508,"ENSG00000130768","SMPDL3B"
"525",16664235,"ENSG00000171357","LURAP1"
"526",16666326,"ENSG00000184005","ST6GALNAC3"
"527",16665566,"ENSG00000079739","PGM1"
"528",16665536,"ENSG00000203965","EFCAB7"
"529",16664748,"ENSG00000116157","GPX7"
"530",16664963,"ENSG00000198711","SSBP3-AS1"
"531",16664887,"ENSG00000143006","DMRTB1"
"532",16663133,"ENSG00000117013","KCNQ4"
"533",16661792,"ENSG00000186056","MATN1-AS1"
"534",16661800,"ENSG00000223382","LINC01778"
"535",16664210,"ENSG00000226957","AL358075.1"
"536",16661788,"ENSG00000231949","AL161638.1"
"537",16665247,"ENSG00000234807","LINC01135"
"538",16664100,"ENSG00000117448","AKR1A1"
"539",16666204,"ENSG00000162623","TYW3"
"540",16666109,"ENSG00000231985","AL354949.1"
"541",16666055,"ENSG00000116761","CTH"
"542",16662705,"ENSG00000224592","AL139158.2"
"543",16662685,"ENSG00000230955","AL929472.2"
"544",16662690,"ENSG00000222282","RNU6-584P"
"545",16665656,"ENSG00000162437","RAVER2"
"546",16665507,"ENSG00000187140","FOXD3"
"547",16665475,"ENSG00000125703","ATG4C"
"548",16663665,"ENSG00000284989","AL451062.3"
"549",16665447,"ENSG00000162607","USP1"
"550",16664967,"ENSG00000225632","AL161644.1"
"551",16664947,"ENSG00000116221","MRPL37"
"552",16664897,"ENSG00000211452","DIO1"
"553",16661636,"ENSG00000188060","RAB42"
"554",16664350,"ENSG00000186118","TEX38"
"555",16662396,"ENSG00000020129","NCDN"
"556",16665139,"ENSG00000265822","MIR4422"
"557",16664978,"ENSG00000162390","ACOT11"
"558",16663007,"ENSG00000188800","TMCO2"
"559",16662993,"ENSG00000117000","RLF"
"560",16664445,"ENSG00000162368","CMPK1"
"561",16664529,"ENSG00000279324","AL645730.1"
"562",16664516,"ENSG00000229846","AC099788.1"
