© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->longFragmentHuman - 2020-01-20 08:06 PM
Workspace	My Projects
Project	hd_microarray
Analysis	longFragmentHuman - 2020-01-20 08:06 PM
Date	Mon Jan 20 17:06:30 PST 2020
Analysis ID	18745804

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->longFragmentHuman - 2020-01-20 08:06 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Hepatic Cholestasis	5.3E-01		5.43E-03	PRKCQ	
Dendritic Cell Maturation	5.32E-01		5.46E-03	PIK3R5	
Ephrin Receptor Signaling	5.38E-01		5.56E-03	ITGA4	
RhoGDI Signaling	5.38E-01		5.56E-03	ITGA4	
Granulocyte Adhesion and Diapedesis	5.4E-01		5.59E-03	ITGA4	
GNRH Signaling	5.53E-01		5.78E-03	PRKCQ	
Germ Cell-Sertoli Cell Junction Signaling	5.57E-01		5.85E-03	PIK3R5	
Cdc42 Signaling	5.66E-01		5.99E-03	ITGA4	
Glioblastoma Multiforme Signaling	5.7E-01		6.06E-03	PIK3R5	
HMGB1 Signaling	5.7E-01		6.06E-03	PIK3R5	
3-phosphoinositide Biosynthesis	5.72E-01		6.10E-03	PIK3R5	
Dopamine-DARPP32 Feedback in cAMP Signaling	5.75E-01		6.13E-03	PRKCQ	
HOTAIR Regulatory Pathway	5.84E-01		6.29E-03	PIK3R5	
Relaxin Signaling	6.06E-01		6.67E-03	PIK3R5	
Corticotropin Releasing Hormone Signaling	6.19E-01		6.90E-03	PRKCQ	
Endocannabinoid Cancer Inhibition Pathway	6.24E-01		6.99E-03	PIK3R5	
Hereditary Breast Cancer Signaling	6.32E-01		7.14E-03	PIK3R5	
Insulin Receptor Signaling	6.35E-01		7.19E-03	PIK3R5	
Ovarian Cancer Signaling	6.35E-01		7.19E-03	PIK3R5	
Androgen Signaling	6.43E-01		7.35E-03	PRKCQ	
STAT3 Pathway	6.46E-01		7.41E-03	IL17RB	
Gα12/13 Signaling	6.6E-01		7.69E-03	PIK3R5	
Endocannabinoid Neuronal Synapse Pathway	6.66E-01		7.81E-03	GRIA4	
Atherosclerosis Signaling	6.72E-01		7.94E-03	ITGA4	
IL-6 Signaling	6.75E-01		8.00E-03	PIK3R5	
G Beta Gamma Signaling	6.85E-01		8.20E-03	PRKCQ	
Cholecystokinin/Gastrin-mediated Signaling	6.94E-01		8.40E-03	PRKCQ	
Role of Tissue Factor in Cancer	7.01E-01		8.55E-03	PIK3R5	
Sphingosine-1-phosphate Signaling	7.01E-01		8.55E-03	PIK3R5	
Neuroprotective Role of THOP1 in Alzheimer's Disease	7.04E-01		8.62E-03	TMPRSS2	
Endocannabinoid Developing Neuron Pathway	7.08E-01		8.70E-03	PIK3R5	
NGF Signaling	7.11E-01		8.77E-03	PIK3R5	
HIF1α Signaling	7.14E-01		8.85E-03	PIK3R5	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	7.18E-01		8.93E-03	PRKCQ	
Pancreatic Adenocarcinoma Signaling	7.29E-01		9.17E-03	PIK3R5	
CDK5 Signaling	7.32E-01		9.26E-03	CDK5R1	
Telomerase Signaling	7.36E-01		9.35E-03	PIK3R5	
IGF-1 Signaling	7.47E-01		9.62E-03	PIK3R5	
Chronic Myeloid Leukemia Signaling	7.51E-01		9.71E-03	PIK3R5	
Mouse Embryonic Stem Cell Pluripotency	7.51E-01		9.71E-03	PIK3R5	
SAPK/JNK Signaling	7.55E-01		9.80E-03	PIK3R5	
Protein Kinase A Signaling	7.61E-01		5.03E-03	PRKCQ,UBASH3B	
Apoptosis Signaling	7.66E-01		1.01E-02	PRKCQ	
VEGF Signaling	7.66E-01		1.01E-02	PIK3R5	
UVA-Induced MAPK Signaling	7.7E-01		1.02E-02	PIK3R5	
p53 Signaling	7.7E-01		1.02E-02	PIK3R5	
Salvage Pathways of Pyrimidine Ribonucleotides	7.75E-01		1.03E-02	PRKCQ	
α-Adrenergic Signaling	7.83E-01		1.05E-02	PRKCQ	
CCR5 Signaling in Macrophages	7.87E-01		1.06E-02	PRKCQ	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	7.87E-01		1.06E-02	PRKCQ	
Melanocyte Development and Pigmentation Signaling	7.87E-01		1.06E-02	PIK3R5	
Regulation of Actin-based Motility by Rho	7.87E-01		1.06E-02	ITGA4	
Factors Promoting Cardiogenesis in Vertebrates	7.91E-01		1.08E-02	PRKCQ	
Prostate Cancer Signaling	8E-01		1.10E-02	PIK3R5	
Acute Myeloid Leukemia Signaling	8.09E-01		1.12E-02	PIK3R5	
CTLA4 Signaling in Cytotoxic T Lymphocytes	8.09E-01		1.12E-02	PIK3R5	
Ceramide Signaling	8.13E-01		1.14E-02	PIK3R5	
RANK Signaling in Osteoclasts	8.13E-01		1.14E-02	PIK3R5	
PDGF Signaling	8.22E-01		1.16E-02	PIK3R5	
IL-4 Signaling	8.27E-01		1.18E-02	PIK3R5	
FGF Signaling	8.32E-01		1.19E-02	PIK3R5	
PEDF Signaling	8.42E-01		1.22E-02	PIK3R5	
FLT3 Signaling in Hematopoietic Progenitor Cells	8.52E-01		1.25E-02	PIK3R5	
IL-17 Signaling	8.52E-01		1.25E-02	PIK3R5	
JAK/Stat Signaling	8.52E-01		1.25E-02	PIK3R5	
Renal Cell Carcinoma Signaling	8.52E-01		1.25E-02	PIK3R5	
Agrin Interactions at Neuromuscular Junction	8.57E-01		1.27E-02	ITGA4	
Heparan Sulfate Biosynthesis	8.62E-01		1.28E-02	B3GAT1	
IL-7 Signaling Pathway	8.62E-01		1.28E-02	PIK3R5	
VDR/RXR Activation	8.62E-01		1.28E-02	PRKCQ	
Antiproliferative Role of Somatostatin Receptor 2	8.67E-01		1.30E-02	PIK3R5	
GDNF Family Ligand-Receptor Interactions	8.72E-01		1.32E-02	PIK3R5	
Neurotrophin/TRK Signaling	8.72E-01		1.32E-02	PIK3R5	
Angiopoietin Signaling	8.78E-01		1.33E-02	PIK3R5	
FcγRIIB Signaling in B Lymphocytes	8.78E-01		1.33E-02	PIK3R5	
Estrogen-Dependent Breast Cancer Signaling	8.83E-01		1.35E-02	PIK3R5	
Glioma Invasiveness Signaling	8.83E-01		1.35E-02	PIK3R5	
Leptin Signaling in Obesity	8.83E-01		1.35E-02	PIK3R5	
Caveolar-mediated Endocytosis Signaling	8.89E-01		1.37E-02	ITGA4	
Non-Small Cell Lung Cancer Signaling	8.89E-01		1.37E-02	PIK3R5	
Actin Nucleation by ARP-WASP Complex	8.94E-01		1.39E-02	ITGA4	
Melatonin Signaling	8.94E-01		1.39E-02	PRKCQ	
IL-15 Signaling	9E-01		1.41E-02	PIK3R5	
Small Cell Lung Cancer Signaling	9E-01		1.41E-02	PIK3R5	
GM-CSF Signaling	9.06E-01		1.43E-02	PIK3R5	
Role of JAK1 and JAK3 in γc Cytokine Signaling	9.11E-01		1.45E-02	PIK3R5	
SPINK1 General Cancer Pathway	9.11E-01		1.45E-02	PIK3R5	
Calcium-induced T Lymphocyte Apoptosis	9.3E-01		1.52E-02	PRKCQ	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	9.3E-01		6.41E-03	PIK3R5,PRKCQ	
CD40 Signaling	9.36E-01		1.54E-02	PIK3R5	
ErbB2-ErbB3 Signaling	9.36E-01		1.54E-02	PIK3R5	
Myc Mediated Apoptosis Signaling	9.36E-01		1.54E-02	PIK3R5	
Pyridoxal 5'-phosphate Salvage Pathway	9.36E-01		1.54E-02	PRKCQ	
Regulation of Cellular Mechanics by Calpain Protease	9.36E-01		1.54E-02	ITGA4	
IL-17A Signaling in Airway Cells	9.42E-01		1.56E-02	PIK3R5	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	9.42E-01		1.56E-02	PIK3R5	
IL-2 Signaling	9.62E-01		1.64E-02	PIK3R5	
Endometrial Cancer Signaling	9.69E-01		1.67E-02	PIK3R5	
Semaphorin Signaling in Neurons	9.69E-01		1.67E-02	DPYSL5	
Dermatan Sulfate Biosynthesis	9.76E-01		1.69E-02	B3GAT1	
MSP-RON Signaling Pathway	9.83E-01		1.72E-02	PIK3R5	
CNTF Signaling	9.9E-01		1.75E-02	PIK3R5	
Glutamate Receptor Signaling	9.9E-01		1.75E-02	GRIA4	
Xenobiotic Metabolism Signaling	9.9E-01		6.97E-03	PIK3R5,PRKCQ	
Chondroitin Sulfate Biosynthesis	9.97E-01		1.79E-02	B3GAT1	
EGF Signaling	1E00		1.82E-02	PIK3R5	
Role of IL-17A in Arthritis	1.01E00		1.85E-02	PIK3R5	
Lymphotoxin β Receptor Signaling	1.02E00		1.89E-02	PIK3R5	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.02E00		7.27E-03	PIK3R5,PRKCQ	
UVC-Induced MAPK Signaling	1.04E00		1.96E-02	PRKCQ	
Amyloid Processing	1.04E00		2.00E-02	CDK5R1	
Melanoma Signaling	1.04E00		2.00E-02	PIK3R5	
Ephrin A Signaling	1.07E00		2.13E-02	PIK3R5	
nNOS Signaling in Neurons	1.07E00		2.13E-02	PRKCQ	
Phospholipase C Signaling	1.07E00		7.78E-03	ITGA4,PRKCQ	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	1.08E00		2.17E-02	SALL4	
Apelin Pancreas Signaling Pathway	1.1E00		2.27E-02	PIK3R5	
IL-23 Signaling Pathway	1.1E00		2.27E-02	PIK3R5	
Opioid Signaling Pathway	1.1E00		8.10E-03	PRKCQ,RGS17	
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.11E00		2.33E-02	NUDT18	
Signaling by Rho Family GTPases	1.11E00		8.20E-03	ITGA4,PIK3R5	
Mechanisms of Viral Exit from Host Cells	1.13E00		2.44E-02	PRKCQ	
Pyrimidine Ribonucleotides Interconversion	1.13E00		2.44E-02	NUDT18	
Inhibition of Matrix Metalloproteases	1.15E00		2.56E-02	TFPI2	
Docosahexaenoic Acid (DHA) Signaling	1.16E00		2.63E-02	PIK3R5	
Actin Cytoskeleton Signaling	1.19E00		9.17E-03	ITGA4,PIK3R5	
Role of NFAT in Cardiac Hypertrophy	1.21E00		9.35E-03	PIK3R5,PRKCQ	
Integrin Signaling	1.21E00		9.39E-03	ITGA4,PIK3R5	
IL-9 Signaling	1.22E00		3.03E-02	PIK3R5	
mTOR Signaling	1.22E00		9.52E-03	PIK3R5,PRKCQ	
Thrombin Signaling	1.23E00		9.62E-03	PIK3R5,PRKCQ	
Breast Cancer Regulation by Stathmin1	1.26E00		1.00E-02	PIK3R5,PRKCQ	
IL-8 Signaling	1.26E00		1.00E-02	PIK3R5,PRKCQ	
Role of p14/p19ARF in Tumor Suppression	1.27E00		3.45E-02	PIK3R5	
ERK/MAPK Signaling	1.29E00		1.04E-02	ITGA4,PIK3R5	
NRF2-mediated Oxidative Stress Response	1.3E00		1.06E-02	PIK3R5,PRKCQ	
Synaptic Long Term Depression	1.3E00		1.06E-02	GRIA4,PRKCQ	
Endothelin-1 Signaling	1.31E00		1.06E-02	PIK3R5,PRKCQ	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.31E00		1.06E-02	PIK3R5,PRKCQ	
B Cell Receptor Signaling	1.32E00		1.08E-02	PIK3R5,PRKCQ	
Role of NFAT in Regulation of the Immune Response	1.34E00		1.10E-02	PIK3R5,PRKCQ	
NF-κB Signaling	1.35E00		1.12E-02	PIK3R5,PRKCQ	
T Cell Exhaustion Signaling Pathway	1.36E00		1.14E-02	PIK3R5,PRKCQ	
PI3K/AKT Signaling	1.37E00		1.15E-02	IL17RB,ITGA4	
CXCR4 Signaling	1.4E00		1.20E-02	PIK3R5,PRKCQ	
Molecular Mechanisms of Cancer	1.43E00		7.67E-03	ITGA4,PIK3R5,PRKCQ	
eNOS Signaling	1.44E00		1.26E-02	PIK3R5,PRKCQ	
Aldosterone Signaling in Epithelial Cells	1.44E00		1.27E-02	PIK3R5,PRKCQ	
Gαq Signaling	1.45E00		1.27E-02	PIK3R5,PRKCQ	
Regulation of eIF4 and p70S6K Signaling	1.45E00		1.27E-02	ITGA4,PIK3R5	
PKCθ Signaling in T Lymphocytes	1.46E00		1.29E-02	PIK3R5,PRKCQ	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.46E00		1.30E-02	PIK3R5,PRKCQ	
Hepatic Fibrosis Signaling Pathway	1.49E00		8.15E-03	ITGA4,PIK3R5,PRKCQ	
Type II Diabetes Mellitus Signaling	1.53E00		1.41E-02	PIK3R5,PRKCQ	
Human Embryonic Stem Cell Pluripotency	1.57E00		1.48E-02	PIK3R5,SALL4	
IL-12 Signaling and Production in Macrophages	1.59E00		1.52E-02	PIK3R5,PRKCQ	
Synaptic Long Term Potentiation	1.61E00		1.55E-02	GRIA4,PRKCQ	
p70S6K Signaling	1.61E00		1.55E-02	PIK3R5,PRKCQ	
14-3-3-mediated Signaling	1.62E00		1.57E-02	PIK3R5,PRKCQ	
P2Y Purigenic Receptor Signaling Pathway	1.62E00		1.57E-02	PIK3R5,PRKCQ	
PTEN Signaling	1.62E00		1.59E-02	ITGA4,PIK3R5	
CCR3 Signaling in Eosinophils	1.64E00		1.61E-02	PIK3R5,PRKCQ	
Th1 Pathway	1.66E00		1.65E-02	PIK3R5,PRKCQ	
CD28 Signaling in T Helper Cells	1.66E00		1.67E-02	PIK3R5,PRKCQ	
GP6 Signaling Pathway	1.67E00		1.68E-02	PIK3R5,PRKCQ	
Natural Killer Cell Signaling	1.67E00		1.68E-02	PIK3R5,PRKCQ	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.67E00		1.68E-02	PIK3R5,SALL4	
Synaptogenesis Signaling Pathway	1.68E00		9.62E-03	GRIA4,MAP1B,PIK3R5	
Renin-Angiotensin Signaling	1.68E00		1.69E-02	PIK3R5,PRKCQ	
Fc Epsilon RI Signaling	1.68E00		1.71E-02	PIK3R5,PRKCQ	
fMLP Signaling in Neutrophils	1.69E00		1.72E-02	PIK3R5,PRKCQ	
Apelin Endothelial Signaling Pathway	1.7E00		1.74E-02	PIK3R5,PRKCQ	
iCOS-iCOSL Signaling in T Helper Cells	1.73E00		1.80E-02	PIK3R5,PRKCQ	
Glioma Signaling	1.74E00		1.82E-02	PIK3R5,PRKCQ	
Paxillin Signaling	1.75E00		1.85E-02	ITGA4,PIK3R5	
PD-1, PD-L1 cancer immunotherapy pathway	1.77E00		1.89E-02	PIK3R5,PRKCQ	
Phosphatidylethanolamine Biosynthesis II	1.77E00		1.11E-01	CHKA	
T Cell Receptor Signaling	1.77E00		1.90E-02	PIK3R5,PRKCQ	
Apelin Cardiomyocyte Signaling Pathway	1.82E00		2.02E-02	PIK3R5,PRKCQ	
Nitric Oxide Signaling in the Cardiovascular System	1.82E00		2.02E-02	PIK3R5,PRKCQ	
Amyotrophic Lateral Sclerosis Signaling	1.84E00		2.06E-02	GRIA4,PIK3R5	
PAK Signaling	1.84E00		2.06E-02	ITGA4,PIK3R5	
FAK Signaling	1.86E00		2.11E-02	ITGA4,PIK3R5	
ErbB Signaling	1.86E00		2.13E-02	PIK3R5,PRKCQ	
Cardiac Hypertrophy Signaling (Enhanced)	1.88E00		8.21E-03	IL17RB,ITGA4,PIK3R5,PRKCQ	
Glycoaminoglycan-protein Linkage Region Biosynthesis	1.88E00		1.43E-01	B3GAT1	
Phosphatidylcholine Biosynthesis I	1.88E00		1.43E-01	CHKA	
Axonal Guidance Signaling	1.88E00		8.25E-03	DPYSL5,ITGA4,PIK3R5,PRKCQ	
HER-2 Signaling in Breast Cancer	1.96E00		2.38E-02	PIK3R5,PRKCQ	
TR/RXR Activation	1.96E00		2.38E-02	PIK3R5,SLC16A3	
VEGF Family Ligand-Receptor Interactions	1.96E00		2.38E-02	PIK3R5,PRKCQ	
LPS-stimulated MAPK Signaling	1.98E00		2.44E-02	PIK3R5,PRKCQ	
Prolactin Signaling	1.99E00		2.47E-02	PIK3R5,PRKCQ	
Huntington's Disease Signaling	1.99E00		1.27E-02	CDK5R1,PIK3R5,PRKCQ	
IL-3 Signaling	2.01E00		2.53E-02	PIK3R5,PRKCQ	
Erythropoietin Signaling	2.04E00		2.63E-02	PIK3R5,PRKCQ	
Macropinocytosis Signaling	2.04E00		2.63E-02	PIK3R5,PRKCQ	
Growth Hormone Signaling	2.1E00		2.82E-02	PIK3R5,PRKCQ	
ErbB4 Signaling	2.15E00		2.99E-02	PIK3R5,PRKCQ	
CREB Signaling in Neurons	2.15E00		1.45E-02	GRIA4,PIK3R5,PRKCQ	
Thrombopoietin Signaling	2.2E00		3.17E-02	PIK3R5,PRKCQ	
Gap Junction Signaling	2.21E00		1.52E-02	GRIA4,PIK3R5,PRKCQ	
Leukocyte Extravasation Signaling	2.21E00		1.52E-02	ITGA4,PIK3R5,PRKCQ	
UVB-Induced MAPK Signaling	2.36E00		3.85E-02	PIK3R5,PRKCQ	
Th1 and Th2 Activation Pathway	2.38E00		1.75E-02	IL17RB,PIK3R5,PRKCQ	
Tec Kinase Signaling	2.43E00		1.83E-02	ITGA4,PIK3R5,PRKCQ	
Th2 Pathway	2.66E00		2.21E-02	IL17RB,PIK3R5,PRKCQ	
Phagosome Formation	2.77E00		2.40E-02	ITGA4,PIK3R5,PRKCQ	
Rac Signaling	2.91E00		2.68E-02	CDK5R1,ITGA4,PIK3R5	
HGF Signaling	2.92E00		2.70E-02	ITGA4,PIK3R5,PRKCQ	
Virus Entry via Endocytic Pathways	2.96E00		2.80E-02	ITGA4,PIK3R5,PRKCQ	
Neuropathic Pain Signaling In Dorsal Horn Neurons	3.03E00		2.97E-02	GRIA4,PIK3R5,PRKCQ	
Neuregulin Signaling	3.1E00		3.12E-02	CDK5R1,ITGA4,PRKCQ	
NF-κB Activation by Viruses	3.3E00		3.66E-02	ITGA4,PIK3R5,PRKCQ	
Reelin Signaling in Neurons	3.99E00		3.10E-02	CDK5R1,ITGA4,MAP1B,PIK3R5	

Upstream Regulators for My Projects->hd_microarray->longFragmentHuman - 2020-01-20 08:06 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
longFragmentHuman - 2020-01-20 08:06 PM	 	RUNX1	transcription regulator	 	 	 	 	 	3.02E-05	CST7,DEPTOR,ITGA4,PRKCQ,SPATA6	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	MITF	transcription regulator	 	 	 	 	 	9.78E-05	CDK5R1,CHKA,ESRP1,FRMD4B,ITGA4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	azathioprine	chemical drug	 	 	 	 	 	2.05E-04	ATP9A,ITGA4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	NEUROG2	transcription regulator	 	 	 	 	 	3.37E-04	CDK5R1,NKX2-2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	PAX6	transcription regulator	 	 	 	 	 	7.69E-04	CHKA,KIF1B,NKX2-2,SPAG1	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	EP300	transcription regulator	 	 	 	 	 	1.62E-03	CHKA,CST7,FRMD4B,KIF1B,TMPRSS2	CREBBP,EP300	
longFragmentHuman - 2020-01-20 08:06 PM	 	B3GAT2	enzyme	 	 	 	 	 	1.96E-03	B3GAT1	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	CHMP4C	other	 	 	 	 	 	1.96E-03	DEPTOR	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	EVL	other	 	 	 	 	 	1.96E-03	ITGA4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	KIF21A	other	 	 	 	 	 	1.96E-03	MAP1B	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	UBAP1	other	 	 	 	 	 	1.96E-03	DEPTOR	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	dihydroxyphenylethylene glycol	chemical - endogenous mammalian	 	 	 	 	 	1.96E-03	MAP1B	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	miR-616-3p (miRNAs w/seed GUCAUUG)	mature microrna	 	 	 	 	 	1.96E-03	TFPI2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	PD 0325901	chemical drug	 	 	 	 	 	2.03E-03	CHKA,DEPTOR	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	NANOG	transcription regulator	 	 	 	 	 	2.07E-03	MAP1B,NKX2-2,SALL4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	TGFB1	growth factor	 	 	 	 	 	2.39E-03	ADGRG2,CDK5R1,DEPTOR,DMTN,ESRP1,GSE1,IL17RB,ITGA4,KLF15,SLC16A3	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	QKI	other	 	 	 	 	 	2.53E-03	DACT1,MAP1B	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	NEUROD1	transcription regulator	 	 	 	 	 	2.66E-03	CDK5R1,NKX2-2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	FMR1	translation regulator	 	 	 	 	 	3.00E-03	MAP1B,NKX2-2,QPCT	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	HNRNPA2B1	other	 	 	 	 	 	3.00E-03	ADGRG2,TFPI2,UBASH3B	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	tretinoin	chemical - endogenous mammalian	 	 	 	 	 	3.56E-03	CDK5R1,CHKA,DPYSL5,ITGA4,KIF1B,KLF15,MAP1B,NKX2-2,SALL4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	FUZ	other	 	 	 	 	 	3.92E-03	NKX2-2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	INK4	group	 	 	 	 	 	3.92E-03	TFPI2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	STAM	other	 	 	 	 	 	3.92E-03	DEPTOR	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	abiraterone	chemical drug	 	 	 	 	 	3.92E-03	TMPRSS2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	HOXA3	transcription regulator	 	 	 	 	 	4.17E-03	ITGA4,SPATA6	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	RARA	ligand-dependent nuclear receptor	 	 	 	 	 	5.29E-03	ITGA4,MAP1B,SALL4,TTC9	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	DHPS	enzyme	 	 	 	 	 	5.88E-03	CDK5R1	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	EEF1D	translation regulator	 	 	 	 	 	5.88E-03	ITGA4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	HOXB2	transcription regulator	 	 	 	 	 	5.88E-03	NKX2-2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	Mn2+	chemical - endogenous mammalian	 	 	 	 	 	5.88E-03	ATP13A2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	SOCS2-AS1	other	 	 	 	 	 	5.88E-03	TMPRSS2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	necrostatin-1s	chemical reagent	 	 	 	 	 	5.88E-03	CST7	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	CREBBP	transcription regulator	 	 	 	 	 	7.32E-03	CST7,FRMD4B,KIF1B,TMPRSS2	CREBBP,EP300	
longFragmentHuman - 2020-01-20 08:06 PM	 	PKD1	ion channel	 	 	 	 	 	7.37E-03	IL17RB,QPCT,SPATA6	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	AKR1C3	enzyme	 	 	 	 	 	7.83E-03	TMPRSS2	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	CHMP2B	other	 	 	 	 	 	7.83E-03	GRIA4	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	EEF2K	kinase	 	 	 	 	 	7.83E-03	MAP1B	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	SIX4	transcription regulator	 	 	 	 	 	7.83E-03	DEPTOR	 	
longFragmentHuman - 2020-01-20 08:06 PM	 	TDP2	transcription regulator	 	 	 	 	 	9.78E-03	TMPRSS2	 	
