© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	KCNIP1	 	ion channel	 	 	 	 	 	5.08E-03	KCND3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TBR1	 	transcription regulator	 	 	 	 	 	5.08E-03	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	miR-370-3p (and other miRNAs w/seed CCUGCUG)	 	mature microrna	 	 	 	 	 	5.08E-03	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SOX11	 	transcription regulator	 	 	 	 	 	6.07E-03	TIAM1,TMSB15A	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	tazemetostat	 	chemical drug	 	 	 	 	 	6.08E-03	DDR2,STMN2,TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	APOE	 	transporter	 	 	 	 	 	6.14E-03	HERPUD1,LRP1,TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	FEZF2	 	transcription regulator	 	 	 	 	 	6.35E-03	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NPAT	 	transcription regulator	 	 	 	 	 	6.35E-03	H1-5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Pzp	 	other	 	 	 	 	 	6.35E-03	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	miR-292b-5p (and other miRNAs w/seed CUCAAAA)	 	mature microrna	 	 	 	 	 	6.35E-03	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SP2509	 	chemical reagent	 	 	 	 	 	6.72E-03	DDR2,STMN2,TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CGA	 	other	 	 	 	 	 	6.86E-03	HERPUD1,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	EIF2AK3	 	kinase	 	 	 	 	 	7.55E-03	HERPUD1,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	MAGED1	 	transcription regulator	 	 	 	 	 	7.62E-03	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	MECP2	 	transcription regulator	 	 	 	 	 	8.57E-03	DLX5,DLX6	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	2-mercaptoethanol	 	chemical - endogenous mammalian	 	 	 	 	 	8.88E-03	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Cyclin A	 	group	 	 	 	 	 	8.88E-03	H1-5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	EPHB2	 	kinase	 	 	 	 	 	8.88E-03	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	STMN1	 	other	 	 	 	 	 	8.88E-03	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	WNT10B	 	other	 	 	 	 	 	8.88E-03	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	MAPT	 	other	 	 	 	 	 	9.55E-03	LRP1,LRP1B,STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	(-)-epicatechin gallate	 	chemical - endogenous non-mammalian	 	 	 	 	 	1.01E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CDH5	 	other	 	 	 	 	 	1.01E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	I-BET-151	 	chemical reagent	 	 	 	 	 	1.01E-02	NEAT1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PTGES3	 	enzyme	 	 	 	 	 	1.14E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	USP37	 	peptidase	 	 	 	 	 	1.14E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CAMK2A	 	kinase	 	 	 	 	 	1.27E-02	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CNB-001	 	chemical reagent	 	 	 	 	 	1.27E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NMNAT1	 	enzyme	 	 	 	 	 	1.27E-02	TMSB15A	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TLE1	 	transcription regulator	 	 	 	 	 	1.27E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	copper	 	chemical - endogenous mammalian	 	 	 	 	 	1.27E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mir-8	 	microrna	 	 	 	 	 	1.34E-02	DLX5,LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	C9orf72	 	other	 	 	 	 	 	1.39E-02	NEAT1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NR2E3	 	ligand-dependent nuclear receptor	 	 	 	 	 	1.39E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	ST3-Hel2A-2	 	chemical reagent	 	 	 	 	 	1.39E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TAS1R3	 	g-protein coupled receptor	 	 	 	 	 	1.39E-02	SLC7A3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	theophylline	 	chemical drug	 	 	 	 	 	1.39E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	L1CAM	 	other	 	 	 	 	 	1.52E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PEMT	 	enzyme	 	 	 	 	 	1.52E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Betacatenin/TCF	 	complex	 	 	 	 	 	1.64E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	EFNB2	 	kinase	 	 	 	 	 	1.64E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SOX4	 	transcription regulator	 	 	 	 	 	1.73E-02	SLC7A3,TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	AQP1	 	transporter	 	 	 	 	 	1.89E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CREBZF	 	transcription regulator	 	 	 	 	 	1.89E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	RCOR1	 	transcription regulator	 	 	 	 	 	1.89E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	RXFP2	 	g-protein coupled receptor	 	 	 	 	 	1.89E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SATB2	 	transcription regulator	 	 	 	 	 	1.89E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	IFNG	 	cytokine	 	0.000	 	-0.094	0.187	1.96E-02	DDR2,GAD2,NEAT1,NUPR1,RBM5-AS1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	IL1B	 	cytokine	 	 	 	 	 	1.96E-02	GAD2,NEAT1,RBM5-AS1,STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	BHLHA15	 	transcription regulator	 	 	 	 	 	2.02E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CDK1	 	kinase	 	 	 	 	 	2.02E-02	H1-5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	bexarotene	 	chemical drug	 	 	 	 	 	2.09E-02	BCL11B,HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	ERF	 	transcription regulator	 	 	 	 	 	2.14E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PPP4R3B	 	other	 	 	 	 	 	2.14E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PTPN2	 	phosphatase	 	 	 	 	 	2.14E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SEL1L	 	other	 	 	 	 	 	2.14E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	farnesol	 	chemical reagent	 	 	 	 	 	2.14E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mir-31	 	microrna	 	 	 	 	 	2.14E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	FDFT1	 	enzyme	 	 	 	 	 	2.27E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	IL15RA	 	transmembrane receptor	 	 	 	 	 	2.27E-02	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	RHOJ	 	enzyme	 	 	 	 	 	2.27E-02	LRP1B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TERF2IP	 	other	 	 	 	 	 	2.27E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TMBIM6	 	other	 	 	 	 	 	2.27E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	acetaldehyde	 	chemical - endogenous mammalian	 	 	 	 	 	2.27E-02	DDR2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	BMP4	 	growth factor	 	 	 	 	 	2.39E-02	DLX5,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DTNBP1	 	other	 	 	 	 	 	2.39E-02	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	LRPAP1	 	other	 	 	 	 	 	2.39E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Mir200	 	group	 	 	 	 	 	2.39E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TFF3	 	other	 	 	 	 	 	2.39E-02	NEAT1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PPP4R3A	 	other	 	 	 	 	 	2.52E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CETP	 	enzyme	 	 	 	 	 	2.64E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DLX5	-1.422	transcription regulator	 	 	 	 	 	2.64E-02	GAD2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Fus	 	transcription regulator	 	 	 	 	 	2.64E-02	H2BC10	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	ALDH2	 	enzyme	 	 	 	 	 	2.77E-02	SLC7A3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CTR9	 	other	 	 	 	 	 	2.77E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PARPBP	 	other	 	 	 	 	 	2.77E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SKI	 	transcription regulator	 	 	 	 	 	2.77E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	beta-estradiol	 	chemical - endogenous mammalian	 	-0.135	 	-0.078	0.016	2.77E-02	GAD2,HERPUD1,KCND3,NUPR1,TAC3,TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	BMPR1B	 	kinase	 	 	 	 	 	2.89E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mir-124	 	microrna	 	 	 	 	 	2.89E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DPP4	 	peptidase	 	 	 	 	 	3.01E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DRAP1	 	transcription regulator	 	 	 	 	 	3.01E-02	H1-5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mir-183	 	microrna	 	 	 	 	 	3.01E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	RNASEL	 	enzyme	 	 	 	 	 	3.14E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TRIB3	 	kinase	 	 	 	 	 	3.14E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	leucine	 	chemical - endogenous mammalian	 	 	 	 	 	3.14E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CPE	 	peptidase	 	 	 	 	 	3.26E-02	TAC3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SIX1	 	transcription regulator	 	 	 	 	 	3.26E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	THBS1	 	other	 	 	 	 	 	3.38E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	bufalin	 	chemical reagent	 	 	 	 	 	3.38E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	lenalidomide	 	chemical drug	 	 	 	 	 	3.49E-02	BCL11B,LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SUB1	 	transcription regulator	 	 	 	 	 	3.51E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TAF6	 	transcription regulator	 	 	 	 	 	3.51E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	caspase	 	group	 	 	 	 	 	3.51E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	KLF4	 	transcription regulator	 	 	 	 	 	3.60E-02	BCL11B,NEAT1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	MMP14	 	peptidase	 	 	 	 	 	3.63E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TCF7L1	 	transcription regulator	 	 	 	 	 	3.63E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	TERC	 	other	 	 	 	 	 	3.75E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NRXN1	 	transporter	 	 	 	 	 	3.88E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	fluvastatin	 	chemical drug	 	 	 	 	 	4.00E-02	LRP1	 	
