HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
SH2D3A,MIR3064,DPY19L1P1,BCL2L11,TENM1
MTRNR2L2,MIR5047,MKRN2OS,HECTD2-AS1,CASC9
THAP9-AS1,RWDD2B,ZNF37BP,LINC00092,LOC101926969
LOC100499489,KLHL7-AS1,LOC100129534,TRR-TCT1-1,LOC101927151
INAFM2,MIR548AR,ZNF730,TPT1-AS1,GATA2-AS1
LOC100505588,DOCK9-AS2,MYL6P3,LINC00704,LOC101927318
LINC01133,PTGES3L-AARSD1,RPL17P18,LOC100240735,LOC101927359
LOC100505817,LINC01505,LOC100129661,RPSAP41,LINC01508
PROX1-AS1,LOC100996660,NPM1P50,RPS26P26,LOC101927888
CEBPZOS,NPY4R2,MRVI1-AS1,LOC100286986,LINC02449
LOC100506076,TBC1D3G,ZNF737,EML2-AS1,LOC101928092
LOC100506114,TBC1D3K,LOC100129917,OSTM1-AS1,LOC101928228
TMEM35B,LINC01910,GLYATL1P2,LINC00630,LOC101928415
HOTAIRM1,TMEM220-AS1,URAHP,SLC9A3-AS1,LINC02301
SP2-AS1,RAD50,HSFX2,ZNF605,FANCD2P2
FAM212B-AS1,ARL4A,MIR124-2HG,FTX,LOC101929613
LINC01158,NPTN-IT1,RPS24P19,SPDYE2B,LOC101929777
LINC00648,AKAP9,LOC100130256,HSPD1P11,LOC101929959
OCLN,AASS,C17orf107,CICP16,CALCRL
NUP50-AS1,STAG3L5P-PVRIG2P-PILRB,LOC100130370,LOC100420587,PATJ
LOC100506725,LHFPL2,LOC100130417,ERP29P1,KLRG1
LOC100506797,LOC101926963,PP14571,LOC100420794,MSLN
TTN-AS1,LOC101927021,PARD6G-AS1,BMPR1APS1,RABEPK
LL0XNC01-250H12.3,SEMA6A-AS1,LOC100130548,LOC100421597,HRAT5
LINC01605,LOC101927252,RPS2P5,RIMKLBP2,LOC102723546
TMEM178B,LOC101927345,RANP4,SMG1P6,LOC102723568
ZNF571-AS1,LINC02302,LOC100130705,MIR3125,LOC102723675
SOX21-AS1,LOC101927383,RPS8P9,SH2D3A,LOC102723897
LOC100507557,LOC101927482,LOC100130872,ELOCP19,LOC102724135
BMPR1APS2,LOC101927506,ATE1-AS1,USP2-AS1,SVIL-AS1
CDH8,COL1A2-AS1,VAC14-AS1,LINC00673,LOC102724330
PTPRU,LINC01204,ZNF663P,LOC100505588,EFS
ATP9A,LOC101927699,LOC100130950,LINC01133,ABALON
CDH10,FOXCUT,RPL38P4,STARD4-AS1,SCML2
HEIH,LOC101927756,LOC100130992,SH3BP5-AS1,CDSN
HOXB-AS1,LOC101927759,SRP14-AS1,LINC01592,SPON1
LINC02361,LOC101928020,CCDC183-AS1,LOC100505774,GPNMB
LINC02256,SLC44A3-AS1,ANKRD63,CARD8-AS1,LOC105369512
CA3-AS1,LOC101928092,LOC100131315,PROX1-AS1,LOC105369617
DUX4L26,LOC101928100,LOC100131360,CEBPZOS,LOC105369957
LOC100996517,C21orf140,100131372,SOX1-OT,LOC105370469
LINC01505,LOC101928228,SP9,LOC100506055,LOC105370687
LOC100996662,LOC101928433,LINC00893,LOC100506142,LOC105370854
LOC100996716,LOC101928524,DBIL5P,TMEM35B,LOC105370924
NPY4R2,LOC101928650,CCDC18-AS1,PAXBP1-AS1,LOC105371206
GOLGA8R,LOC101928659,MZF1-AS1,NKX2-1-AS1,LOC105371216
LOC101059954,LOC101928762,RPL29P11,LOC100506258,LOC105371275
LOC101060091,LINC01258,ZNF717,HOTAIRM1,LINC02086
CHMP1B2P,LOC101928841,RPS18P5,FAM212B-AS1,LINC01894
NUTM2B-AS1,LINC01351,LOC100131868,LOC100506411,LOC105372141
TMEM220-AS1,CTD-2297D10.2,LOC100132057,LINC01158,LOC105372233
CDH13,LOC101929204,FOXO6,LINC00648,LOC105372253
NPTN-IT1,LOC101929307,LOC100132076,LOC100506473,LOC105372321
PTENP1-AS,LOC101929322,HERC2P7,LOC100506474,LOC105372345
ATP6AP2,LOC101929427,TUBB2BP1,LOC100506563,LOC105372798
TENM1,LOC101929532,NPIPB5,THEGL,LOC105373502
TNK2,LOC101929692,LOC100132249,LINC01279,LOC105373944
LOC101926969,LOC101929710,CLUHP3,PXN-AS1,LOC105374689
RUNDC3A-AS1,LOC101929823,LINC01512,OCLN,LOC105375222
LOC101927040,SPRY2,FAM157B,SACS-AS1,LOC105375777
LINC01607,RAMP1,GXYLT1P3,PCAT6,LOC105376294
LOC101927151,LOC102723360,ZRANB2-AS1,NUP50-AS1,LINC02547
GATA2-AS1,LOC102723534,CICP3,LOC100506718,LOC105376878
LOC101927314,LOC102723543,RPL17P7,LOC100506725,LOC105376944
LOC101927322,LOC102723564,KDM4A-AS1,LOC100506747,LOC105376982
CH17-125A10.2,LOC102723696,IPO5P1,AGAP1-IT1,LINC01980
LOC101927359,LOC102723716,MSC-AS1,LINC01354,LOC105377709
LINC01571,LOC102723761,FAM95B1,LOC100506797,LOC105377771
LOC101927383,LOC102723985,LOC100133165,LL0XNC01-250H12.3,LOC105377806
LOC101927400,LOC102723996,GOLGA6L3,LOC100506922,LOC105377896
LOC101927699,LOC102724093,LINC01119,LOC100507006,LOC105378218
LINC01508,LOC102724124,LOC100134868,100507131,LOC105378302
LINC02449,LOC102724219,UBE2Q2P2,100507191,LOC105378526
LINC01213,SVIL-AS1,PLA2G4B,RNF157-AS1,LOC105378678
LOC101927999,LOC102724428,CHKB-AS1,LOC100507336,LOC105379005
LOC101928092,LOC102724488,KLLN,LINC01605,LOC105379194
ITGA9-AS1,LOC102724593,SRRM5,TMEM178B,LOC105379362
LOC101928228,LOC102724701,BCL2L11,ZNF571-AS1,LOC105379477
LOC101928344,LOC102724843,TRR-TCT1-1,SOX21-AS1,NKILA
LOC101928422,LOC102724951,LDHAP7,LOC100507554,PRDX4
LOC101928592,EFS,RAMP2-AS1,CCDC169-SOHLH2,CCEPR
LINC02301,APBB3,TPT1-AS1,SLX1A-SULT1A3,NPC2
LINC01333,LAMC3,SUPT4H1P1,SEPT5-GP1BB,CDC42EP3
LOC101929174,TUBB4A,LOC100190986,STX16-NPEPL1,RASL10A
LOC101929231,MYL9,LINC00704,MIR4523,LEFTY1
LOC101929322,CDS1,LOC100216355,MIR378D2,RN7SKP71
LURAP1L-AS1,CPQ,LINC01004,MIR4477B,LINC00680
LOC101929485,CDSN,RPL5P9,MIR548AH,BOLA2-SMG1P6
LOC101929534,SLC30A9,RPL5P12,MIR4450,KIF1C
TMC3-AS1,PKD1P6-NPIPP1,RPL5P17,MIR3064,MTHFD2
LINC01583,LOC105369197,RPL8P3,LOC100631378,LOC107984006
LOC101929705,LOC105369352,RPS6P10,ATP9A,LOC107984398
LOC101929759,LINC02407,RPSAP41,CDH10,LOC107984841
LOC101929777,LOC105370114,RPL34P5,MIR548AR,LOC107984847
LOC101929959,LOC105370214,RPS14P1,GDNF-AS1,LOC107985017
KLRG1,LOC105370858,RPS14P2,DOCK9-AS2,LOC107985675
RCAN2,LOC105370956,RPS15P2,COL4A3BP,LOC107985911
SPRY2,LOC105371224,RPS20P11,OPA1-AS1,LOC107985912
RAMP1,LOC105371275,RPS26P26,GPC6-AS1,LOC107986360
LINC01159,LOC105371427,RPS10P19,ZNF197-AS1,LOC107986363
LOC102723345,LINC02001,RPL31P63,LINC00571,LOC107987002
LOC102723716,LOC105372321,RPL31P52,HIGD1AP11,LOC107987003
LOC102723761,LOC105372432,RPL39P37,CDH11,LOC107987067
LINC01315,LOC105372480,RPS26P52,LINC01993,LOC107987208
LOC102723846,LOC105372733,RPS15AP38,CA3-AS1,LOC107987279
LOC102723897,LOC105372837,SMG1P3,LOC100996517,LOC107987305
LOC102723996,LOC105372909,LOC100272217,LINC01505,LOC107987306
LINC02542,LINC01638,LINC00894,LOC100996662,LOC107987307
SVIL-AS1,LOC105373041,LOC100287046,LOC100996716,LOC107987308
CH507-42P11.6,LOC105373132,LINC00941,NPY4R2,LOC107987309
LOC102724428,LOC105373134,OSTM1-AS1,LINC00621,FAM239C
KRT8P50,LINC01456,LOC100287387,LOC101059954,ALDH1L1
LOC102724467,LOC105373212,LOC100287467,ARMC4P1,PDE10A
LOC102724479,LOC105373215,LOC100287497,LINC01563,PPP1R13L
LOC102724488,LOC105373234,AP4B1-AS1,NUTM2B-AS1,HCP5
LOC102724525,LOC105373292,LOC100288069,CDH13,PPARGC1A
LOC102724545,LOC105373480,LOC100288073,PTENP1-AS,MSL3
LOC102724593,LOC105373581,LOC100288123,AKAP9,SLC38A3
LOC102724875,LOC105373944,NBPF20,ADGRG2,CCDC85B
MICB-DT,LOC105373954,HMGN3-AS1,ABI2,CHI3L1
LOC102725121,LOC105374128,LOC100288379,AASS,CHM
EFS,LOC105374309,ULK4P2,ATP6AP2,IRAK3
APC2,LOC105374689,LOC100288637,LHFPL2,CHN2
ABALON,LOC105374809,CICP7,RDH10-AS1,PXMP4
CCNO,LOC105375019,HYDIN2,LOC101926969,FAM71E1
SIRPB1,LOC105375222,RPL23AP88,RUNDC3A-AS1,POU6F2
CDO1,LOC105375265,LOC100289279,LOC101927019,LYST
CDR1,LOC105375350,KCTD21-AS1,CHL1-AS1,CHRM3
BTN3A3,LOC105375825,ZNF605,SEMA6A-AS1,ZNF257
SCML2,LOC105375980,LOC100291628,LOC101927248,CHRNA7
LOC103908605,LOC105376014,LOC100294362,LOC101927267,MAL2
MYL9,LOC105376037,CDH5,LOC101927278,CYGB
CDS1,LOC105376060,MIR1204,LOC101927314,ELFN2
SPON2,LOC105376114,MIR1304,CH17-125A10.2,GALNT13
LRRN2,LOC105376268,MIR1254-1,LOC101927345,C1QTNF3
SEMA6C,LOC105376387,LINC00882,LOC101927359,FBXO32
CEBPB,LOC105376453,FTX,LINC01571,VASN
NEBL,LOC105376494,SPDYE2B,LOC101927374,C8orf34
LOC105369205,LOC105376577,HSPD1P11,LOC101927383,RBP7
LOC105369250,LOC105376689,CHAF1A,LOC101927391,GRIN3B
LOC105369401,LOC105377056,PRDX3P4,LOC101927583,TSEN15
LOC105369463,LOC105377177,PRDX3P1,LINC01535,ART5
LOC105369592,LOC105377335,LOC100419673,LOC101927693,TWIST2
LOC105369617,LOC105377378,ZNF887P,LOC101927699,CLCN4
LOC105369618,LOC105377508,CICP16,LOC101927943,PIK3AP1
LOC105369746,LOC105377709,LOC100420587,LINC01213,CYP2R1
LOC105369928,LOC105377774,ERP29P1,LOC101928020,BTBD11
LOC105369957,LOC105377806,LOC100420618,LOC101928068,SLAIN1
LOC105370214,LOC105377809,LOC100420794,LOC101928092,JDP2
LOC105370406,LOC105377896,LOC100420892,LOC101928100,CCR1
LOC105370467,LOC105378302,FANCD2P1,LINC01811,TC2N
LOC105370469,LOC105378526,LOC100421293,LINC01483,OVCA2
LINC01629,LOC105378947,HNRNPA1P77,LOC101928161,SEZ6
LOC105370687,LOC105379477,BMPR1APS1,LOC101928228,CCDC159
LOC105370708,LOC105379490,LOC100421597,LOC101928255,CNGA3
LOC105370756,ARFGEF1,CTAGE13P,LOC101928266,JOSD2
LOC105370767,AKAP3,LOC100421976,LOC101928386,RINL
LOC105370924,LINC01173,VPS35P1,LOC101928397,FBXO27
LOC105370982,MYL12A,NPM1P27,LOC101928415,CNR1
LOC105371206,RGS14,NPM1P44,NALT1,DMBX1
LOC105371216,LEFTY1,C1QBPP2,LOC101928521,PIFO
LINC02134,CES1,RIMKLBP2,LOC101928592,TSHZ2
LOC105371275,MIR34AHG,SMG1P6,LOC101928650,COL4A4
LOC105371348,SEPT14P11,ITGB1P1,LOC101929004,COL5A1
LINC02086,SEPT14P14,MIR4315-2,LOC101929028,COL5A2
LOC105371822,SEPT14P16,MIR3125,LINC01333,EMID1
LOC105372141,SEPT14P18,SH2D3A,CTD-2297D10.2,COL8A1
LOC105372233,CFL1P5,MAMLD1,LOC101929188,COL9A3
LOC105372253,ARPP21,EIF3EP3,LOC101929200,LYPD6
LOC105372321,LOC107984011,ELOCP19,LOC101929224,CPNE4
LOC105372345,LOC107984387,MTRNR2L2,LOC101929231,TRIM71
LOC105372798,LOC107984414,USP2-AS1,LOC101929307,MESTP4
LOC105372801,LOC107984461,LINC00673,LOC101929372,FAM43A
LOC105372909,LOC107984489,MIR3916,MEF2C-AS1,SYNPR
LINC01638,LOC107984583,EDNRB-AS1,LOC101929427,SPATA18
LOC105373105,LOC107984648,LINC01301,LURAP1L-AS1,EMB
LOC105373148,LOC107984754,LOC100505588,LOC101929485,ADORA1
LOC105373265,LOC107984916,LINC01133,LOC101929534,SDHAF4
LOC105373300,LOC107984936,RAD51-AS1,LOC101929583,CPN2
LOC105373502,LOC107985017,STARD4-AS1,TMC3-AS1,CLDN23
LOC105373629,LOC107985276,SH3BP5-AS1,LOC101929670,ZNF572
LOC105373953,LOC107985487,LINC01592,LINC01583,DGKK
LOC105373954,LOC107985534,LOC100505774,LOC101929705,FUNDC1
LOC105374027,LOC107985675,SNHG18,LOC101929710,DOCK11
LINC02021,LOC107985731,LOC100505817,LOC101929759,HAPLN1
LOC105374454,LINC01965,LOC100505851,LOC101929823,MACROD2
LOC105374557,LOC107985946,CEBPZOS,LINC01632,ISM1
LOC105374689,LOC107986064,TMEM161B-AS1,LOC101929959,RIPOR3
LOC105374841,LOC107986078,LINC00645,LOC101930100,PABPC5
LOC105375124,LOC107986193,SOX1-OT,DHRS2,CRYBA4
LOC105375148,LOC107986267,RTCA-AS1,ANGPTL7,CRYBB1
LOC105375164,LOC107986566,LOC100506022,CDK7,RAB40A
LOC105375172,LOC107986569,LOC100506055,CD96,MPP7
LOC105375222,LOC107986575,LOC100506083,RCAN2,FGFBP3
LOC105375265,LOC107986752,ARL17B,RASGRP2,PRICKLE1
LOC105375304,LOC107986754,LOC100506124,TIMM17B,CPNE8
SMILR,LOC107986911,LOC100506127,MIR6843,MIPOL1
LOC105375967,LOC107986984,LOC100506142,SPRY2,PTGR2
LOC105376268,LOC107986994,TMEM35B,THRIL,LRFN5
LOC105376289,LOC107987009,TAF1A-AS1,RAMP3,LOC145845
LOC105376294,LOC107987144,PAXBP1-AS1,LINC01159,C15orf32
LOC105376333,LOC107987150,RAB30-AS1,STAM-AS1,FBXL16
LOC105376494,LOC107987169,SP2-AS1,LOC102723323,CSRP2
LOC105376527,LOC107987222,FAM212B-AS1,LOC102723335,CSRP2P1
LINC02547,LOC107987242,LOC100506411,LOC102723345,RTN4RL1
LOC105376752,LOC107987261,LINC01158,LINC02298,ANKRD29
LOC105376781,LOC107987306,LINC00648,LOC102723360,ZNF578
LOC105376806,LOC107987307,SPAG5-AS1,KCNE1B,IGFL2
LOC105376839,LOC107987323,LOC100506473,LOC102723534,ZNF558
LOC105376878,FAM239C,LOC100506474,LOC102723539,ZNF714
LOC105376982,CPLX1,LOC100506563,LOC102723543,ATP8B3
LOC105377003,OR7E12P,THEGL,LOC102723564,SLC35F3
LOC105377021,PPP1R13L,LOC100506606,CDC27P9,ANKRD35
LOC105377325,SLC26A1,LINC01279,LOC102723636,CTH
LOC105377335,C1QL1,LOC100506639,LOC102723670,CLDN19
LOC105377378,GADD45G,OCLN,LOC102723703,ADRA2A
LOC105377413,ADAP1,SACS-AS1,LOC102723716,NFAM1
LOC105377622,SOX30,PCAT6,LOC102723761,TTL
LOC105377709,TPPP,LOC100506718,LOC102723769,ITPRIPL1
LOC105377771,HSF2BP,LOC100506725,LINC01315,LOC151174
LOC105377826,CHGB,LOC100506747,LOC102723996,CTSL
LOC105377896,ADAMTS7,AGAP1-IT1,LOC102724042,CMC1
LOC105378047,IRAK3,LL0XNC01-250H12.3,LOC102724055,CNTN4
LOC105378302,MST1L,LOC100506922,LOC102724078,PPM1K
LOC105378431,CHN2,LOC100506985,LOC102724093,JAKMIP2-AS1
LOC105378526,NXPH3,LOC100506990,LOC102724124,CNKSR3
LOC105378678,PXMP4,PTPRG-AS1,LINC02542,SLC2A12
LOC105378936,TREX1,LOC100507006,LOC102724219,METTL27
LOC105379168,PHF21B,LINC00844,SVIL-AS1,SBSPON
LOC105379194,GLB1L3,PITRM1-AS1,LOC102724363,LINGO2
LOC105379257,LYST,TPBGL,CH507-42P11.6,LDHAP4
LOC105379362,CHRNA1,LOC100507053,LOC102724428,FREM1
LOC105379377,SYNPO,PSMD6-AS2,LOC102724467,ZNF483
LOC105379443,ADCY8,100507131,LOC102724488,ASS1P3
LOC105379477,MYSM1,100507191,LOC102724525,MOSPD2
LOC105379490,GALNT13,RNF157-AS1,LOC102724580,CXorf38
CH507-145C22.1,SORCS1,MAMDC2-AS1,LOC102724584,DACH1
PRDX4,CROCCP3,LOC100507283,LOC102724593,CCDC122
ST6GALNAC2,C1QTNF3,ERVK13-1,PPFIA2-AS1,DAPK1
MYL12A,SLC26A7,LOC100507373,LOC102724682,MDGA2
TXNIP,ATG4A,SENCR,LOC102724701,DDIT3
RN7SL585P,WDFY2,LRP4-AS1,LOC102724731,DQX1
SPINT2,GRIN3B,LINC01605,LOC102724805,RNF168
CELF2,AGAP2,TMEM178B,LOC102724822,PRSS35
LINC00680,ZNF354B,MKNK1-AS1,LOC102724843,BMPER
FUT9,SFXN2,ZNF571-AS1,LOC102724908,COL22A1
CCT6B,AGAP4,MICA,LOC102724943,OLFML2A
DTX2P1,CLK1,100507460,LOC102724951,SPIN3
SLC12A7,CLN3,LOC100507516,EFS,ZCCHC12
SIX2,BTBD11,ARHGEF26-AS1,APC2,PSORS1C1
GRAP,PLIN2,SOX21-AS1,ZNF267,ADAMTS19
CHL1,SLC25A29,LOC100507554,PAUPAR,ABHD11-AS1
IQGAP2,LTB4R,100507577,AKR1A1,SYNPO2
ZNF273,TMEM132E,NPIPB9,TRDN,CLYBL
MTHFD2,SGK494,TNKS2-AS1,CDO1,DYNC1I1
107983953,EFCAB13,GJC1,TUBB4A,DRD4
LOC107984006,CLDND2,CAHM,SCML2,DSC1
LOC107984016,ZNF441,SLX1A-SULT1A3,MYL9,DSC2
LOC107984334,RINL,SLX1B-SULT1A4,CDS1,EPYC
LOC107984345,SLC44A3,SEPT5-GP1BB,SPON2,DTX1
LOC107984413,VSTM2L,PDCD5P1,SPON1,APLNR
LOC107984435,COL4A6,PDCD5P2,LINC01331,LPAR1
LOC107984551,COL8A1,TMEM56-RWDD3,HAX1,S1PR3
LOC107984841,COL8A2,TEN1-CDK3,NCOA2,EDNRB
LOC107984847,COL10A1,ZNF625-ZNF20,SEMA6C,EFNA5
LOC107985017,COL11A1,MSH5-SAPCD1,SEMA4D,EGF
LOC107985216,AP1S3,PPT2-EGFL8,CEBPB,MEGF6
LOC107985474,ALS2CR12,LRRC37A8P,NEBL,EGFR
LOC107985487,AHSA2,LOC100533814,LOC105369197,EGR2
LOC107985513,CCDC148,STX16-NPEPL1,LOC105369301,MPZL3
LOC107985584,FAM43A,ABCC5,LOC105369401,EIF4EBP1
LOC107985675,H1FOO,ABCC9,LOC105369463,A2M
LOC107985860,OCIAD2,MIR4477A,LOC105369551,VWA3B
LOC107985881,CPEB2,MIR4477B,LOC105369563,EML1
LOC107985911,ARL9,MIR548AH,LOC105369576,EMP2
LOC107985912,CAPSL,MIR4450,LOC105369592,FBXO15
LOC107985927,C6orf141,MIR3064,LINC02407,EN1
LINC01965,ADORA2B,MIR5047,LOC105369928,RTL3
LOC107985969,CPE,MIR4517,LOC105369985,ANO5
LOC107986006,CPN2,TPTE2P5,UBD,RPSAP52
LOC107986058,CPT1A,DNM3OS,LOC105370109,EPHA3
LOC107986121,CPT1B,LOC100631378,LOC105370114,EPHA5
LOC107986131,RALYL,LOC100652758,LOC105370214,LINC00116
LOC107986170,DGKK,LOC100652768,LOC105370275,EPHX2
LOC107986268,MUM1L1,LINC00702,LOC105370346,EPS8
LOC107986321,IMPDH1P4,IL18BP,LOC105370406,EYA4
LOC107986346,FUNDC1,RWDD2B,LOC105370408,ERV3-1
LOC107986360,ISM1,RBM5-AS1,LINC01629,ESD
LOC107986676,ADPRH,ATP9A,LOC105370614,F13A1
LOC107986712,CRYBA4,CDH10,LOC105370672,FAM124A
LOC107986960,CRYBB1,MIR5581,LOC105370687,EFEMP1
LOC107986985,CPNE8,MIR548AR,LOC105370708,HEPACAM
LOC107987003,RPLP1P1,DOCK9-AS2,LOC105370767,FAM181B
LOC107987004,C15orf65,COL4A3BP,LOC105370854,RPS4XP16
LOC107987067,C15orf32,OPA1-AS1,LOC105370924,RNF152
LOC107987169,FBXL16,SNRK-AS1,LOC105370978,FAM13C
LOC107987305,SLC22A31,GPC6-AS1,LOC105370982,RASGEF1A
LOC107987306,ANKRD29,RBMS3-AS3,LOC105371031,AK9
LOC107987307,PPM1N,MED14OS,LOC105371050,RBM24
LOC107987308,TMC4,OXCT1-AS1,LOC105371206,THSD7A
LOC107987309,TPM3P9,DGUOK-AS1,LOC105371216,FGF9
FAM239C,ZNF558,COX10-AS1,LINC02134,CNKSR2
GJB6,FAM78B,UBE2E1-AS1,LOC105371275,SHANK2
CPLX1,CLDN19,ZNF197-AS1,LOC105371348,SAMD4A
PDE10A,BTBD19,DENND5B-AS1,LOC105371409,FOXS1
PPP1R13L,ADRA2A,UBE2CP5,LOC105371450,HECW1
ADAM28,SIK1,ERI3-IT1,LOC105371480,FCHO1
C1QL1,LINC01105,FABP7P2,LOC105371532,KAZN
MALT1,FBXO41,HS1BP3-IT1,LOC105371533,ADGRL3
LYVE1,LINC00342,CDH11,LOC105371586,SATB2
RAPGEF4,LOC151174,MARCKSL1P1,LOC105371638,AFF2
BTN3A1,CTSK,ARPC1B,LINC02086,DOCK9
CHGB,EFHB,ACTR2,LINC01902,PSD3
KAT7,LRRC34,LINC02256,LOC105372233,PPP1R13B
PLA2G16,NEK10,FAM106B,LOC105372253,CRTC1
LDB3,CNTN4,LINC01993,LOC105372310,DAAM2
SOX21,SHISA3,CA3-AS1,LOC105372394,TTC9
ADAMTS6,RASGEF1B,DUX4L26,LOC105372432,TSPAN12
GALNT6,CYBA,LOC100996437,LOC105372449,FPR1
CHN2,MARVELD2,LOC100996442,LOC105372507,ACOT9
MRAP2,NKAIN2,LINC01355,LOC105372529,UBBP4
PXMP4,ABCA13,LOC100996517,LOC105372553,TMEFF2
FAM71E1,AMZ1,LOC100996573,LOC105372801,SELENOWP1
LYST,ERICH1,LINC01505,LOC105372816,KCNE4
RPUSD1,MAMDC4,LOC100996716,LOC105372824,FRRS1L
PLCD3,LINC00475,LOC100996723,LOC105372837,MAFF
CHRM3,FREM1,LOC100996756,LOC105372898,FLRT2
CHRM4,TMEM30B,NPY4R2,LOC105372909,ALK
CHRNA5,MDGA2,LINC00621,LINC01638,SLC17A8
ZNF257,FBXO39,ADAM8,LOC105373041,ALPL
DTX2,ZNF846,NPIPA7,LOC105373063,ASPHD1
SLC2A13,OR7D2,NPIPA8,LOC105373085,TMCO4
ERMAP,KANK4,ARMC4P1,LOC105373132,ZNF718
SLITRK1,DCT,ZNF891,LOC105373134,GABRA5
RNF157,LONRF2,TBC1D3G,LOC105373195,SYT14
GALNT13,C1QL2,TBC1D3K,LOC105373215,ST6GALNAC3
SLC26A7,TXLNB,TBC1D3L,LOC105373234,BCLAF3
ZNF501,ADAMTS16,LINC01563,LOC105373264,GAD2
FAM46B,SYNPO2,NBPF26,LOC105373270,KIAA1549L
ARHGAP33,HMGA1P2,ARPC2,LOC105373292,LMOD1
LRRC3B,DLG1,RAD50,LOC105373386,GALC
RBP7,DLX5,PREB,LOC105373401,METTL7A
GRIN3B,DNASE1L2,CDH13,LOC105373502,LETMD1
TSEN15,DYNC1I1,COX5BP6,LOC105373623,ZNF521
AGAP2,DOCK2,ARL4A,LOC105373944,C2CD2
ADCYAP1R1,DPP6,NPTN-IT1,LOC105373953,NSMF
SCGB3A2,DRP2,PTENP1-AS,LOC105373954,CHD5
TWIST2,DSC2,SNORD124,LOC105374027,PRSS33
TRIM6,EPYC,ARFRP1,LOC105374063,SLITRK5
CLU,DUSP4,AKAP9,LOC105374122,GPSM1
