Pathway	pVal	zScore	Genes	type	comparison
lipopolysaccharide Signaling	7.71219827006977	3.973	APOL6,ARC,BCL3,BIRC3,CD44,CD55,CD58,CD59,CD74,CEBPD,CIITA,CLIC4,COL4A1,CRH,CTH,CXCR4,DDIT4,FASN,GBP3,GFAP,HERPUD1,HGF,HMGA1,HMGCR,ICAM1,IFI16,IFIT1,IFITM1,IFITM2,IL13RA1,ITGA4,LAMB1,LAMP3,LGALS1,mir-10,MMP2,MTSS1,NCOA7,NKX6-2,NRP1,NUPR1,OSMR,PLAAT4,PLAU,PMAIP1,PMEPA1,PPARD,RUNX2,S1PR1,SLC1A5,SOCS3,TNFAIP3,TRIL,TWF2,TXNIP,ULBP1	Upstream	Q73_Vs_Q23_Glia
IL1B Signaling	7.68402965454308	2.037	A2M,APOL6,ARC,ASB7,BCL3,BIRC3,CD44,CD55,CD74,CEBPD,CIITA,CRH,CXCR4,DDIT4,EIF4EBP1,ENPP1,FGFR2,GBP3,HAS2,HGF,HMGA1,HPRT1,ICAM1,IFI16,IFIT1,MMP2,NMI,NRP1,OSMR,PAPPA,PLAU,RRS1,RUNX2,SOCS3,TNFAIP3,TXNIP	Upstream	Q73_Vs_Q23_Glia
indomethacin Signaling	7.42021640338319	-0.169	A2M,ACOT1,BIRC3,CD34,CD44,CD55,CRH,CXCR4,FASN,FXYD5,HAS2,HGF,MMP2,PPARD,PROM1,RFTN1,TES	Upstream	Q73_Vs_Q23_Glia
ITGB1 Signaling	7.12551818230053	-0.983	ADAM19,ADAMTSL1,BCAN,EIF4EBP1,GFAP,ICAM1,ITGA9,LAMB1,MMP2,PAPPA,PLAU,SPON1,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
clopidogrel Signaling	7.01233373507373	2.53	CHAC1,CTH,GARS1,HERPUD1,IFIT1,NUPR1,PMAIP1,PSAT1,SNHG17,STC2	Upstream	Q73_Vs_Q23_Glia
PTGER4 Signaling	7.00392634551472	-0.397	CD44,CXCR4,HAS2,HERPUD1,HGF,ICAM1,IFI16,mir-10,MMP2,RUNX2,S1PR1,SLFN5,ST8SIA4	Upstream	Q73_Vs_Q23_Glia
Interferon alpha Signaling	6.66554624884907	2.902	ADAM19,BCL3,BST2,CIITA,CTH,DDIT4,FASN,GBP3,ICAM1,IFI16,IFIT1,IFITM1,IFITM2,ITGA4,LAMP3,NMI,PLAAT4,PMAIP1,SLC1A5,SLFN5,SOCS3,TRIL	Upstream	Q73_Vs_Q23_Glia
EGF Signaling	6.54363396687096	0.848	ACOT2,ARC,B4GALT1,CD44,CEBPD,CXCR4,FASN,GFAP,HAS2,HGF,HMGCS1,ICAM1,IDI1,mir-10,MMP2,MT3,NCAN,NRP1,PDE3A,PLAU,PPARD,PROM1,RUNX2,SOCS3	Upstream	Q73_Vs_Q23_Glia
tretinoin Signaling	6.48945498979339	2.586	A2M,ADCYAP1R1,BCL3,BIRC3,CASP6,CCPG1,CD34,CD44,CD74,CHL1,COL4A1,CRH,CXCR4,DPYSL3,ECE1,EIF4EBP1,FASN,FZD8,GARS1,GFAP,HAS2,HMGA1,HPRT1,ICAM1,IFI16,IFIT1,IFITM1,ITGA4,ITGA6,LAMB1,LGALS1,mir-10,MTHFD2,NMI,NRP1,OPTN,PAPPA2,PLAAT4,PLAU,PMAIP1,PPARD,PROM1,RBP1,RFC4,RUNX2,SERPING1,SLFN5,THSD4,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
CSF2 Signaling	6.47108329972234	3.434	BCL3,BIRC3,CD74,CIITA,CXCR4,HAS2,HGF,HMGCR,ICAM1,ITGA4,LAMP3,MMD,MMP2,NDST1,NRP1,NUAK2,OSMR,PHGDH,PLAU,QSOX1,SLC1A5,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
STAT1 Signaling	6.39577394691553	2.367	A2M,APOL6,BST2,CASP6,CEBPD,CIITA,GBP3,ICAM1,IFI16,IFIT1,IFITM1,IFITM2,LINC01159,PCDH17,PMAIP1,SERPING1,SLFN5,SOCS3,SORT1	Upstream	Q73_Vs_Q23_Glia
FGF7 Signaling	6.37263414340727	1.998	CD44,CEBPD,FASN,FGFR2,HAS2,HPRT1,MMP2,PLAU,RUNX2	Upstream	Q73_Vs_Q23_Glia
PD98059 Signaling	6.19517932127884	-2.461	CD44,CD55,CD74,CEBPD,COL4A1,CRH,CXCR4,DCBLD2,ECE1,FASN,HAS2,HGF,ICAM1,ITGA4,MMD,MMP2,MT1F,MT3,OSMR,PLAU,PPARD,RUNX2,SOCS3,SQLE,TXNIP	Upstream	Q73_Vs_Q23_Glia
U0126 Signaling	6.18442225167573	-0.962	ARC,BIRC3,CD44,CEBPD,CIITA,COL4A1,EIF4EBP1,FGFR2,GFAP,HERPUD1,HMGCR,ICAM1,IDI1,ITGA6,LAMB1,mir-10,MMP2,OSMR,PLAU,PPARD,RFTN1,RUNX2,SOCS3,STC2	Upstream	Q73_Vs_Q23_Glia
IFNB1 Signaling	6.01010543628123	2.569	APOL6,BST2,GBP3,HMGCR,HMGCS1,IDI1,IFI16,IFIT1,IFITM1,LAMB1,MMP2,NMI,PLAAT4,PMAIP1,SQLE,STARD4	Upstream	Q73_Vs_Q23_Glia
TNFSF10 Signaling	6.00086945871263	1.066	BIRC3,CXCR4,IFI16,IFIT1,IFITM1,IFITM2,MMP2,PLAU,PMAIP1,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
MYC Signaling	5.99139982823808	1.645	BCAT1,C12orf49,CD44,CEBPD,CLIC4,COL4A1,CPD,CTBS,DDIT4,EFEMP1,EIF4EBP1,FASN,GBP3,HAS2,HMGA1,ICAM1,IFI16,IFIT1,ITGA6,LGALS1,MAN2A1,mir-10,NMI,NRP1,PLAU,PMAIP1,PPARD,PROM1,PSAT1,RBP1,RRS1,SHMT2,SLC1A5,TES,TIAM1,TXNIP,ULBP1	Upstream	Q73_Vs_Q23_Glia
dexamethasone Signaling	5.95860731484177	-0.46	ADAM12,AMIGO2,APOL6,BCL3,BIRC3,CASP6,CD44,CD55,CD59,CD74,CEBPD,CEP70,CLIC4,COL4A1,CPD,CRH,CTF1,CXCR4,DDIT4,DNER,DPYSL3,EIF4EBP1,ENPP1,FASN,GBP3,HERPUD1,HGF,HMGA1,ICAM1,IFIT1,IFITM1,ITGA4,LGALS1,MFAP5,MMP2,NECTIN2,PDE3A,PDLIM1,PLAAT4,PLAU,PLOD2,PMAIP1,PODXL,PPARD,QSOX1,RBP7,RGS10,RUNX2,S1PR1,SC5D,SERPING1,SLC6A1,SOCS3,SORT1,TNFAIP3,TWF2,TXNIP	Upstream	Q73_Vs_Q23_Glia
beta-estradiol Signaling	5.95467702121334	-0.179	A2M,AARS1,ARC,BCAS3,BCAT1,BIRC3,CD44,CD55,CD74,CEBPD,CLIC4,CNTFR,CXCR4,DDIT4,EIF4EBP1,EPB41L3,FASN,FGFR2,FXYD5,GARS1,GFAP,HAS2,HERPUD1,HGF,HMGCR,HMGCS1,ICAM1,KCND3,LAMB1,LMCD1,mir-548,MMD,MMP2,MMRN1,MT1F,MYO5B,NRP1,NRP2,NUPR1,PLAU,PMAIP1,PROM1,PSAT1,QSOX1,RFC4,RUNX2,S1PR1,SOCS3,SQLE,STC2,THSD4,TIAM1,TMEM131L,TMEM44,TNFAIP3,TXNIP	Upstream	Q73_Vs_Q23_Glia
PDGF BB Signaling	5.93181413825384	1.838	BCL3,CD44,CEBPD,CTH,DCBLD2,ENPP1,FASN,FXYD5,HMGCR,HMGCS1,MMP2,PDLIM1,PLAU,PPARD,RBP1,SLC7A1,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
HDL-cholesterol Signaling	5.87942606879415	-0.547	CHAC1,DDR2,EIF4EBP1,HMGCS1,IDI1,NUPR1,SQLE	Upstream	Q73_Vs_Q23_Glia
CG Signaling	5.83268266525182	2.35	ADCYAP1R1,BCAT1,CEBPD,CXCR4,EFEMP1,HAS2,HMGA1,HMGCR,ICAM1,ITGA4,mir-10,MMP2,NRP1,PAPPA,PLAU,PMAIP1,PODXL,RUNX2,ST8SIA4	Upstream	Q73_Vs_Q23_Glia
F2R Signaling	5.82102305270683	2.36	CD44,CD55,ECE1,FGFR2,ICAM1,ITGA6,LAMB1,MMP2,PLAU,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
D-glucose Signaling	5.79317412396815	-0.47	AARS1,BCAT1,CCPG1,CD55,CD59,COL4A1,CPD,CXCR4,DDIT4,FASN,GFAP,HERPUD1,HGF,HMGCR,HPRT1,ICAM1,LAMB1,MMP2,NRXN1,PLAU,PLCG1,PODXL,PPARD,SLC16A4,SLC7A1,TXNIP	Upstream	Q73_Vs_Q23_Glia
FOXO3 Signaling	5.73282827159699	-0.638	COL4A1,CXCR4,DDIT4,EIF4EBP1,FASN,FGFR2,GRB14,HMGCR,ICAM1,MTHFD2,NRP2,NUPR1,OPTN,PLAU,PMAIP1,SIX4,SLC7A1,TXNIP	Upstream	Q73_Vs_Q23_Glia
IL2 Signaling	5.71669877129645	0.665	ADAM19,BIRC3,CAPN5,CD44,CD58,CD59,CD74,CPD,CRH,CXCR4,FGFR2,GARS1,GFAP,ICAM1,IDI1,ITGA4,ITGA6,MMD,MMP2,NMI,NRP1,PMAIP1,RFTN1,SOCS3,STC2	Upstream	Q73_Vs_Q23_Glia
EGFR Signaling	5.70996538863748	0.716	C12orf49,CDCP1,CXCR4,FASN,GFAP,HAS2,HERPUD1,HMGA1,ICAM1,ITGA6,MMP2,MT1F,MT3,OSMR,PLAU,PLCG1,PROM1,RUNX2,SOCS3,TXNIP	Upstream	Q73_Vs_Q23_Glia
LY294002 Signaling	5.66554624884907	-1.615	BIRC3,CD44,CD74,FASN,GFAP,HAS2,HERPUD1,HGF,HMGCR,HMGCS1,ICAM1,IDI1,LAMB1,MMP2,PLAU,PMAIP1,PPARD,RFC4,RUNX2,S1PR1,SOCS3,SQLE,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
SCAP Signaling	5.55909091793478	-2.57	FASN,HMGCR,HMGCS1,IDI1,MTHFD2,SC5D,SLC7A1,SQLE,STARD4	Upstream	Q73_Vs_Q23_Glia
NFkB (complex) Signaling	5.55129368009492	3.239	A2M,B4GALT1,BCL3,BIRC3,CD44,CD74,CEBPD,CIITA,CXCR4,ENPP1,GFAP,HAS2,ICAM1,KCND3,MMP2,MT3,MTSS1,NCOA7,NUAK2,PLAU,PMAIP1,RFTN1,SLC7A1,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
AKT1 Signaling	5.4672456210075	1.988	BIRC3,CD44,CD74,CEBPD,COL4A1,CXCR4,FASN,FXYD5,HMGCR,HMGCS1,LAMB1,MMP2,PMAIP1,PROM1,RFC4,SORT1	Upstream	Q73_Vs_Q23_Glia
TP53 Signaling	5.44009337496389	1.84	A2M,ADAM12,AK3,BCAS3,BCAT1,BCL3,BIRC3,CASP6,CD44,CD59,CEBPD,CHMP4C,CLIC4,COL4A1,CTF1,DDIT4,EDIL3,FASN,HAS2,HGF,HMGA1,HMGCR,HMGCS1,ICAM1,IFI16,KCNMA1,LAMP3,MAN2A1,mir-10,mir-548,MMP2,NRP1,NUPR1,PAPPA,PDLIM1,PHGDH,PLAAT4,PLAU,PLOD2,PMAIP1,PMEPA1,PODXL,PPARD,PROM1,PSTPIP2,RFC4,RUNX2,SERPING1,SGTB,SH3BP4,SON,SQLE,STARD4	Upstream	Q73_Vs_Q23_Glia
ziprasidone Signaling	5.43651891460559	-1.131	CRH,HMGCR,HMGCS1,SC5D	Upstream	Q73_Vs_Q23_Glia
PI3K (complex) Signaling	5.40450377817443	1.468	ADAM12,BIRC3,CD44,CD55,CXCR4,DDIT4,FRY,HMGCR,ICAM1,IFIT1,ITGA6,MMP2,MTHFD2,SOCS3,TNFAIP3,TXNIP	Upstream	Q73_Vs_Q23_Glia
CREB1 Signaling	5.3936186348894	-0.922	ARC,CAPN5,CEBPD,CIITA,CPD,CRH,CXCR4,EDIL3,FASN,FGFR2,HAS2,HERPUD1,HMGCR,HMGCS1,HTR2A,IDI1,MTSS1,NKX6-2,NRP1,NRP2,OCIAD2,PDE3A,PGM2L1,SLC6A1	Upstream	Q73_Vs_Q23_Glia
IL5 Signaling	5.32148162095989	3.023	A2M,AK3,BCL3,CD55,CIITA,CXCR4,EIF4EBP1,HMGCR,ICAM1,IDI1,IL13RA1,MMD,PDLIM1,PSAT1,QSOX1,SLC1A5	Upstream	Q73_Vs_Q23_Glia
IL1 Signaling	5.30102999566398	1.429	CD34,CD55,CD59,CEBPD,CRH,GFAP,GRM3,HGF,HMGCR,ICAM1,LAMB1,MMP2,NRP2,RUNX2,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
ethanol Signaling	5.30016227413275	1.021	ADCYAP1R1,CAPN5,CEBPD,CLIC4,CRH,CXCR4,DDR2,ELMOD1,FASN,GFAP,ICAM1,LGALS1,mir-10,MMP2,NCAN,NMI,RBP1,SQLE	Upstream	Q73_Vs_Q23_Glia
TERT Signaling	5.29670862188134	0	DNER,EFEMP1,ICAM1,IFI16,IFIT1,IL13RA1,MMP2,PLOD2,PROM1,SPON1,TOX2	Upstream	Q73_Vs_Q23_Glia
APP Signaling	5.29242982390206	1.68	ACTN2,ADAM19,ARC,CD44,CD59,CD74,CXCR4,GFAP,HERPUD1,HGF,HMGA1,HMGCR,ICAM1,IFI16,ITGA4,ITGA6,KCND3,mir-10,MMP2,NRP1,NRP2,PLAU,PLCG1,PMAIP1,PPARD,RFC4,S1PR1,SLFN5,SOCS3,ST8SIA4,THSD4	Upstream	Q73_Vs_Q23_Glia
Vegf Signaling	5.23284413391782	1.389	A2M,CD44,CNTFR,CRY1,CXCR4,DCBLD2,GRB14,HERPUD1,ICAM1,ITGA6,mir-10,MMP2,NRP1,OSMR,PCDH10,PLAU,PLOD2,PMAIP1,PPARD,SLC7A1,SOCS3,ST8SIA4	Upstream	Q73_Vs_Q23_Glia
prostaglandin E2 Signaling	5.1605219526258	2.345	ARC,BIRC3,CASP6,CD44,CD55,CEBPD,CXCR4,FASN,GFAP,HAS2,ICAM1,MMP2,NRP1,PLAU,RUNX2,SOCS3	Upstream	Q73_Vs_Q23_Glia
IFNA2 Signaling	4.98716277529483	2.346	APOL6,BST2,ENPP1,EPB41L3,HMGCS1,IFI16,IFIT1,IFITM1,IFITM2,LAMP3,MT1F,PLAAT4,PMAIP1,SOCS3	Upstream	Q73_Vs_Q23_Glia
INSR Signaling	4.93930215964639	-1.492	ACOT2,CASP6,CRY1,CXCR4,DDR2,FASN,HMGCR,HMGCS1,IDI1,IFITM2,LGALS1,mir-10,MMP2,SC5D,SEZ6L2,SIX4,SOCS3,SQLE	Upstream	Q73_Vs_Q23_Glia
progesterone Signaling	4.93930215964639	0.902	ADCYAP1R1,AK3,BCAT1,BIRC3,CEBPD,CRH,CXCR4,ENPP1,FGFR2,FUT9,GARS1,GFAP,HGF,HMGCR,ICAM1,LGALS1,MMP2,MTSS1,NRP1,PDLIM1,RBP1,SIX4,SLC1A5,TIAM1	Upstream	Q73_Vs_Q23_Glia
tunicamycin Signaling	4.92081875395237	1.688	ADCYAP1R1,BIRC3,CEBPD,CHAC1,DDIT4,EIF4EBP1,FASN,HERPUD1,ICAM1,PMAIP1,PROM1,RRS1,TXNIP	Upstream	Q73_Vs_Q23_Glia
IGF1 Signaling	4.89619627904404	2.097	A2M,BIRC3,CD44,CEBPD,DDIT4,FASN,GFAP,HGF,HMGA1,HMGCR,ICAM1,MMP2,NUPR1,OSMR,PDE3A,PLAU,RUNX2,SOCS3,SQLE,TXNIP	Upstream	Q73_Vs_Q23_Glia
IFNAR1 Signaling	4.84163750790475	2.607	CIITA,HMGCR,HMGCS1,IDI1,IFI16,IFITM1,LAMP3,SOCS3,SQLE,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
filgrastim Signaling	4.83863199776502	0.066	BIRC3,CD44,CD55,CD59,CD74,CPD,CXCR4,DPYSL3,GBP3,HMGA1,IFIT1,ITGA4,NECTIN2,PDLIM1,PMAIP1,QSOX1,RBP7,S1PR1,SERPING1,SORT1	Upstream	Q73_Vs_Q23_Glia
SREBF1 Signaling	4.83564714421556	-1.647	AARS1,ABCD2,CEBPD,ETHE1,FASN,HMGCR,HMGCS1,IDI1,NUPR1,RBP1,SC5D,SEZ6L2,SQLE,STARD4	Upstream	Q73_Vs_Q23_Glia
LAMTOR1 Signaling	4.77989191195995	0	FASN,MTHFD2,NRP1,SQLE	Upstream	Q73_Vs_Q23_Glia
Ifn Signaling	4.76447155309245	1.556	CD44,CD58,HGF,ICAM1,IFI16,IFIT1,IFITM1,ITGA4,PLAAT4	Upstream	Q73_Vs_Q23_Glia
ALDH2 Signaling	4.75202673363819	-2.219	CTH,MTHFD2,PHGDH,PSAT1,SHMT2	Upstream	Q73_Vs_Q23_Glia
hyaluronic acid Signaling	4.7281583934635	1.163	BCL3,CD44,CXCR4,ICAM1,mir-10,MMP2,PLAU,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
bexarotene Signaling	4.7281583934635	-0.194	CLIC6,CTH,DDIT4,EFNA5,GARS1,GFAP,HERPUD1,ICAM1,MTHFD2,NRP2,PLOD2,SLC7A1	Upstream	Q73_Vs_Q23_Glia
VCAN Signaling	4.67366413907125	0.847	CD34,CD59,HAS2,ICAM1,IFIT1,IFITM1,LAMB1,PLAU,RBP1,SERPING1,SORT1	Upstream	Q73_Vs_Q23_Glia
CEBPA Signaling	4.66958622665081	0.079	A2M,CEBPD,CIITA,CXCR4,DYNLT3,FASN,HAS2,HGF,HMGA1,HMGCR,ICAM1,LGALS1,MMRN1,NRP1,PLOD2,PPARD,RUNX2,SOCS3,TIAM1	Upstream	Q73_Vs_Q23_Glia
DBI Signaling	4.60730304674033	-2	FASN,HMGCR,PPARD,SQLE	Upstream	Q73_Vs_Q23_Glia
LRAT Signaling	4.60730304674033	1	HGF,PPARD,RBP1,RBP7	Upstream	Q73_Vs_Q23_Glia
ESR1 Signaling	4.60380065290426	0.768	BCAS3,BCAT1,BIRC3,CASP6,CCPG1,CD55,CD59,CEBPD,CEP70,CLIC6,DCBLD2,DDIT4,EFEMP1,FASN,FGFR2,GFAP,HMGCR,ICAM1,IFITM1,IFITM2,ITGA6,KCNMA1,LAMB1,LGALS1,MMD,PLAU,PLOD2,PMAIP1,PPARD,PROM1,PSAT1,RNF41,RPL37,RUNX2,SLC7A1,SON,STC2,THBS3,TNFAIP3,TXNIP	Upstream	Q73_Vs_Q23_Glia
cytokine Signaling	4.59345981956604	1.996	ADAM12,BCL3,CRH,GFAP,ICAM1,ITGA6,MMP2,PLAAT4,PLAU,SOCS3	Upstream	Q73_Vs_Q23_Glia
S100A9 Signaling	4.56703070912559	-0.194	A2M,BCL3,DDIT4,GPR37L1,ICAM1,KCNMA1,MMP2,PLAU,SHC3,SOCS3,TXNIP	Upstream	Q73_Vs_Q23_Glia
AGT Signaling	4.5543957967264	1.488	ADAM12,CD44,COL4A1,CTF1,EFEMP1,FASN,HAS2,HGF,HMGCR,HMGCS1,ICAM1,IDI1,KCND3,LAMB1,MMP2,PDE3A,PLAU,SOCS3,TXNIP	Upstream	Q73_Vs_Q23_Glia
SB203580 Signaling	4.5543957967264	-2.712	ACOT2,BST2,CD55,CEBPD,CIITA,EFEMP1,HAS2,ICAM1,IFIT1,ITGA4,MMP2,OPTN,PLAAT4,PLAU,PPARD,RUNX2,SERPING1,SOCS3,STC2	Upstream	Q73_Vs_Q23_Glia
vancomycin Signaling	4.53910215724345	2.804	A2M,BIRC3,CD44,CDCP1,FXYD5,GPX8,RFTN1,TES	Upstream	Q73_Vs_Q23_Glia
thapsigargin Signaling	4.53610701101409	2.782	ARC,BIRC3,CAPN5,CHAC1,DDIT4,EIF4EBP1,HERPUD1,HMGCR,ICAM1,ITGA4,LAMP3,PMAIP1	Upstream	Q73_Vs_Q23_Glia
lomustine Signaling	4.53461714855158	2.646	A2M,BIRC3,CD44,CDCP1,FXYD5,RFTN1,TES	Upstream	Q73_Vs_Q23_Glia
POR Signaling	4.51427857351842	1.584	CD74,CHMP4C,CIITA,ETHE1,HMGCR,HMGCS1,IDI1,LGALS1,SC5D,SQLE,STARD4	Upstream	Q73_Vs_Q23_Glia
vorinostat Signaling	4.51286162452281	-0.809	ABCD2,ARC,BIRC3,CD74,HMGCR,HMGCS1,ICAM1,IDI1,mir-10,mir-548,MMP2,PMAIP1,RUNX2,SOCS3	Upstream	Q73_Vs_Q23_Glia
CD44 Signaling	4.48945498979339	2.285	BIRC3,CD44,FASN,IFITM2,ITGA4,LAMB1,LGALS1,mir-10,MMP2,PLAU,PMEPA1,TIAM1	Upstream	Q73_Vs_Q23_Glia
Jnk Signaling	4.48945498979339	1.045	A2M,BIRC3,CD44,CD55,CXCR4,ICAM1,ITGA4,MMP2,PLAU,PPARD,RBP1,SOCS3	Upstream	Q73_Vs_Q23_Glia
triamterene Signaling	4.48545224733971	2.63	A2M,BIRC3,CD44,CDCP1,FXYD5,RFTN1,TES	Upstream	Q73_Vs_Q23_Glia
IFNL1 Signaling	4.45967052520913	1.82	APOL6,BST2,CHAC1,IFIT1,IFITM1,IFITM2,LAMP3,PLAAT4	Upstream	Q73_Vs_Q23_Glia
UCP1 Signaling	4.43770713554353	3.255	AARS1,ACOT2,CTH,EIF4EBP1,FASN,GARS1,MTHFD2,NUPR1,PHGDH,PSAT1,SHMT2	Upstream	Q73_Vs_Q23_Glia
HGF Signaling	4.40011692792631	1.811	A2M,BIRC3,CD44,CNTFR,COL4A1,CRY1,CXCR4,GRB14,HGF,ICAM1,ITGA6,MMP2,NRP1,OSMR,PLAU,PPARD,RUNX2,SLC7A1,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
IKBKB Signaling	4.39794000867204	2.808	BIRC3,CD44,CEBPD,CXCR4,FASN,GBP3,HGF,ICAM1,IFI16,MMP2,PLAU,RBP1,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
S100A8 Signaling	4.38827669199266	-0.508	A2M,BCL3,DDIT4,GPR37L1,ICAM1,KCNMA1,MMP2,PLAU,SHC3,SOCS3,TXNIP	Upstream	Q73_Vs_Q23_Glia
COL18A1 Signaling	4.3829996588791	-2.813	CD34,DDIT4,GFAP,HGF,ICAM1,MMP2,NRP1,PLAU	Upstream	Q73_Vs_Q23_Glia
POU2AF1 Signaling	4.38195190328791	0	B4GALT1,IFITM1,LGALS1,PAPPA2,PLCG1,RBP1	Upstream	Q73_Vs_Q23_Glia
MYD88 Signaling	4.35457773065091	2.617	AK3,BCL3,CD44,CEBPD,CLIC4,ICAM1,ITGA4,mir-10,MMP2,PLCG1,PSTPIP2,SOCS3,TNFAIP3	Upstream	Q73_Vs_Q23_Glia
allopurinol Signaling	4.34486156518862	1.913	A2M,BIRC3,CD44,CDCP1,FXYD5,RFTN1,TES,TXNIP	Upstream	Q73_Vs_Q23_Glia
fenamic acid Signaling	4.34390179798717	2.621	A2M,BIRC3,CD44,CDCP1,FXYD5,RFTN1,TES	Upstream	Q73_Vs_Q23_Glia
isoquercitrin Signaling	4.31247103878537	-1.982	FASN,HMGCR,SC5D,SQLE	Upstream	Q73_Vs_Q23_Glia
