Pathway	pVal	zScore	Genes	type	comparison
ERN1 Signaling	3.95078197732982	FALSE	FASN,GOT1,MVD,NARS1,PROS1,SDF2L1	Upstream	Short_Fragment_Only
FDFT1 Signaling	3.93181413825384	FALSE	FASN,HMGCR,SQLE	Upstream	Short_Fragment_Only
ADRB Signaling	3.91721462968355	FALSE	HMGCS1,INSIG1,MSMO1,MVD,NQO1,NSDHL	Upstream	Short_Fragment_Only
NFE2L2 Signaling	3.90657831483776	FALSE	DHCR7,DNAJB5,MSMO1,NARS1,NFE2L1,NFE2L2,NQO1,OGT,SLC1A4,SLC38A1	Upstream	Short_Fragment_Only
FOXO4 Signaling	3.80687540164554	FALSE	DHCR24,FASN,HMGCR,HMGCS1,IDI1	Upstream	Short_Fragment_Only
HMGA1 Signaling	3.80134291304558	FALSE	DHCR7,HMGCR,IDI1,INSIG1,MVD,MVK	Upstream	Short_Fragment_Only
CG Signaling	3.78781239559604	FALSE	BCAT1,DHCR7,EFEMP1,GAS1,HMGCR,LDLR,MAF,MVK,NRP1	Upstream	Short_Fragment_Only
PDE8A Signaling	3.76700388960785	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
RNF139 Signaling	3.76700388960785	FALSE	FASN,HMGCR	Upstream	Short_Fragment_Only
nitrendipine Signaling	3.76700388960785	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
olanzapine Signaling	3.74232142513082	FALSE	HMGCR,HMGCS1,LDLR,SC5D,SLC38A1	Upstream	Short_Fragment_Only
CREM Signaling	3.72353819582676	FALSE	HMGCR,HMGCS1,IDI1,LDLR,MSMO1,MVK	Upstream	Short_Fragment_Only
ACSS2 Signaling	3.72353819582676	FALSE	DHCR24,FASN,HMGCR	Upstream	Short_Fragment_Only
FUT8 Signaling	3.72353819582676	FALSE	GAS1,NFE2L2,SQLE	Upstream	Short_Fragment_Only
linalool Signaling	3.72353819582676	FALSE	DHCR7,HMGCR,SQLE	Upstream	Short_Fragment_Only
IFNB1 Signaling	3.71896663275227	FALSE	AGL,GAS1,HMGCR,HMGCS1,IDI1,NMI,SQLE,STARD4	Upstream	Short_Fragment_Only
benzo(a)pyrene Signaling	3.69250396208679	FALSE	ADAM12,FASN,MAF,NMI,NQO1,PPP1R3C,SLC1A4	Upstream	Short_Fragment_Only
RORC Signaling	3.66354026615147	FALSE	ABCD2,DHCR24,HMGCR,NSDHL,PPP1R3C,VLDLR	Upstream	Short_Fragment_Only
CYP7A1 Signaling	3.60380065290426	FALSE	FASN,HMGCR,LDLR	Upstream	Short_Fragment_Only
NR5A2 Signaling	3.60205999132796	FALSE	FASN,GOT1,GPT2,HMGCR,LDLR	Upstream	Short_Fragment_Only
FBXW7 Signaling	3.53760200210104	FALSE	HMGCR,LDLR,NQO1,SQLE	Upstream	Short_Fragment_Only
NFIC Signaling	3.49349496759513	FALSE	ADAM12,HTRA1,RPE65	Upstream	Short_Fragment_Only
TNF Signaling	3.43889861635094	FALSE	ABCD2,FASN,HMGCR,HSPG2,INSIG1,ITGA6,KIF20A,LDHA,LDLR,MVP,NFE2L2,NQO1,NRP1,OSMR,PPP1R3C,RBP1,RGCC,SERPINF1,SGPL1,SLC1A4,SQLE,TNFRSF1A	Upstream	Short_Fragment_Only
CYP3A Signaling	3.37059040089728	FALSE	HMGCS1,SQLE	Upstream	Short_Fragment_Only
Pzp Signaling	3.37059040089728	FALSE	LDLR,VLDLR	Upstream	Short_Fragment_Only
OGA Signaling	3.33348201944512	FALSE	DHCR7,GAS1,GPT2,HMGCR,HMGCS1,MSMO1,NSDHL,PLCG1,STARD4	Upstream	Short_Fragment_Only
HTT Signaling	3.3269790928711	FALSE	ATP8A1,DHCR7,FASN,HMGCR,HMGCS1,KCNIP2,LDHA,LDLR,NFE2L2,SERPINF1,SEZ6,SGTB	Upstream	Short_Fragment_Only
GW3965 Signaling	3.31425826139774	FALSE	FASN,LDLR,MVD,SC5D,VLDLR	Upstream	Short_Fragment_Only
NF1 Signaling	3.29843201494407	FALSE	MAF,MDK,OLIG2	Upstream	Short_Fragment_Only
bromobenzene Signaling	3.25336580106242	FALSE	GOT1,HMGCS1,MSMO1,NQO1	Upstream	Short_Fragment_Only
LY294002 Signaling	3.24412514432751	FALSE	AGL,DHCR24,FASN,HMGCR,HMGCS1,IDI1,MAF,NFE2L2,NQO1,SQLE	Upstream	Short_Fragment_Only
sulindac sulfide Signaling	3.23062267392386	FALSE	INSIG1,LDHA,MSMO1,NQO1	Upstream	Short_Fragment_Only
SERPINA3 Signaling	3.22621355501881	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
aminoglutethimide Signaling	3.22621355501881	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
diquat Signaling	3.22621355501881	FALSE	NFE2L2,NQO1	Upstream	Short_Fragment_Only
fenofibrate Signaling	3.20971483596676	FALSE	ABCD2,COQ3,FASN,GOT1,LDLR,SC5D,VLDLR	Upstream	Short_Fragment_Only
EP300 Signaling	3.20342566678957	FALSE	ADAM12,AP3M2,FASN,FNDC3B,HMGCR,ITGA6,LDHA,MAF,RBP1	Upstream	Short_Fragment_Only
HOXC8 Signaling	3.17134010346468	FALSE	GAS1,NQO1,SERPINF1	Upstream	Short_Fragment_Only
IRS1 Signaling	3.14146280243036	FALSE	FASN,HMGCR,LDLR,NDN,NRP1	Upstream	Short_Fragment_Only
CEBPA Signaling	3.12033079436795	FALSE	DHCR7,FASN,GAS1,HMGCR,NRP1,PPP1R3C,SERPINF1,TNFRSF1A,VLDLR	Upstream	Short_Fragment_Only
ABCC1 Signaling	3.10292299679058	FALSE	NFE2L2,NQO1	Upstream	Short_Fragment_Only
SOAT1 Signaling	3.10292299679058	FALSE	FASN,HMGCR	Upstream	Short_Fragment_Only
triamcinolone acetonide Signaling	3.02090709936167	FALSE	GAS1,INSIG1,LDLR,PSPH,RGCC,VLDLR	Upstream	Short_Fragment_Only
NPC1L1 Signaling	2.99567862621736	FALSE	HMGCR,HMGCS1	Upstream	Short_Fragment_Only
carnosine Signaling	2.99567862621736	FALSE	FASN,HMGCR	Upstream	Short_Fragment_Only
ESR1 Signaling	2.95078197732982	FALSE	BCAT1,DHCR24,DHCR7,EFEMP1,FASN,GPSM2,HMGCR,HTRA1,ITGA6,KIF20A,LDLR,NEDD4,NQO1,PPP1R3C,PROS1,ROBO2,SLC1A4	Upstream	Short_Fragment_Only
mevalonic acid Signaling	2.95078197732982	FALSE	FASN,HMGCR,LDLR	Upstream	Short_Fragment_Only
dihydrotestosterone Signaling	2.93181413825384	FALSE	DHCR24,FASN,HMGCR,LDHA,LDLR,MAF,PROS1,SLC1A4,SQLE,VLDLR	Upstream	Short_Fragment_Only
DICER1 Signaling	2.93181413825384	FALSE	DHCR24,HMGCR,ITGA6,MAF,PROS1,RGCC,SERPINF1	Upstream	Short_Fragment_Only
ethanol Signaling	2.92445303860747	FALSE	FASN,NMI,NQO1,NSDHL,PPP1R3C,RBP1,RGCC,SQLE	Upstream	Short_Fragment_Only
KLB Signaling	2.89962945488244	FALSE	HMGCR,HMGCS1	Upstream	Short_Fragment_Only
PRKRA Signaling	2.89962945488244	FALSE	MAF,PROS1	Upstream	Short_Fragment_Only
mir-185 Signaling	2.89962945488244	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
IFNAR1 Signaling	2.87942606879415	FALSE	HMGCR,HMGCS1,IDI1,RIPOR2,SQLE	Upstream	Short_Fragment_Only
CREBBP Signaling	2.87289520163519	FALSE	ADAM12,AP3M2,FNDC3B,HMGCS1,ITGA6,LDLR,MAF,NFE2L2	Upstream	Short_Fragment_Only
tert-butyl-hydroquinone Signaling	2.86327943284359	FALSE	AGL,MAF,NFE2L2,NQO1	Upstream	Short_Fragment_Only
PCGEM1 Signaling	2.82390874094432	FALSE	DHCR24,FASN,LDHA	Upstream	Short_Fragment_Only
ACE Signaling	2.8153085691824	FALSE	LDHA,MDK	Upstream	Short_Fragment_Only
HIPK1 Signaling	2.8153085691824	FALSE	NFE2L2,NQO1	Upstream	Short_Fragment_Only
KMUP-1 Signaling	2.8153085691824	FALSE	HMGCR,LDLR	Upstream	Short_Fragment_Only
hesperetin Signaling	2.8153085691824	FALSE	DHCR24,LDLR	Upstream	Short_Fragment_Only
HGF Signaling	2.80966830182971	FALSE	CNTFR,GPSM2,INSIG1,ITGA6,LDHA,LDLR,NRP1,OSMR,TNFRSF1A	Upstream	Short_Fragment_Only
mir-122 Signaling	2.79317412396815	FALSE	ADGRB2,INSIG1,LMNB2,MVK	Upstream	Short_Fragment_Only
INS Signaling	2.76700388960785	FALSE	FASN,HMGCR,NFE2L2,OGT,VLDLR	Upstream	Short_Fragment_Only
ADCYAP1 Signaling	2.75202673363819	FALSE	EDIL3,GAS1,NQO1,NSDHL,RGCC,SERPINF1	Upstream	Short_Fragment_Only
TGFB1 Signaling	2.75202673363819	FALSE	ADAM12,FASN,FNDC3B,GAS1,HSPG2,HTRA1,IDI1,ITGA6,LDHA,LDLR,MAF,MSMO1,MVD,NRP1,PPP1R3C,PSPH,RGCC,SERPINF1,SLC13A3,SLC16A9	Upstream	Short_Fragment_Only
BDNF Signaling	2.74714696902011	FALSE	DNAJB5,HMGCR,KCNIP2,MVD,NRXN1,OMG,TPH1	Upstream	Short_Fragment_Only
EGR2 Signaling	2.74232142513082	FALSE	CNTFR,DHCR7,HMGCR,PASK,SQLE	Upstream	Short_Fragment_Only
daidzein Signaling	2.74232142513082	FALSE	HMGCR,LDLR,NFE2L2,NQO1	Upstream	Short_Fragment_Only
4-octyl itaconate Signaling	2.73754891026957	FALSE	NFE2L2,NQO1	Upstream	Short_Fragment_Only
L1CAM Signaling	2.73754891026957	FALSE	IDI1,SQLE	Upstream	Short_Fragment_Only
beta-cyclodextrin Signaling	2.73754891026957	FALSE	FASN,HMGCR	Upstream	Short_Fragment_Only
TXNIP Signaling	2.73754891026957	FALSE	DHCR7,FASN,STARD4	Upstream	Short_Fragment_Only
CDK19 Signaling	2.72353819582676	FALSE	DHCR7,HMGCS1,MVD,MVK	Upstream	Short_Fragment_Only
