Node	Module	Type
Bmp6	1	Gene
Flt3	1	Gene
Wdr4	2	Gene
Tro	1	Gene
Mapkapk3	3	Gene
Pkd2	1	Gene
Prrx1	1	Gene
Adamts1	1	Gene
Tnfaip8l1	1	Gene
Tirap	1	Gene
Sf3b1	1	Gene
F3	3	Gene
Ctnnbip1	2	Gene
Cnpy2	4	Gene
Slc30a5	1	Gene
Smad9	2	Gene
Dcun1d5	1	Gene
Zmiz1	1	Gene
Pappa	1	Gene
Col11a1	1	Gene
Tdgf1	1	Gene
Slc25a25	3	Gene
Scly	2	Gene
Dgat2	1	Gene
Cdkn2d	1	Gene
Msra	3	Gene
Lmo1	1	Gene
Kcnk5	1	Gene
Lrig2	1	Gene
Slc4a4	1	Gene
Plcl1	3	Gene
Nfil3	3	Gene
Crem	2	Gene
Spry4	3	Gene
Cul1	1	Gene
Insm1	2	Gene
Anp32e	1	Gene
Sephs1	3	Gene
Them4	1	Gene
Cdo1	1	Gene
Nova1	2	Gene
Trpm7	3	Gene
Txnip	1	Gene
Usp22	1	Gene
Atr	1	Gene
Frs2	1	Gene
Usp7	1	Gene
Terf2	1	Gene
Gpr107	3	Gene
Dnd1	1	Gene
Lat2	1	Gene
Adora2b	3	Gene
Senp1	1	Gene
Zdhhc16	1	Gene
P3h2	1	Gene
Ccnf	2	Gene
Mmp15	1	Gene
Pofut1	1	Gene
Ano1	1	Gene
Hspe1	1	Gene
Abca5	3	Gene
Thoc1	1	Gene
Ica1	3	Gene
Rfk	1	Gene
Trim33	1	Gene
Timeless	1	Gene
Hspb8	2	Gene
Haus6	1	Gene
Lrpprc	1	Gene
Mtf2	1	Gene
Pcsk2	1	Gene
Vps41	1	Gene
Tbx22	1	Gene
Agl	3	Gene
Tial1	1	Gene
Chtf18	1	Gene
Mylpf	3	Gene
Rev1	3	Gene
Psmg1	1	Gene
Hfe	1	Gene
Uxs1	1	Gene
Pias4	1	Gene
Dclre1b	1	Gene
Kdm4c	1	Gene
Lfng	1	Gene
Bmyc	1	Gene
Adar	1	Gene
Sfrp4	1	Gene
Nfe2l3	1	Gene
Alas2	3	Gene
Taf7	1	Gene
Myt1	1	Gene
Ube2l3	1	Gene
Man2a2	1	Gene
Nek8	1	Gene
Dph3	1	Gene
Spred2	3	Gene
Tpp2	1	Gene
Nr4a3	2	Gene
Dcaf1	1	Gene
Ube2q1	1	Gene
Glce	1	Gene
Ppp1r12a	1	Gene
Slc37a4	3	Gene
Upf2	1	Gene
Terf1	1	Gene
Timp4	1	Gene
Ppp6c	1	Gene
Anp32a	4	Gene
Cdk12	1	Gene
Ppp3r1	2	Gene
Sod3	2	Gene
Pstpip1	1	Gene
Hexim1	1	Gene
Rab11fip4	1	Gene
Cacnb1	1	Gene
Dgkd	1	Gene
Birc2	3	Gene
Smg1	1	Gene
Tnnt2	3	Gene
Dhx36	1	Gene
Ep400	1	Gene
Eif2ak1	1	Gene
Dnase2	1	Gene
Lmo3	1	Gene
Incenp	1	Gene
Cnpy3	3	Gene
Padi4	1	Gene
Epn2	4	Gene
Foxp1	3	Gene
Kif20a	1	Gene
Setd2	1	Gene
Bclaf1	1	Gene
Pcbp2	1	Gene
Hsp90b1	1	Gene
Kmt5c	1	Gene
Zfhx3	1	Gene
Aff1	3	Gene
Gamt	1	Gene
Cflar	3	Gene
Cxcl11	1	Gene
Gskip	1	Gene
Ppp1r8	1	Gene
Satb1	1	Gene
Chrnb4	3	Gene
Vta1	1	Gene
Pno1	1	Gene
Nap1l2	1	Gene
Commd9	1	Gene
Tab2	1	Gene
Ubiad1	1	Gene
Zmym2	1	Gene
Nlrp6	1	Gene
Bmpr2	1	Gene
Nppc	1	Gene
Ubp1	1	Gene
Iqgap2	1	Gene
Jph2	1	Gene
Enpp3	1	Gene
Zfr	1	Gene
Dot1l	1	Gene
Plvap	1	Gene
Brd4	1	Gene
Cbx4	1	Gene
Fbn2	1	Gene
C1galt1c1	1	Gene
Mc2r	1	Gene
Plod1	1	Gene
Tiparp	3	Gene
Ifnar1	1	Gene
Fam20a	1	Gene
Ythdc1	1	Gene
Pygo1	1	Gene
Msr1	1	Gene
Ddx17	1	Gene
Prkdc	2	Gene
Tnks2	1	Gene
Hip1	2	Gene
Dolk	1	Gene
Spry1	1	Gene
Slc31a1	1	Gene
Ciao3	1	Gene
Serpind1	1	Gene
Cftr	3	Gene
Tmem38a	1	Gene
Cabin1	1	Gene
Fbxl12	1	Gene
Ahctf1	1	Gene
Aebp1	3	Gene
Cblb	1	Gene
Rnf31	1	Gene
Fus	2	Gene
Klf3	3	Gene
Slc30a10	3	Gene
Nup98	1	Gene
Akap6	1	Gene
Orai1	1	Gene
Dhrs3	1	Gene
Adgrv1	3	Gene
Rfng	1	Gene
Mtap	1	Gene
Tgs1	1	Gene
Hus1	1	Gene
Lemd3	1	Gene
Agpat2	1	Gene
Speg	1	Gene
Pgp	1	Gene
Pcyt1a	1	Gene
Sin3b	1	Gene
Prpf19	1	Gene
Slc1a6	3	Gene
Arid2	2	Gene
Ca13	3	Gene
Jph4	2	Gene
Tlk2	2	Gene
Zmynd11	2	Gene
Phf6	2	Gene
Homer1	2	Gene
Ctcf	2	Gene
Carf	2	Gene
Aff4	1	Gene
Kcnab2	3	Gene
Rabl6	2	Gene
Elovl4	2	Gene
Aldh18a1	2	Gene
Dcaf6	2	Gene
Gabra4	3	Gene
Trip12	2	Gene
Satb2	1	Gene
Kcnq5	2	Gene
Ca6	2	Gene
Ascc3	2	Gene
Lypd1	2	Gene
Kmt5b	2	Gene
Nalcn	3	Gene
Synj1	2	Gene
Avpr1a	2	Gene
Sigmar1	3	Gene
Slc6a8	2	Gene
Fktn	2	Gene
Huwe1	2	Gene
Zbtb16	3	Gene
Ahsg	2	Gene
Cplx2	2	Gene
Herc2	2	Gene
Wdr26	3	Gene
Phf8	2	Gene
Stag1	2	Gene
Arhgef10l	2	Gene
Slc35a3	2	Gene
Iars	2	Gene
Gabrg3	3	Gene
Unc13c	2	Gene
Cd96	2	Gene
Lman2l	2	Gene
Adcy8	2	Gene
Pigb	2	Gene
Gria3	2	Gene
Nrep	3	Gene
Ca5b	2	Gene
Hrh1	3	Gene
Kdm5a	3	Gene
Rab3gap2	2	Gene
Kcnab1	2	Gene
Pogz	2	Gene
Scn5a	3	Gene
Spred1	2	Gene
Tecr	2	Gene
Tubb3	3	Gene
Pomt2	2	Gene
Med23	2	Gene
Slc7a11	4	Gene
Sub1	3	Gene
Ubr1	2	Gene
Taf2	2	Gene
Bptf	2	Gene
Adk	2	Gene
Pigv	2	Gene
Tspan7	2	Gene
Nexmif	2	Gene
Bcl11a	2	Gene
Grik1	2	Gene
Sox3	2	Gene
Znf711	2	Gene
Upf3b	2	Gene
Gabrb1	3	Gene
Cep63	2	Gene
Hnmt	2	Gene
Slc6a9	2	Gene
Scn3a	3	Gene
Pdcd10	1	Gene
Slc30a2	4	Gene
Usp19	4	Gene
Foxf1	1	Gene
Adam3	4	Gene
Krit1	1	Gene
Cadm3	4	Gene
Sacm1l	1	Gene
Lims2	4	Gene
Kcnh1	2	Gene
Gja4	4	Gene
Spint2	1	Gene
Scarf2	4	Gene
Stat5b	4	Gene
Panx1	1	Gene
Elmo2	4	Gene
Cntn3	4	Gene
Muc4	4	Gene
Tln2	4	Gene
Pkp2	4	Gene
Inpp5d	1	Gene
Pvr	4	Gene
Lgals4	4	Gene
Adam15	1	Gene
Tcf12	1	Gene
Lgals2	4	Gene
Zdhhc2	4	Gene
Rapgef1	4	Gene
Dpagt1	4	Gene
Lama3	4	Gene
Klk6	4	Gene
Poc1b	4	Gene
Eppk1	4	Gene
Tnfaip1	4	Gene
Cript	4	Gene
Arsb	1	Gene
Tmed9	4	Gene
Lhcgr	4	Gene
Mgat5	4	Gene
Tnks	4	Gene
Cbl	4	Gene
Rhoq	4	Gene
Gna12	4	Gene
Zmym3	4	Gene
Hnf4a	4	Gene
Dock2	4	Gene
Ttll8	4	Gene
Tmod2	2	Gene
Use1	1	Gene
Nup160	4	Gene
Zw10	4	Gene
Ints13	4	Gene
Lman1	4	Gene
Cyld	4	Gene
Flnc	4	Gene
Cln8	2	Gene
Mtss1	4	Gene
Phb	2	Gene
Phip	2	Gene
Ssx2ip	3	Gene
Pam	4	Gene
Lyst	4	Gene
Nek1	4	Gene
Snap29	2	Gene
Fnip1	1	Gene
Ptprj	4	Gene
Tor1aip2	4	Gene
Atl2	4	Gene
Sipa1l3	4	Gene
Vav3	4	Gene
Togaram1	4	Gene
Eif4g1	3	Gene
Rflnb	4	Gene
Dnai2	4	Gene
Stmn4	4	Gene
Capn6	4	Gene
Sharpin	1	Gene
Sept7	4	Gene
Lmcd1	3	Gene
Gas2l3	4	Gene
Tmcc1	4	Gene
Kif17	2	Gene
Ift88	4	Gene
Snx33	4	Gene
Vps13d	3	Gene
Emp2	4	Gene
Kifc3	4	Gene
Wdr60	4	Gene
Ocrl	4	Gene
Cfap20	4	Gene
Sh3bp1	4	Gene
Map6d1	4	Gene
Nckap1	4	Gene
Apc2	4	Gene
Tchh	4	Gene
Cby1	4	Gene
Nav3	4	Gene
Fez1	4	Gene
Golgb1	4	Gene
Pex16	4	Gene
C21orf2	4	Gene
B4gat1	3	Gene
Clvs1	4	Gene
Sema3e	3	Gene
Dock5	4	Gene
Rpgr	4	Gene
Slain1	4	Gene
Chchd3	4	Gene
Flcn	4	Gene
Dnajc13	3	Gene
Dync2h1	4	Gene
Cenpj	4	Gene
Ern1	4	Gene
Adra2a	2	Gene
Vps4b	4	Gene
Prpf40a	4	Gene
Rapgef6	4	Gene
Rnf6	4	Gene
Cep126	4	Gene
Hmgcl	1	Gene
Ep300	2	Gene
Mkln1	4	Gene
Bmp2k	4	Gene
Epha3	4	Gene
Yme1l1	1	Gene
Actr2	4	Gene
Tubgcp5	4	Gene
Snx10	4	Gene
Fam92a	4	Gene
Hook1	4	Gene
Cdk5rap3	4	Gene
Sec23ip	4	Gene
Tbc1d30	4	Gene
Arhgap10	4	Gene
Traf6	3	Gene
Knstrn	4	Gene
Tmem231	4	Gene
Cavin3	4	Gene
Camkmt	4	Gene
Slc25a33	1	Gene
Tacc1	4	Gene
Map2k5	3	Gene
Rab2a	4	Gene
Cstad	4	Gene
Tacc3	4	Gene
Mns1	4	Gene
Itpka	2	Gene
Ofd1	4	Gene
Ppp3cb	4	Gene
Vps54	4	Gene
Rfx2	4	Gene
Capn2	4	Gene
Gas2l1	4	Gene
Fitm2	4	Gene
Amhr2	4	Gene
Bicd1	4	Gene
Aqp1	1	Gene
Nuak2	4	Gene
Fam161a	4	Gene
Pex7	2	Gene
Cntrob	4	Gene
Sh3d19	4	Gene
Sema3d	3	Gene
Capn10	4	Gene
Cdh4	4	Gene
Arl2	4	Gene
Rgs6	4	Gene
Pls1	4	Gene
Mtfp1	4	Gene
P2rx1	4	Gene
Surf4	4	Gene
Cep70	4	Gene
Rab32	4	Gene
Bcs1l	4	Gene
Ift74	4	Gene
Cdc42ep4	4	Gene
Spata13	4	Gene
Ap1g1	4	Gene
Fancg	4	Gene
Stil	4	Gene
Dlc1	1	Gene
Lcp1	4	Gene
Dzip1l	4	Gene
Prkag3	4	Gene
Kif3c	4	Gene
Kank1	3	Gene
Srgap1	4	Gene
Coro1c	4	Gene
Specc1l	4	Gene
Cep83	4	Gene
Pclo	1	Gene
Spag16	4	Gene
Ttyh1	4	Gene
Dzip1	4	Gene
Atp2c1	4	Gene
Spire2	4	Gene
Thsd7a	4	Gene
Sbds	1	Gene
Nphs2	1	Gene
Ajuba	4	Gene
Icam1	4	Gene
Cap2	4	Gene
Cep162	4	Gene
Cdk9	4	Gene
Wdr34	4	Gene
Ccdc28b	4	Gene
Trove2	4	Gene
Kif18a	4	Gene
Sgk2	4	Gene
Ate1	4	Gene
Csnk1a1	1	Gene
Sclt1	4	Gene
Katnbl1	4	Gene
Pex1	1	Gene
Vav2	4	Gene
Rhoj	4	Gene
Wdr90	4	Gene
Racgap1	4	Gene
Ccdc8	4	Gene
Arpc1a	4	Gene
Ppp1r1b	2	Gene
Stx17	4	Gene
Wdr35	4	Gene
Rab43	4	Gene
Pdlim3	4	Gene
Mad2l2	4	Gene
Agfg1	4	Gene
