Pathway	pVal	zScore	Genes	type	comparison
T Cell Exhaustion Signaling Pathway	4.63	0.832050294337844	CD274,CD86,FOXO1,HLA-A,HLA-DQA1,HLA-G,IL12B,IL6,IRF9,MAPK1,MGAT5,NFATC2,PPM1L,RAP2B,STAT1,STAT2,TBX21,VEGFA	Canonical	R62_12wk
Graft-versus-Host Disease Signaling	5.02	0	CD86,HLA-A,HLA-DQA1,HLA-G,IL1B,IL1RN,IL6,PRF1,TNF	Canonical	R62_12wk
Systemic Lupus Erythematosus In B Cell Signaling Pathway	5.37	2.50185116648838	CAMK4,CCND3,CD22,CD72,FOXO1,GSK3B,IFIH1,IFIT2,IL12B,IL1B,IL6,IRF7,IRF9,ISG20,MAP3K14,MAPK1,NFATC2,OSM,PRKCA,RAC2,RAP2B,STAT1,STAT2,TLR7,TNF,TNFSF10,Tnfsf9	Canonical	R62_12wk
Crosstalk between Dendritic Cells and Natural Killer Cells	5.42	0	CAMK2A,CAMK2D,CD86,FSCN1,HLA-A,HLA-G,IL12B,IL2RB,IL6,PRF1,TLR7,TNF,TNFSF10	Canonical	R62_12wk
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	5.94	2.11057941204435	CLEC7A,DDX58,EIF2AK2,IFIH1,IL12B,IL1B,IL6,IRF7,MAPK1,Oas1b,Oas1d (includes others),OAS2,OSM,PRKCA,RNASEL,TLR1,TLR7,TNF,TNFSF10,Tnfsf9	Canonical	R62_12wk
Activation of IRF by Cytosolic Pattern Recognition Receptors	6.01	2.3094010767585	ADAR,DDX58,DHX58,IFIH1,IFIT2,IL6,IRF7,IRF9,STAT1,STAT2,TNF,ZBP1	Canonical	R62_12wk
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	6.02	0	CD86,CSF1,HLA-A,HLA-DQA1,IL12B,IL1B,IL1RN,IL23A,IL6,MAP3K14,SLAMF1,SPP1,TLR1,TLR7,TNF	Canonical	R62_12wk
Interferon alpha Signaling	36.197226274708	5.751	ACP2,ADAR,ANXA5,AXL,BCL2L13,Bst2,CCND3,CD86,CEACAM1,Ceacam11 (includes others),CH25H,CXCL10,CXCL2,CXCL3,Cxcl9,DAG1,DDX58,DHX58,EIF2AK2,EPSTI1,F3,GBP6,GIMAP4,Gzmb,HELZ2,HERC6,HLA-A,HLA-G,HSPA1A/HSPA1B,IFI16,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,Iigp1,IL12B,IL1B,IL1RN,IL6,IRF1,IRF7,IRF9,ISG20,Mx1,Oas1b,OAS2,Oasl2,PARP12,PARP14,PARP9,PML,PRF1,PTGS2,RNASEL,RNF213,RSAD2,RTP4,SAMD9L,SIGLEC1,SLFN13,SLFN5,SOCS2,SP110,STAT1,STAT2,TBX21,TENT4A,TLR1,TLR7,TNF,TNFSF10,TRIM5,UBE2L6,USP18,ZBP1,ZC3HAV1	Upstream	R62_12wk
Ifnar Signaling	35.2464169411071	5.428	AXL,Bst2,Ccl2,CD274,CD86,CXCL10,Cxcl9,DDX58,EIF2AK2,HLA-A,HLA-G,IFI16,IFI35,IFIH1,IFIT1B,IFIT2,IFITM3,IL12B,IL1B,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,Mx1,Mx2,NLRC5,OAS2,OASL,RNF213,RSAD2,Sp100,SPP1,STAT1,STAT2,TLR7,TNF,TNFSF10,UBE2L6,USP18,XAF1,ZBP1	Upstream	R62_12wk
IRF3 Signaling	34.4213607900319	5.801	ADAR,BC147527,Bst2,Ccl2,CD274,CD86,CMPK2,CXCL10,Cxcl11,Cxcl9,DDX58,DDX60,DHX58,EIF2AK2,FN1,HELZ2,IFI16,Ifi27l2a/Ifi27l2b,IFI44,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,IL12B,IL1B,IL23A,IL6,IRF1,IRF7,Irgm1,ISG20,Ms4a4b (includes others),Mx1,Mx2,NLRC5,OAS2,OASL,Oasl2,PARP12,PARP14,PML,RSAD2,SAMD9L,STAT1,STAT2,TMPO,TNF,TNFSF10,Trim30a/Trim30d,UBE2L6,USP18,ZBP1,ZC3HAV1	Upstream	R62_12wk
poly rI:rC-RNA Signaling	33.2013493545547	6.095	ADAR,ASB13,AXL,Bst2,C2,Ccl2,CCND3,CD274,CD36,CD86,CEACAM1,Clec2d (includes others),CLEC7A,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,Cxcl9,CXCR4,DDX58,DHX58,DIO2,DNMT3A,EIF2AK2,FN1,Gzmb,HFE,HLA-A,HLA-G,IFI16,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,IGF1,Iigp1,IL12B,IL1B,IL23A,IL6,IRF1,IRF7,IRF9,ISG20,ITGAX,LPL,LYZ,MSR1,Mx1,Mx2,NAMPT,NLRC5,Oas1b,Oas1d (includes others),OAS2,OASL,Oasl2,OLR1,PARP14,PLAU,PLAUR,PSMA3,PTGS2,Retnla,RGS2,RSAD2,SLAMF1,Sp100,ST6GAL1,STAR,STAT1,STAT2,TLR1,TNF,TNFAIP2,TNFSF10,Tnfsf9,TRIM25,Trim30a/Trim30d,VEGFA,ZBP1,ZC3HAV1	Upstream	R62_12wk
STAT1 Signaling	32.2365720064371	5.367	APOE,AXL,Ccl2,CCND3,CD274,CD86,CEACAM1,CH25H,CMPK2,CXCL10,Cxcl11,CXCL2,CXCL3,Cxcl9,DDX60,EGLN3,EIF2AK2,EPSTI1,FGL2,FOXO1,GBP6,Gzmb,HERC6,HLA-DQA1,IFI16,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,IGF1,Iigp1,IL12B,IL1B,IL6,IRF1,IRF7,IRF9,Irgm1,ITGAX,Ly6a (includes others),Mx1,Mx2,NLRC5,OAS2,OASL,Oasl2,PARP9,PRF1,PTGS2,PTN,Retnla,RNF213,RSAD2,RTP4,SAMD9L,SLFN13,SLFN5,SORT1,SP110,STAT1,STAT2,TBX21,TNF,TNFSF10,USP18,XAF1,ZBP1	Upstream	R62_12wk
IRF7 Signaling	32.2321023839819	6.294	ADAR,BC147527,BCL2L13,Ccl2,CMPK2,CXCL10,DDX58,DHX58,HELZ2,IFI16,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,IRF1,IRF7,IRF9,Irgm1,ISG20,ITGAX,Ly6a (includes others),Ms4a4b (includes others),Mx1,Mx2,NAMPT,OAS2,OASL,Oasl2,PARP12,PARP14,RSAD2,RTP4,SAMD9L,STAT1,STAT2,TMPO,TNFSF10,Trim30a/Trim30d,TRIM5,UBE2L6,USP18,XAF1,ZBP1,ZC3HAV1	Upstream	R62_12wk
PTGER4 Signaling	30.2839966563652	-4.283	Ccl2,CH25H,CMPK2,CXCL10,Cxcl9,CXCR4,CYBB,DDX58,GBP6,HERC6,HGF,IFI16,IFI35,IFIH1,IFIT1B,IFIT2,IGF2BP2,IL12B,IL1B,IL23A,IL6,IRF1,IRF7,Irgm1,ISG20,Mx1,Mx2,NCF1,Oas1b,OLR1,OSM,PARP14,PTGER3,PTGS2,RNASEL,RNF213,RSAD2,RTP4,SLAMF1,SLFN13,SLFN5,SPP1,ST6GAL1,TNF,TNFSF10,TOR3A,USP18,XAF1	Upstream	R62_12wk
PNPT1 Signaling	29.5497508916806	-4.912	Bst2,CMPK2,CXCL10,DDX58,EIF2AK2,GBP6,IFI16,IFI44,IFIH1,IFIT1B,IL6,IRF7,Irgm1,LGALS3BP,Oas1b,Oasl2,PARP12,PARP14,PARP9,RNF213,RTP4,SAMD9L,Sp100,STAT1,STAT2,TOR3A,Trim30a/Trim30d,UBE2L6,USP18,XAF1	Upstream	R62_12wk
IFNG Signaling	29.3467874862247	6.248	ABCD3,ADRA2A,AREG,ATP2A2,Bst2,C2,CALB1,CAMK4,Ccl2,Ccl6,CCND3,CD274,CD36,CD72,CD86,CEACAM1,CH25H,CLEC7A,CMPK2,CSF1,CXCL10,Cxcl11,CXCL16,CXCL2,CXCL3,Cxcl9,CXCR4,CYBB,DDX58,DDX60,DECR1,DTX3L,EGLN3,EGR3,EIF2AK2,F2R,F3,FGL2,FKBP5,FLT1,FN1,FOXO1,GAS5,GAS6,GBP6,GLA,HERC6,HLA-A,HLA-DQA1,HLA-G,HSP90AB1,HSPA1A/HSPA1B,HSPB1,IFI16,Ifi202b,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,IGF1,Iigp1,IL12B,IL1B,IL1RN,IL23A,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,ITGAX,LGALS3,LGALS3BP,LOX,LPL,Ly6a (includes others),Ms4a4b (includes others),MSR1,Mx1,Mx2,NAMPT,NCAM1,NLRC5,Oas1b,OAS2,OASL,OSM,PARP14,PARP9,PENK,PLAU,PLAUR,PML,PPP1R1B,PRKCA,PTGS2,PTN,RAC2,RAP2B,Retnla,RSAD2,RTP4,SBNO2,SCUBE1,SERPINE1,SLAMF1,SLC12A2,SLC16A9,SLC7A5,SLFN5,SNAP25,SOCS2,SORT1,SP110,SPON1,SPP1,STAR,STAT1,STAT2,TBX21,TBXAS1,TFRC,TLR1,TLR7,TNF,TNFAIP2,TNFSF10,TSC22D3,UBE2L6,USP18,VEGFA,XAF1,ZBTB16,ZKSCAN1,ZNF638	Upstream	R62_12wk
lipopolysaccharide Signaling	28.5767541260632	6.047	ABCG1,ADAR,ADRA2A,AEBP2,ALCAM,ANXA5,APOE,AREG,ARL4C,ATP2A2,AURKB,AXL,BAG3,BLZF1,CAPN2,Ccl2,CCND3,CD22,CD274,CD36,CD86,CDC42EP4,CEACAM1,CH25H,CLEC7A,CMPK2,COL9A3,CRLF2,CRTAM,CSF1,CUX2,CXCL10,Cxcl11,CXCL14,CXCL16,CXCL2,CXCL3,Cxcl9,CXCR4,CYBB,DAG1,DDN,DDX58,DDX60,DHX58,DIO2,DNAJB1,EGLN3,EGR3,EIF2AK2,F2R,F3,FGL2,FLT1,FN1,FOXO1,FSCN1,GAS5,GBP6,H3F3A/H3F3B,HGF,HIVEP2,HLA-A,HLA-DQA1,HPGD,HSP90B1,HSPA1A/HSPA1B,HSPB1,IFI16,Ifi202b,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT1B,IFIT2,IGF1,IGSF6,Iigp1,IL12B,IL16,IL1B,IL1RN,IL23A,IL2RB,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,ITGAX,LASP1,LGALS3,LGALS3BP,LPIN1,LPL,LRBA,Ly6a (includes others),LYNX1,LYZ,MANF,MSR1,MTTP,Mx1,Mx2,NAMPT,NCF1,NFE2L2,NLRC5,NRARP,Oas1b,OAS2,OASL,OLR1,OSM,P4HA1,PARP12,PARP14,PARP9,PENK,PLAU,PLAUR,PLEKHA1,PLIN2,PML,PRKCA,PTGER4,PTGS2,RGS2,RNF19A,RORA,RSAD2,SCUBE1,SERPINE1,SERPINF1,SFXN1,SIGLEC1,SLAMF1,SLFN13,SOCS2,SPP1,SSR1,ST6GAL1,STAR,STAT1,STAT2,TBX21,TCIM,TFAM,TFRC,THBS2,TLR1,TLR7,TNF,TNFAIP2,TNFSF10,Tnfsf9,TOR3A,TRIM25,Trim30a/Trim30d,TSC22D3,USP18,VEGFA,XAF1,YY1,ZC3H12C,ZC3HAV1	Upstream	R62_12wk
IFNL1 Signaling	27.0204516252959	5.401	CMPK2,CXCL10,DDX58,DDX60,EIF2AK2,F2R,HERC6,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFITM3,IL12B,IL6,IRF9,ISG20,LGALS3BP,OAS2,OASL,PML,RSAD2,RTP4,SP110,STAT1,STAT2,UBE2L6,USP18,XAF1,ZC3HAV1	Upstream	R62_12wk
IFNB1 Signaling	26.2269453066357	4.178	ANXA5,AXL,Bst2,CAPN2,Ccl2,CD274,CD86,CH25H,CLSTN1,CMPK2,CXCL10,CXCL2,CXCL3,DDX58,DHX58,EIF2AK2,F2R,GBP6,HLA-A,IFI16,Ifi27l2a/Ifi27l2b,IFIH1,IFIT1,IFIT1B,IFIT2,IL12B,IL1B,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,ITGAX,Mx1,Oas1b,Oas1d (includes others),OAS2,Oasl2,PARP12,PARP14,PML,PTGS2,RNASEL,RSAD2,SLFN13,SPP1,STAT1,STAT2,THBS2,TLR7,TNF,TNFSF10,Trim30a/Trim30d,USP18,XAF1,ZBP1	Upstream	R62_12wk
IRF5 Signaling	25.0132282657338	4.721	CMPK2,CXCL10,CXCL2,CXCR4,DDX58,DHX58,FOXO1,IFI44,IFIH1,IFIT1,IFIT2,IFITM3,IL12B,IL23A,IL6,IRF7,ISG20,NAMPT,OAS2,OASL,Oasl2,PARP12,PTGS2,RSAD2,SP110,STAT1,STAT2,TMPO,TNF,TNFSF10,UBE2L6,VEGFA	Upstream	R62_12wk
TRIM24 Signaling	24.9136401693253	-5.219	Bst2,CALB1,CMPK2,CXCL10,DDX58,DDX60,DHX58,EPSTI1,HERC6,Ifi27l2a/Ifi27l2b,IFI35,IFI44,IFIH1,IFIT1B,IFIT2,Iigp1,IRF1,IRF7,IRF9,Irgm1,LGALS3,LGALS3BP,Ly6a (includes others),Ms4a4b (includes others),OASL,PARP12,PRPS2,RTP4,SAMD9L,SERPINE1,SHISA5,SOCS2,SPP1,STAT1,STAT2,USP18,VEGFA	Upstream	R62_12wk
MAVS Signaling	24.6090648928966	4.208	ADAR,CMPK2,CXCL10,CXCL2,DDX58,DHX58,IFIT1,IFIT1B,IFIT2,IFITM3,IL12B,IL1B,IL6,IRF7,ISG20,Klra7 (includes others),OAS2,OASL,Oasl2,PARP12,RSAD2,SPP1,STAT1,STAT2,TLR7,TNF,UBE2L6,ZC3HAV1	Upstream	R62_12wk
IFNAR1 Signaling	24.0231916626619	3.99	AXL,CD274,CH25H,CMPK2,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,Cxcl9,EIF2AK2,HLA-A,IFI16,IFI44,IFIH1,IFIT1B,IFIT2,IL12B,IL1B,IL6,IRF7,Ly6a (includes others),Ms4a4b (includes others),Mx1,OAS2,OASL,Oasl2,PARP12,PTGS2,RSAD2,RTP4,SERPINE1,Sp100,STAT1,TLR7,TNF,TNFAIP2,TNFSF10,USP18,XAF1	Upstream	R62_12wk
STAT3 Signaling	23.9706162223148	0.125	AREG,Ccl2,CD274,CD86,CDK1,CEACAM1,CMPK2,CXCL10,CXCL2,CXCL3,Cxcl9,CXCR4,EGR3,EIF2AK2,F3,FGL2,FLT1,FN1,FSCN1,GBP6,GPR65,Gzmb,HERC6,HGF,HLA-A,HLA-DQA1,IFI16,Ifi202b,IFI35,IFI44,IFIH1,IFIT1,IFIT1B,IFIT2,IFITM3,IL12B,IL1B,IL1RN,IL23A,IL2RB,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,LOX,LYZ,MGAT5,Mx1,Mx2,NAMPT,NFATC2,OAS2,OASL,PLAU,PLAUR,PML,PRF1,PTGS2,PTN,RORA,RSAD2,SERPINE1,SLAMF1,SLFN13,SLFN5,SP110,STAT1,STAT2,TBX21,TNF,TNFSF10,Tnfsf9,TNS1,TRIM5,USP18,VEGFA,XAF1	Upstream	R62_12wk
Ifn Signaling	23.3251388592622	5.241	CD86,CH25H,CXCL10,DDX58,DHX58,EIF2AK2,HGF,HLA-A,IFI16,Ifi202b,IFIH1,IFIT1,IFITM3,IGF1,IL12B,IL23A,IRF1,IRF7,ISG20,Mx1,Mx2,OAS2,OASL,PML,RNASEL,RSAD2,SERPINE1,SPP1,STAR,STAT1,TFRC,TLR1,TLR7,ZBP1	Upstream	R62_12wk
IFNA2 Signaling	22.6179829574251	5.35	BAG3,CD86,CEACAM1,CMPK2,CORO2A,CXCL10,DDX58,DDX60,EGLN3,EIF2AK2,Gzmb,HERC6,HLA-A,IFI16,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IFITM3,IL1B,IL2RB,IL6,IRF1,IRF7,IRF9,ISG20,LGALS3BP,Mx2,OAS2,PARP12,PARP9,PML,RSAD2,SOCS2,SP110,STAT1,TBX21,TNF,TNFSF10,UBE2L6,USP18,VEGFA,XAF1,ZBP1,ZC3HAV1	Upstream	R62_12wk
IL4 Signaling	22.3233063903751	-2.014	ACP2,APOE,ATP1A3,AUH,Bst2,CAND1,CAPG,Ccl2,Ccl6,CCND3,CD274,CD36,CD72,CD86,CDK1,CLCN3,CLEC7A,CMPK2,COL6A3,CRLF2,CSF1,CST7,CXCL10,CXCL16,CXCL2,CXCL3,Cxcl9,CXCR4,CYBB,DECR1,DHX58,EIF2AK2,EVI5,EXT1,F2R,F3,FADS1,FKBP5,FLT1,FN1,FSCN1,GBP6,Gzmb,H1F0,HGF,HIPK2,Hist1h1e,HPGD,HSPA1A/HSPA1B,IFI16,IFI44,IFI44L,IFIH1,IFIT1B,IFITM3,IGF1,Iigp1,IL12B,IL16,IL1B,IL1RN,IL2RB,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,ITGAX,KLRB1,LAMP2,LGALS3,LGALS3BP,LGALSL,LPL,Ly6a (includes others),MAPK1,Ms4a4b (includes others),MSR1,Mx1,NFATC2,OASL,OSM,PKIB,PLAU,PLIN2,PRF1,PRKCA,PTGS2,Retnla,RIPK3,RNF213,SEMA4D,SERPINE1,SOCS2,SPP1,ST14,ST6GAL1,STAT1,STAT2,STAT5B,TBX21,TFRC,TNF,Trim30a/Trim30d,VEGFA,ZBP1	Upstream	R62_12wk
IFN Beta Signaling	22.3018994543766	4.93	CD274,CD86,CXCL10,DDX58,EIF2AK2,FN1,HLA-A,HLA-G,IFI16,IFI35,IFI44,IFIH1,IFIT1,IFIT1B,IFIT2,IL1B,IL1RN,IL6,IRF1,IRF7,IRF9,Mx1,Mx2,Oas1b,OAS2,OASL,PRKCA,RSAD2,STAT1,STAT2,TNF,TNFSF10,USP18,XAF1,ZBP1	Upstream	R62_12wk
ACKR2 Signaling	22.0872466963287	-4.899	ADAR,CXCL10,Cxcl9,DDX58,DDX60,DHX58,EIF2AK2,IFI16,Ifi27l2a/Ifi27l2b,IFI44,IFIT1B,IFIT2,Iigp1,IL1B,IRF7,ISG20,OAS2,OASL,Oasl2,RSAD2,STAT1,STAT2,TNF,USP18	Upstream	R62_12wk
SOCS1 Signaling	20.2907300390242	-3.952	Ccl2,CCND3,CD86,CXCL10,CXCL2,Cxcl9,DDX58,FKBP5,GBP6,Gzmb,IFI16,Ifi202b,IFI44,IFIH1,IFIT1,IFIT1B,IFIT2,Iigp1,IL1B,IL2RB,IL6,IRF1,IRF7,ISG20,Mx1,Mx2,Oas1b,OAS2,Oasl2,PTGS2,Retnla,RSAD2,STAT1,TNF,USP18	Upstream	R62_12wk
TBK1 Signaling	20.1999706407559	1.597	CD86,CMPK2,CXCL10,Cxcl11,CXCL2,CXCL3,Cxcl9,FGL2,Ifi202b,IFI44,IFIT1,IFIT1B,IFIT2,Iigp1,IL12B,IL1B,IL6,IRF7,ISG20,Mx1,Mx2,Oas1b,OAS2,OASL,Oasl2,PTGS2,RSAD2,SLFN13,TNF,VEGFA	Upstream	R62_12wk
IFN type 1 Signaling	19.7986028756795	3.822	Bst2,Ccl2,CXCL10,Cxcl11,Cxcl9,DDX58,DHX58,EIF2AK2,IFI16,IFIH1,IFIT1,IFIT1B,IFIT2,IL12B,IL6,IRF1,Mx1,OASL,PML,STAT1,STAT2,TNFSF10	Upstream	R62_12wk
DDX58 Signaling	19.3893398369101	4.078	Ccl2,CXCL10,DDX58,EIF2AK2,IFI35,IFI44,IFIH1,IFIT1,IFIT1B,IFIT2,IL1B,IL6,IRF1,IRF7,ISG20,Mx1,Oas1d (includes others),PTGS2,RSAD2,SPP1,STAT1,STAT2,TNF,TNFSF10,ZC3HAV1	Upstream	R62_12wk
STAT2 Signaling	18.8041003475908	2.017	Ccl2,CD86,CXCL10,GBP6,IFI35,IFIT1,IFIT1B,IFIT2,Iigp1,IL6,IRF1,IRF7,IRF9,Mx1,OAS2,Oasl2,RSAD2,RTP4,STAT1,TNF,TNFSF10,USP18,ZBP1	Upstream	R62_12wk
STAT6 Signaling	18.1530446749802	-3.535	APOE,AREG,AUH,Bst2,Ccl2,Ccl6,CD72,CMPK2,CST7,CTSW,CXCL10,CXCL2,CXCL3,CYBB,DHX58,EIF2AK2,EXT1,FADS1,FKBP5,FSCN1,GBP6,Gzmb,HIPK2,IFI16,IFI44,IFI44L,IFIH1,IFIT1B,IFITM3,IGF1,Iigp1,IL12B,IL1RN,IL6,IRF1,IRF7,IRF9,Irgm1,ISG20,LGALS3BP,Ly6a (includes others),Ms4a4b (includes others),Mx1,NFATC2,OASL,PKIB,PRKCA,PTGS2,Retnla,RIPK3,RNF213,SERPINE1,SERPINF1,SOCS2,ST6GAL1,STAT2,STAT5B,TBX21,TNF,Trim30a/Trim30d,ZBP1	Upstream	R62_12wk
RNASEH2A Signaling	18.0447934624581	0	ADAR,CXCL10,DDX58,IFI16,Ifi27l2a/Ifi27l2b,IFI35,IFI44,IFIH1,IFIT1B,IFIT2,IFITM3,IL6,IRF1,IRF7,IRF9,ISG20,OASL,PARP9,PTGS2,RSAD2,USP18	Upstream	R62_12wk
IRF1 Signaling	17.6946486305534	4.459	CD274,CEACAM1,CMPK2,CXCL10,CXCL16,CXCL2,CXCL3,Cxcl9,CYBB,DDX58,EIF2AK2,FGL2,HELZ2,HLA-G,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFITM3,IL12B,IL1B,IL6,IRF1,IRF7,IRF9,OAS2,OASL,PML,PTGS2,RSAD2,SP110,STAT1,STAT2,TNF,TNFSF10,XAF1	Upstream	R62_12wk
TLR3 Signaling	17.6497519816658	4.156	BCAR3,Ccl2,CD274,CD86,CMPK2,CXCL10,Cxcl11,CXCL2,CXCL3,Cxcl9,DDX58,DHX58,EIF2AK2,Gzmb,IFI16,Ifi202b,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,Iigp1,IL12B,IL1B,IL1RN,IL23A,IL6,IRF1,IRF7,ISG20,Mx1,OASL,Oasl2,PTGS2,RSAD2,SERPINE1,STAT1,TLR7,TNF,TNFSF10,USP18,ZC3HAV1	Upstream	R62_12wk
TICAM1 Signaling	17.3946949538589	4.318	Ccl2,CD86,CH25H,CMPK2,CXCL10,Cxcl11,CXCL2,CXCL3,DDX58,IFI16,IFIT1,IFIT1B,IFIT2,IL12B,IL1B,IL23A,IL6,IRF1,IRF7,Irgm1,ISG20,ITPR2,Ms4a4b (includes others),Mx1,Mx2,OASL,PTGS2,RSAD2,SERPINE1,TNF,TNFSF10,Tnfsf9,ZC3HAV1	Upstream	R62_12wk
APP Signaling	16.7011469235903	5.184	ABCD3,ABCG1,ANXA5,APOE,APPBP2,ARNTL,ATP1A3,AXL,CALB1,CAMK2D,Ccl2,CD86,CDK1,CH25H,CMPK2,CSF1,CXCL10,CXCL2,CXCL3,Cxcl9,CXCR4,CYBB,DBI,DDX58,DPY19L3,EXT1,FN1,GBP6,GSK3B,HAP1,HERC6,HGF,HIPK2,HPCA,HSP90AB1,HSPA1A/HSPA1B,HSPB1,IFI16,IFI35,IFIH1,IFIT1B,IFIT2,IGF1,IGF2BP2,IL12B,IL1B,IL6,IRF1,IRF7,Irgm1,ISG20,KPNB1,LGALS3,Ly6a (includes others),MAPK1,MSR1,Mx1,Mx2,NAMPT,NCF1,Nrgn,Oas1b,OLR1,OSM,PARP14,PENK,PLAU,PRKCA,PTGS2,RNASEL,RNF213,RSAD2,RTP4,SERPINE1,SERPINF1,SLAMF1,SLFN13,SLFN5,SNAP25,SNX14,ST6GAL1,ST8SIA1,TLR7,TNF,TNFAIP2,TNFSF10,TOR3A,Ttf1,USP18,VEGFA,XAF1	Upstream	R62_12wk
DNASE2 Signaling	16.6073030467403	-3.104	CH25H,CXCL10,CXCL2,DHX58,GPNMB,IFIT1B,IRF7,Ly6a (includes others),Ms4a4b (includes others),Mx1,Oasl2,RSAD2,RTP4,Sp100,TNF,TNFSF10,USP18,ZBP1	Upstream	R62_12wk
IFN alpha/beta Signaling	15.8326826652518	3.548	AXL,CD86,CXCL10,CXCL14,CXCL16,Cxcl9,FGL2,HLA-A,IFI16,Ifi27l2a/Ifi27l2b,IFIT2,IL6,IRF1,IRF7,Irgm1,Ly6a (includes others),Mx1,Mx2,RSAD2,Sp100,STAT1,STAT2,TLR1,TLR7,TNFSF10	Upstream	R62_12wk
IFNA1/IFNA13 Signaling	15.3223930472795	3.113	CD86,CXCL10,DHX58,EIF2AK2,IFIH1,IFIT1,IFIT2,IL1B,IRF1,IRF7,Mx1,OAS2,PTGS2,RSAD2,SIGLEC1,STAT1,STAT2,UBE2L6,ZBP1	Upstream	R62_12wk
CpG ODN 2006 Signaling	15.2823294969977	3.495	CD86,CXCL10,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFIT2,IL12B,IL1B,IL23A,IL6,IRF7,IRF9,ISG20,OASL,RSAD2,STAT1,TLR7,TNF,TNFSF10,TRIM5	Upstream	R62_12wk
