Pathway	pVal	zScore	Genes	type	comparison
ERBB2 Signaling	3.99567862621736	0.366	ABHD5,ABRACL,ACSL4,ACSS2,ADAM8,ADAMTS5,Aldh1a7,APLP2,AR,ATP1B3,BACE1,BCAT2,BHLHE40,BIRC3,BMP7,CADM1,CCND1,CCND3,CD36,CDC14B,CDC20,CDC23,CDC25B,CDC25C,CDC27,CDC40,CDC42EP2,CDC42SE1,CDC45,CDC7,CDCA2,CDCA3,CDCA5,CDKN1A,CENPA,CENPE,CHD1L,CHD7,CHST10,CKS1B,CNTD1,COL1A1,COL5A1,COL7A1,COMMD3-BMI1,CXCL10,CYP51A1,DAP,DECR1,DERL1,DTX1,DUSP18,DUSP6,DZIP3,E2F1,EDN1,EGFR,Elf5,EPHX2,ERBB3,ETV4,ETV6,FASN,FRRS1,GALNT3,GHR,GINS4,GJA1,GPAM,GSTZ1,HBEGF,HEY1,HEYL,HIF1A,HMGCR,HOMER2,HTRA1,ID1,ID2,IDI1,IGFBP5,IL17B,IL25,IL6ST,ITGA5,ITGA6,ITGB3,ITPR2,JAK1,JAM2,JUN,KIT,LAMP2,LMO4,LSS,LTBP3,LXN,MAF,MAOA,Marcks,MCCC1,MCM5,MCM6,MFAP2,MLXIP,MMP11,MMP14,MMP7,MYBL1,MYBL2,MYO10,NDRG4,NDUFAB1,NOTCH4,NPC2,NPNT,NRP1,ORC1,ORC2,PAICS,PDE8A,PDK1,PIK3CD,PINK1,PMEPA1,PMVK,POLD3,POLI,POLR2A,POLR2E,POLR3A,POLR3D,POLR3E,POLR3H,PORCN,PPP2R2B,PTGES,RAD51AP1,RHOD,SCG5,SERPINI1,SMAD7,SMC2,SOWAHC,SPOCK1,SQLE,ST3GAL6,STK17B,TGIF1,THY1,TNS4,TOP1,UQCR10,VEGFA,WNT5A,WNT5B,WSB2,ZNF703,ZWINT	Upstream	R62_12wk
NRAS Signaling	3.96257350205938	0	ADCY2,AK1,ANXA4,Arxes1/Arxes2,B2M,CDKN1A,CXXC5,CYHR1,ERCC5,EXOC4,FBLN2,FHL1,FNDC3A,GBP2,GJA1,HLA-A,HTRA1,Ifi27,IFI35,IFIH1,IFIT1B,Iigp1,IL13RA1,Irgm1,IRX3,LBP,MEST,NCAM1,NOL3,NQO1,NSG1,P3H4,PHLDA3,PQLC3,PSMB8,SARDH,SESN1,STAT1,TAP1,TRIM11,TUBB2A,USP18,VNN1,VPS25,YIF1A,ZNF703	Upstream	R62_12wk
CYP51A1 Signaling	3.85078088734462	3.162	DHCR24,EBP,HMGCR,LSS,MSMO1,NSDHL,SC5D,SQLE,SREBF2,TM7SF2	Upstream	R62_12wk
SIRT2 Signaling	3.85078088734462	-3.162	AACS,DHCR7,HMGCR,IDI1,LSS,MVD,MVK,PMVK,SC5D,SQLE	Upstream	R62_12wk
IRF7 Signaling	3.79317412396815	4.587	CMPK2,CXCL10,DDX58,DHX58,HELZ2,IFIH1,IFIT1B,IFIT2,Igtp,IL33,IRF7,IRF8,IRGM,Irgm1,Mx1,Mx2,NT5C3A,OASL,Oasl2,PARP12,PARP14,RSAD2,SAMD9L,STAT1,STAT2,TAP1,TDRD7,TPST1,UBE2L6,USP18,USP25	Upstream	R62_12wk
INSIG1 Signaling	3.59859945921846	3.53	AACS,ABCA1,ACSL4,ACSS2,CCL22,CXCL10,CYP51A1,DHCR24,DHCR7,ELOVL1,ELOVL6,FADS1,FADS2,FASN,GPAM,HLA-DQA1,HMGCR,HMGCS1,HMGCS2,IDI1,IRF8,LDLR,LIPA,LIPG,LPCAT3,LSS,MVK,PCYT2,PMVK,PTGES,PTGS1,SCD,SQLE,SREBF2,STARD4,STAT5A,STEAP2,TM7SF2,VNN1	Upstream	R62_12wk
TP53 Signaling	3.50307035192679	-0.969	ABAT,ABCB4,ACO1,ACOT11,ACP2,ACSL3,ACSL6,ACSS1,ACSS2,ADA,ADAM12,ADAM8,ADAMTSL4,ADD3,ADRA1A,AIFM2,AK1,AK3,AK4,ANK1,ANXA4,APBB2,APEX1,AR,ARHGAP5,ARHGEF2,ASL,ASTN2,ASXL1,ATG7,ATP5MC1,ATP5S,AXIN2,BAD,BDNF,BHLHE40,BICD2,BID,BIRC3,BMF,BRCA1,C9orf116,CAND1,CASP1,CASP3,CAT,CAV2,CCND1,CCND2,CCND3,CCNL1,CD36,CD44,CD47,CDC20,CDC25B,CDC25C,Cdc42,CDC42BPA,CDC7,CDH10,CDK7,CDKN1A,CEBPA,CEP164,CERS6,CGREF1,CHEK2,CHMP4C,CHUK,CISD1,CITED2,CKAP2,CNN1,COL14A1,COL1A1,COL1A2,COL3A1,COL4A1,COQ3,COX10,Cox8b,CP,CPT1C,CS,CSF1,CSMD3,CSNK1D,CSRP1,CXCL10,CYB5A,CYFIP2,CYP26B1,CYP51A1,DBF4,DBP,DDIAS,DDIT3,DDIT4L,DDX5,DHCR24,DHCR7,DICER1,DLGAP1,DNAJA4,DNAJB4,DNAJB5,DNAJC12,DNM1L,DNMT3A,DPP4,DTX1,DUSP6,E2F1,ECH1,ECPAS,EDA2R,EDNRA,EGFL6,EGFR,ENSA,EPAS1,EPS8,ERCC1,ERCC3,ERCC5,ESRRB,EYA4,F2R,FAM3C,FAM83D,FASN,FAT1,FBLN2,FDXR,FEN1,FERMT2,FGF13,FGF7,FHL1,FKBP1A,FKBP3,FKBP5,FLRT2,FMO1,FOXO3,FSTL1,FUBP1,GADD45A,GAS1,GJA1,GNA13,GOLGA4,GPD1,GPR162,GPR176,GPR179,GPR19,GPR4,GPR61,GPR85,GPRC5C,GPX1,GSTM5,H2AFY2,HBEGF,HCN2,HDAC2,HIF1A,HIST1H2BD,HLA-DQA1,HMGCR,HMGCS1,HMMR,HS3ST1,HSPG2,HSPH1,ID1,ID2,ID3,IFI35,IGF1R,IGFBP2,IGFBP5,IKBIP,IL27RA,ING3,INSYN2,IRF7,IRF8,IRF9,ITGAV,KCNK3,KCTD11,KDR,KMT2D,LASP1,LATS2,LDHA,LDLR,LIF,LIMA1,LIMK2,LOX,LPP,LSS,MAP2K7,MAP4,MCAM,MCM5,MCM6,MDM4,MED13L,MEF2A,MET,MICALL1,MIR17HG,MMP2,MPDZ,MPV17L,MRPL12,MRPL15,MRPL30,MRPL34,MRPS2,MSRB1,MVD,MVK,MVP,Mx1,MYBL1,MYL2,MYO10,MYO5A,NAB1,NDRG1,NDRG2,NDUFA4L2,NECTIN3,NEO1,NFATC2IP,NFKBIA,NFS1,NID2,NKD1,NOS1,NPNT,NR6A1,NRARP,NRP1,NUP153,P2RX4,P4HA1,PACSIN1,PADI2,PAK1,PAK3,PALLD,PANK1,PARD6B,PARP2,PAWR,PCDH7,PCNX2,PDE4B,PDGFRA,PDHB,PDK1,PDSS1,PEX2,PFKFB3,PFKP,PGD,PGR,PHGDH,PHKG1,PHLDA1,PHLDA3,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PINK1,PKM,PLA2G16,PMEPA1,PMM1,POLR3E,PPIC,PPM1A,PPP1R17,PPP2CA,PPP4R2,PPT1,PQLC3,PRDX6,PRELID1,PRKAB1,PRKCE,PRNP,PSRC1,PTCHD4,PTGS1,PTK2,PTN,PTPN12,PTPRN,Ptprv,PVT1,PYCARD,QDPR,RAD23A,RAD50,RAD51AP1,RAF1,RBBP6,RECQL4,RGS12,RHOB,RPRM,RPS20,RPS6KA1,RPS6KB1,RPSA,RRM2B,SAMM50,SCD,SCTR,SDHA,SDHB,SEC61A1,SEC62,SEMA6A,SERPINB5,SERPINB6,SERPINH1,SESN1,SFPQ,SGPL1,SGTB,SIRT1,SIRT5,SIVA1,SLC16A1,SLC2A12,SLC2A6,SLC2A9,SLC5A3,SMAD7,SMARCB1,SMC2,SMC3,SMC4,SON,SP7,SPHK2,SQLE,SRF,SSPN,ST14,STARD4,STAT1,SULF2,TALDO1,TANK,TAP1,TBL1X,TCAP,TET2,TFAM,TFRC,TGFBI,THY1,TIMM10,TIMM44,TIMM9,TIMP2,TIMP3,TKT,TLN1,TMOD4,TNC,TNFAIP2,TNFAIP8,TNFRSF1A,Tpm1,TPX2,TRIO,TRPV1,TSPAN6,TSPO,TUBB,TXN2,TXNRD3,UBC,UBE2B,UBE2D1,UCP3,UNC5B,UNG,UQCR10,UQCRQ,USP48,USP9X,VASN,VCAN,VEGFA,VEGFB,VIM,VLDLR,VRK1,WDR63,WNT5B,WNT7A,WNT9A,WSB2,YES1,ZEB2,ZNF175,ZNF24	Upstream	R62_12wk
IFNL1 Signaling	3.39147396642281	4.741	CMPK2,CXCL10,DDX58,DDX60,EIF2AK2,HERC6,IFI35,IFI44,IFIH1,IFIT1,IFIT2,IRF9,LGALS3BP,OASL,RSAD2,RTP4,STAT1,STAT2,TDRD7,UBE2L6,USP18,XAF1,ZC3HAV1	Upstream	R62_12wk
USP8 Signaling	3.34198860334289	0	BACE1,EGFR,ERBB3,GRIA1,HNRNPD,MET,POMC,STAM2	Upstream	R62_12wk
KRAS Signaling	3.31605286924849	0.342	ABCC5,ALDOC,APLP2,ARPP19,AXIN2,BDH1,BIRC3,CCND1,CCND3,CD44,CDKN1A,CLNS1A,COL1A1,COL3A1,COL4A1,CS,CTNND2,CXADR,DDAH1,DDIT3,DUSP6,E2F1,EFEMP1,EGFR,EIF5,ERO1A,FASN,FBLN2,FBN1,FSTL1,GADD45A,GAS1,GBA,GJA1,HIF1A,IGF1R,IGFBP2,JUN,KIF22,LAMB3,LAMP2,LBH,LDHA,LIPG,LOX,MCAM,MET,MINOS1-NBL1/NBL1,MMP2,MMP7,NAB1,NCAM1,NFKB1,NFYB,NKD1,NQO1,NR3C1,NRAS,NRN1,PAK1,PAWR,PDE4B,PEG3,PKM,PLAGL1,PLCD1,PRDX4,PSMC6,RAB20,RHOC,RING1,RPSA,SCD,SLC3A2,SMPD3,SORT1,SOX9,ST5,STAT5A,TAP1,TESC,THY1,TIMP2,TMEM109,TNC,TNFAIP2,Tpm1,VCAN,VCP,VIM	Upstream	R62_12wk
KDM5B Signaling	3.19654288435159	-0.692	AP4S1,BRCA1,BUB3,CCND1,CDCA3,CYB5A,DDIT3,DHCR24,DPY19L1,E2F1,ECT2,EIF5B,Elf5,ERBB3,FGFR2,FHL1,FJX1,GADD45A,HMMR,IGFBP2,INSIG1,ITGB1BP1,IVNS1ABP,JADE2,KIF2C,LGALS3BP,MCAM,NOL3,PDE3B,PGR,PHF20,PLS3,RECQL,RNF40,SMARCA2,SMC5,SOX9,SS18,STAT5A,SWAP70,TUBB2A,UBR7,WNT7B	Upstream	R62_12wk
DMD Signaling	3.17198493577602	-0.811	APLP2,AQP4,ATP1B2,CACNA2D1,CAMTA1,CASQ1,CDC42BPA,CDKN1A,CHRNE,COL1A2,COL3A1,CSRNP3,CYFIP2,DCX,DDX50,DMD,DNAJC5,GABRD,GDAP1,GIGYF2,GPD1,HERC1,HSPB6,IFIT1B,IMPA2,KCNC1,KCNK3,KCNN3,KY,LAMP2,LDB3,LIF,LRCH1,MALL,Map3k7,Marcks,MPEG1,MYBPC1,MYLK2,NDRG2,Nisch,NOS1,P2RY2,PACSIN1,PADI2,PAMR1,PHKG1,PIK3CB,PKM,PLPP3,PPP1R3C,PTGFRN,RAP1GAP2,RIPOR2,SCN1B,SERPINB1,SLC46A3,SNTA1,SOCS4,SORT1,ST3GAL6,STARD10,SYNM,TCAP,TMOD4,TNNI1,TP53BP1,TTC7B,TTLL7,UCK2,VIM,WWC1	Upstream	R62_12wk
OGA Signaling	3.05749589383192	1.198	ABLIM1,ACSL4,ACSS1,ACSS2,ADAMTS5,ADGRL2,AIFM1,AIFM2,ALDOC,ARAF,ARHGEF25,CADPS,CAMK1D,CASP1,CASQ2,CCND1,CD36,CD40,CD44,CD47,CD93,CDK5,CDK6,CDKAL1,CDKN1A,Cdkn1c,CEACAM1,CEBPA,CNN1,COLEC11,CREB5,CXCL16,CYFIP2,DCLK1,DHCR7,EFNB1,EFNB2,ELF1,EPHA4,EPHB3,EPS8,ERBB3,FABP7,FBLN1,FERMT2,FGF13,FGFR4,FLNB,FZD10,GADD45A,GALK2,GALNT4,GAS1,GBGT1,GFOD1,GLI3,GPR34,GPT2,GRIN3A,GTF2IRD1,HIPK2,HMGCR,HMGCS1,HPGD,HSDL1,IFNGR2,IGBP1,IGF2BP3,IGFBP5,IL17RD,IL18,IL6ST,JAK1,JUN,LIF,LRIG1,LRP4,LSS,MCAM,MED14,MGLL,MMP14,MSMO1,MYO10,NFKBIB,NGEF,NPHS1,NSDHL,PDK1,PIK3R1,PLA2G16,PLCG1,PLPP3,PRDX4,PRKAR1B,RASA3,RHOB,RPS6KA3,S100A3,S100A6,SFRP5,SLC27A1,SLC2A9,SOX9,SREBF2,ST14,STARD4,STAT1,STAT2,TBXT,TCF19,TGFBI,TIMP2,TIMP3,TNC,TNFRSF12A,Tnfrsf22/Tnfrsf23,TP53BP1,TSPAN5,TUBA4A,USF2,VIM,WWTR1	Upstream	R62_12wk
Development of neurons	9.93554201077308	-1.887	EIF4EBP2,SEZ6,AGER,SYNDIG1,UHMK1,METRN,FAM107A,MID1,ENC1,PAK3,STX3,RIT2,SNCA,PIK3CD,LRRN3,LRRC4,GRM4,TNC,CAPRIN2,SLITRK3,PIP5K1C,SDK2,GRIN3A,MAPK9,RPS6KB1,EFNB1,NECTIN1,ARHGEF25,CDK5R2,ATG7,PTK2,ENAH,BECN1,AR,IGF1R,CD47,DOCK10,ATP7A,NRP1,HEY1,ATCAY,HOXA1,SARM1,CYR61,FEZF2,GNAO1,SULF2,WNT5A,ATP8A2,NR1D1,THY1,EPHB1,GABPA,OXTR,DLX2,GJB2,ZBTB18,HAP1,NTRK3,EFNA1,CLMN,MDGA1,CDK6,GRM5,EFNA2,FGFR3,ITSN1,WNT7B,VASP,TOR1A,KY,FGF7,NRXN1,PLXNA4,SRCIN1,BAIAP2,CACNG2,MYO5A,NCAM1,SLITRK4,PAX6,CSF1,RALA,HIPK2,RAC1,ADORA2A,NEUROG2,NRCAM,PARD3,Cdc42,CHRNE,ZEB2,SIX4,NR2E1,SULF1,LRTM2,USP21,LRP8,DLGAP3,RND1,PALLD,ADCY3,NSG1,CPT1C,FUT8,FLRT3,ANGPT1,EFNA3,TNN,DMD,BDNF,STXBP5,MICALL1,KIRREL3,ROBO2,EGFR,COL4A1,PDGFRA,VEGFA,PPP1R9A,VSTM5,SYNGAP1,PLPPR5,IL18,SLIT2,PRNP,STMN3,RHOB,EFHD1,EPS8,SCN4B,SLITRK1,S1PR2,SEMA4D,CACNA1S,MINOS1-NBL1/NBL1,PCYT1B,CSMD3,NEFL,AKTIP,SYN2,DNM1L,PTN,IL11,ETV4,MAPT,ASPA,CYFIP2,CUX2,KALRN,PMP22,Cux1,SH3GL2,LMNB1,ID2,RGMA,PACSIN1,OPHN1,EPHA7,ADGRL3,CD44,DAGLA,FCGR2B,PRKAA2,SEZ6L2,TRPV1,LRRC4B,SHC1,CTNND2,TRIM46,LOX,DCLK1,RUFY3,GNA13,PPT1,CNR1,CAMSAP2,SLC11A2,HPRT1,NCAM2,DOK7,STAU2,F2R,AGTPBP1,BMP4,HERC1,PARD6B,FBXO45,HS6ST1,PIP5K1A,LRP6,ADGRL2,POMC,OMG,RAPGEF2,Ptprd,PRKCE,EFNB2,STK38L,OLIG2,KDR,ARHGAP5,Mturn,CHRNA7,CAMK1D,FABP7,ZFYVE27,ATF6,CADM1,RTN4,CAPRIN1,FZD9,NLGN2,POU4F1,SLITRK6,LRRTM1,VAMP7,MRTFB,HTR6,CADPS2,TNK2,JUN,NDN,RAB33A,CSRP1,FLRT1,ADGRB2,SPTBN1,POU3F2,VIM,DSCAM,NKX6-1,SEPT11,CDH10,SEMA7A,ECE1,IL1RAP,ROCK1,IL1RAPL1,RTN3,VEGFB,TSC1,SNTA1,Pou3f1,BMP7,FNBP1,PPP2CA,LRP4,HDAC2,APBA1,ID1,UCHL1,STIM2,MYCBP2,BBS4,PAK1,COL4A5,CAMK4,OGT,TRPC1,EPHA4,ATXN2,RHOG,CNTN1,KLF7,SRF,PRKCA,SLITRK2,Nedd4,PLD2,CAST,FAIM2,NSMF,EDNRA,THOC2,LRRC24,SERPINF1,MRAS,GFRA2,CLSTN1,ATL1,BASP1,NFKBIA,IGSF21,SEMA4A,FZD5,TNR,EBF3,DICER1,HES5,GEM,ASCL1,UBE2V2,Irx5,PTPRF,TRIM9,SS18,ATRX,Cdkn1c,DCDC2,BACE1,LRRTM4,GAS7,PTPRZ1,EPHB3,CTF1,GFRA1,Dst,SEMA6A,CPEB4,ROR2,LIF,PPP2R2C,CDK5,S100B,GABRB3,DIXDC1,NCDN,THBS2,DCX,MAP6,DOCK7,NCAN,CASP3,PCDHB11,GJA1,FLOT1,FGFR2,LINGO1,DAB1,FLRT2,PHGDH,IRX3,MYD88,VLDLR,MECP2,LRRTM3,GRIN1,KIF13B,SIPA1L1,LLGL1,DRD2,NOS1,TRIO,WNT7A,MET,BCAN,ITGB3,NLGN3,UGT8,SIRPA,SRRM4,PIN1,GPHN,CUL4B,SP4,NFKB1,CTTN,RPS6KA3,SDC2,MSN,NRN1,GLI3,CDC20,DLG4,NGFR,SYNE1,CAMK1G,KCNJ10,LBX1,MEF2A	Functional	R62_12wk
